t_s,node,x,y,z
0.000,0,524.097,292.620,299.277
0.000,1,1556.466,2224.271,407.491
0.000,2,570.540,2676.519,387.116
0.000,3,631.466,2063.915,505.343
0.000,4,1338.322,911.896,283.161
0.000,5,1268.846,1773.051,454.340
0.000,6,1410.964,1781.985,357.294
0.000,7,1520.186,890.165,495.853
0.000,8,285.035,2615.150,568.253
0.000,9,1612.663,2650.281,176.269
0.000,10,223.761,2630.949,518.669
0.000,11,1327.876,646.119,173.441
0.000,12,424.904,1946.667,407.496
0.000,13,530.528,1020.196,109.192
0.000,14,20.458,719.706,402.995
0.000,15,1290.974,161.011,545.349
0.000,16,383.803,2273.418,462.682
0.000,17,463.422,1606.706,483.924
0.000,18,718.750,2154.204,381.540
0.000,19,460.987,849.233,461.852
0.000,20,1234.128,1337.954,440.249
0.000,21,663.542,2148.385,371.369
0.000,22,1463.738,627.482,328.815
0.000,23,1018.354,2075.710,584.325
0.000,24,395.932,609.071,128.789
0.000,25,1417.948,127.189,122.089
0.000,26,1059.957,1890.564,216.718
0.000,27,385.998,2130.949,369.152
0.000,28,376.250,1726.997,461.435
0.000,29,948.514,470.970,206.566
0.000,30,1388.782,2144.600,341.964
0.000,31,1558.396,834.386,373.273
0.000,32,563.884,1842.758,547.974
0.000,33,1502.098,99.228,187.270
0.000,34,1598.435,1779.617,164.825
0.000,35,1194.334,869.776,224.372
0.000,36,739.304,1222.035,550.657
0.000,37,1169.422,654.129,476.761
0.000,38,1857.144,196.371,169.301
0.000,39,236.617,1041.944,401.782
0.000,40,504.106,1770.215,263.799
0.000,41,1208.221,1741.640,479.697
0.000,42,470.155,2221.392,491.158
5.000,0,426.666,251.774,300.732
5.000,1,1442.020,2274.199,409.355
5.000,2,512.415,2720.194,386.450
5.000,3,654.434,1975.780,509.643
5.000,4,1212.403,954.286,278.614
5.000,5,1212.667,1876.422,453.854
5.000,6,1400.571,1917.247,359.669
5.000,7,1442.063,862.406,498.190
5.000,8,256.482,2730.898,564.295
5.000,9,1694.869,2543.835,175.797
5.000,10,295.982,2755.491,521.230
5.000,11,1229.001,538.612,171.869
5.000,12,343.928,1933.744,403.532
5.000,13,434.123,1001.875,105.689
5.000,14,100.726,806.573,404.799
5.000,15,1308.697,236.163,546.689
5.000,16,364.249,2374.920,461.795
5.000,17,543.844,1592.603,485.707
5.000,18,686.566,2073.635,380.412
5.000,19,378.472,938.864,456.286
5.000,20,1348.497,1316.442,438.287
5.000,21,579.057,2099.877,374.563
5.000,22,1551.332,689.169,328.520
5.000,23,1064.006,1985.141,586.618
5.000,24,493.245,542.829,132.735
5.000,25,1346.473,135.195,121.190
5.000,26,1128.396,1962.719,218.392
5.000,27,400.327,2049.272,372.794
5.000,28,429.086,1623.936,466.721
5.000,29,1013.993,496.992,204.858
5.000,30,1509.760,2063.825,344.786
5.000,31,1549.184,746.913,370.239
5.000,32,440.441,1861.685,549.653
5.000,33,1541.814,174.549,184.641
5.000,34,1698.331,1877.353,167.574
5.000,35,1130.203,800.668,220.836
5.000,36,774.425,1345.985,551.490
5.000,37,1086.090,644.278,475.495
5.000,38,1844.763,272.725,166.898
5.000,39,165.372,1146.833,401.455
5.000,40,429.275,1833.177,266.171
5.000,41,1327.297,1671.841,474.861
5.000,42,381.699,2278.136,489.943
10.000,0,327.425,214.334,302.588
10.000,1,1319.578,2305.186,413.785
10.000,2,449.594,2766.111,386.396
10.000,3,678.416,1885.405,511.784
10.000,4,1080.450,1011.412,272.533
10.000,5,1183.310,1997.378,451.245
10.000,6,1389.977,2050.799,362.718
10.000,7,1366.965,828.887,499.444
