t_s,node,x,y,z
0.000,0,2366.761,370.159,428.100
0.000,1,244.397,216.535,555.045
0.000,2,2733.244,1044.034,480.281
0.000,3,1358.674,1539.755,281.166
0.000,4,2728.639,1509.648,533.173
0.000,5,1889.871,933.676,190.524
0.000,6,993.035,1612.925,570.391
0.000,7,401.270,710.613,568.692
0.000,8,315.551,189.856,367.124
0.000,9,1398.044,1500.659,357.015
0.000,10,2540.824,272.674,287.554
0.000,11,1136.741,629.098,318.400
0.000,12,1513.359,612.845,491.094
0.000,13,2700.033,854.417,462.964
0.000,14,2195.860,813.099,498.885
0.000,15,2298.621,1326.634,421.843
0.000,16,1035.689,1250.310,391.076
0.000,17,281.265,1256.858,420.790
0.000,18,1300.194,1726.194,404.268
0.000,19,1319.320,69.904,445.094
0.000,20,539.712,501.134,567.303
0.000,21,2173.168,1749.129,582.536
0.000,22,1831.432,705.363,316.669
0.000,23,2365.653,699.311,380.717
0.000,24,1567.888,1445.785,529.950
0.000,25,175.414,1066.695,382.107
0.000,26,285.273,1619.643,573.850
0.000,27,1943.418,1356.998,342.200
0.000,28,856.942,431.038,543.017
0.000,29,2052.174,551.602,123.111
0.000,30,33.256,209.961,570.494
0.000,31,2006.719,1934.883,138.002
0.000,32,1953.849,710.292,217.066
0.000,33,2607.971,2062.188,254.153
0.000,34,1364.878,899.069,292.727
0.000,35,1518.558,176.524,526.787
0.000,36,1960.687,1343.085,467.974
0.000,37,1972.512,86.876,220.430
0.000,38,304.627,1887.514,354.026
0.000,39,2260.850,1948.469,320.483
0.000,40,1341.639,280.368,185.617
0.000,41,560.132,756.003,570.345
0.000,42,2360.934,1611.821,149.029
0.000,43,2722.795,1667.635,210.025
0.000,44,1386.416,440.973,450.004
0.000,45,53.235,241.214,127.811
0.000,46,997.899,2012.278,331.319
0.000,47,2601.326,258.374,512.204
0.000,48,2118.035,661.098,382.377
0.000,49,1891.680,1888.049,272.710
0.000,50,2208.018,1616.722,366.700
0.000,51,1287.518,1628.256,152.239
0.000,52,242.761,1046.590,429.044
0.000,53,2782.145,1433.204,215.844
