t_s,node,x,y,z
0.000,0,1856.569,257.497,411.517
0.000,1,825.209,1209.053,362.935
0.000,2,297.882,1410.580,152.263
0.000,3,1573.915,65.709,261.605
0.000,4,1115.731,1078.503,356.232
0.000,5,30.396,562.831,269.626
0.000,6,334.134,437.651,317.753
0.000,7,1964.176,1600.501,521.363
0.000,8,491.842,1132.407,456.742
0.000,9,1434.849,923.575,470.418
0.000,10,1716.740,1581.798,157.983
0.000,11,130.937,1773.017,257.908
0.000,12,869.400,1216.417,231.198
0.000,13,48.520,827.221,511.553
0.000,14,1001.690,1652.074,473.320
0.000,15,1710.376,295.935,453.988
0.000,16,311.190,652.412,482.454
0.000,17,677.639,217.361,569.451
0.000,18,467.176,461.209,200.191
0.000,19,754.346,1331.542,107.606
0.000,20,481.156,905.187,460.345
0.000,21,613.734,267.705,525.649
0.000,22,1608.486,1644.509,277.524
0.000,23,215.451,34.882,323.343
0.000,24,1976.697,764.678,307.173
0.000,25,1695.089,1786.834,494.921
0.000,26,991.644,1439.932,500.300
0.000,27,61.449,798.929,310.192
0.000,28,564.875,693.498,414.240
0.000,29,620.722,1425.858,551.656
0.000,30,491.518,330.028,474.961
0.000,31,1050.984,821.715,101.386
0.000,32,867.833,1476.114,502.025
0.000,33,587.871,1256.811,303.961
0.000,34,1047.038,330.458,430.295
0.000,35,1605.245,0.145,461.339
0.000,36,1856.927,974.012,496.207
0.000,37,650.715,360.798,165.735
0.000,38,1297.314,1767.692,163.468
0.000,39,1539.869,1578.641,345.609
0.000,40,472.319,1027.890,142.874
0.000,41,549.891,757.482,402.522
0.000,42,93.716,1290.096,564.858
0.000,43,665.037,1226.723,274.623
0.000,44,625.089,1753.691,299.908
0.000,45,1230.056,1407.110,261.512
0.000,46,766.437,1672.862,250.820
5.000,0,1872.184,122.238,409.512
5.000,1,705.059,1196.372,365.674
5.000,2,314.332,1284.558,159.144
5.000,3,1644.392,15.328,260.396
5.000,4,1211.981,1069.021,354.510
5.000,5,76.736,649.087,271.583
5.000,6,420.562,464.921,318.307
5.000,7,1981.585,1533.761,516.793
5.000,8,375.397,1189.381,463.460
5.000,9,1485.105,1018.345,466.636
5.000,10,1795.728,1552.544,153.473
5.000,11,233.379,1841.601,262.119
5.000,12,785.040,1238.420,229.593
5.000,13,20.271,755.961,508.324
5.000,14,1077.394,1765.778,479.375
5.000,15,1596.108,349.890,448.605
5.000,16,256.253,565.854,486.966
5.000,17,578.844,259.325,569.422
5.000,18,361.281,544.834,201.812
5.000,19,852.761,1428.211,110.208
5.000,20,617.402,883.102,465.856
5.000,21,679.071,212.151,524.002
5.000,22,1535.239,1563.215,281.984
5.000,23,221.097,70.616,323.943
5.000,24,1867.429,851.805,309.579
5.000,25,1685.204,1707.806,496.879
5.000,26,981.468,1538.201,498.807
5.000,27,122.164,668.016,318.063
5.000,28,505.713,770.874,421.291
5.000,29,641.646,1308.218,552.519
5.000,30,377.497,260.504,472.458
5.000,31,1015.912,697.761,102.166
5.000,32,825.556,1600.526,499.028
5.000,33,708.997,1271.550,310.288
5.000,34,1128.361,383.742,431.183
5.000,35,1504.753,76.221,456.468
5.000,36,1886.487,846.929,501.818
5.000,37,727.400,466.566,169.008
5.000,38,1322.614,1642.337,162.930
5.000,39,1524.690,1682.661,345.196
5.000,40,560.137,1055.119,142.718
5.000,41,534.531,828.078,401.319
5.000,42,133.236,1426.791,568.822
5.000,43,779.705,1180.665,274.635
5.000,44,683.599,1652.573,302.514
5.000,45,1311.682,1318.210,263.592
5.000,46,842.247,1759.699,250.431
10.000,0,1831.572,36.073,408.498
10.000,1,589.680,1161.524,370.228
10.000,2,331.729,1160.269,162.569
10.000,3,1711.808,85.050,259.187
10.000,4,1301.313,1053.530,353.548
10.000,5,126.733,729.296,271.260
10.000,6,513.427,493.467,321.234
10.000,7,1909.022,1488.101,512.650
10.000,8,259.567,1258.694,472.524
10.000,9,1535.522,1112.015,462.045
10.000,10,1881.267,1532.304,149.514
