seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
6,4.0000,0,2,587.7245,-84.6252,-0.7981,11,0.2750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,3,431.3135,-83.6817,-0.8087,19,0.4750,0.8333,6,7,4,0,0,7,4,0.4286
6,4.0000,0,4,288.7409,-81.4306,0.2160,24,0.6000,0.7143,7,6,3,0,0,6,3,0.5000
6,4.0000,0,5,498.3452,-83.9350,-0.2137,14,0.3500,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,0,8,772.6471,-87.3634,-0.4756,5,0.1250,1.0000,4,4,4,0,0,4,4,0.0000
6,4.0000,0,11,711.9252,-87.8745,0.9355,4,0.1000,1.0000,8,4,4,0,0,4,4,0.0000
6,4.0000,0,12,357.1153,-82.2591,-1.0500,18,0.4500,0.7143,7,5,2,0,0,5,2,0.6000
6,4.0000,0,13,894.2053,-88.4359,0.0094,4,0.1000,1.0000,8,6,6,0,0,6,6,0.0000
6,4.0000,0,14,257.2264,-78.6159,-0.2455,29,0.7250,0.4000,5,7,6,0,0,7,6,0.1429
6,4.0000,0,20,673.5614,-86.6030,-0.7946,8,0.2000,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,21,549.5597,-85.2731,0.0729,18,0.4500,0.8571,7,7,6,0,0,7,6,0.1429
6,4.0000,0,23,559.6687,-85.1510,-0.4096,13,0.3250,1.0000,6,7,6,0,0,7,6,0.1429
6,4.0000,0,25,774.9897,-87.4557,-0.4861,6,0.1500,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,26,745.3294,-87.1147,-0.8898,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,0,27,643.8913,-86.0672,-0.7514,8,0.2000,1.0000,4,8,8,0,0,8,8,0.0000
6,4.0000,0,29,694.2107,-86.3260,-0.7634,8,0.2000,1.0000,8,6,6,0,0,6,6,0.0000
6,4.0000,0,32,474.2146,-84.9184,-0.0221,15,0.3750,0.8571,7,8,7,0,0,8,7,0.1250
6,4.0000,0,33,608.1503,-84.5057,-0.6855,11,0.2750,1.0000,6,7,6,0,0,7,6,0.1429
6,4.0000,0,36,743.3022,-87.2459,-0.9885,5,0.1250,0.6000,5,6,6,0,0,6,6,0.0000
6,4.0000,0,39,483.5804,-83.5863,-1.1435,15,0.3750,0.8571,7,8,8,0,0,8,8,0.0000
6,4.0000,0,41,739.1273,-87.1331,0.2280,8,0.2000,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,43,527.7555,-85.7365,-0.7790,11,0.2750,1.0000,6,7,6,0,0,7,6,0.1429
6,4.0000,0,45,594.2475,-86.1712,0.4405,6,0.1500,1.0000,8,6,4,0,0,6,4,0.3333
6,4.0000,0,46,731.4663,-86.9002,0.8360,7,0.1750,1.0000,8,6,6,0,0,6,6,0.0000
6,4.0000,0,49,326.9011,-79.3501,-1.3226,29,0.7250,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,0,50,446.0380,-84.7323,-0.7644,16,0.4000,1.0000,6,8,7,0,0,8,7,0.1250
6,4.0000,0,51,563.1975,-85.4506,-0.2693,11,0.2750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,52,799.3585,-87.0947,0.0945,8,0.2000,1.0000,6,6,6,0,0,6,6,0.0000
6,4.0000,0,55,91.9457,-72.1343,1.8445,33,0.8250,0.0000,4,5,1,0,0,5,1,0.8000
6,4.0000,0,56,810.5426,-87.4741,-4.2078,3,0.0750,,0,8,8,0,0,8,8,0.0000
6,4.0000,0,57,657.5634,-86.7115,-0.4113,11,0.2750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,58,841.8218,-87.7022,0.8095,4,0.1000,1.0000,2,4,4,0,0,4,4,0.0000
6,4.0000,0,60,749.8395,-87.6701,-1.7620,4,0.1000,1.0000,4,8,8,0,0,8,8,0.0000
6,4.0000,0,67,625.6842,-85.8586,0.3266,8,0.2000,0.8750,8,8,8,0,0,8,8,0.0000
6,4.0000,0,68,417.9562,-84.0427,0.7428,16,0.4000,0.8750,8,7,6,0,0,7,6,0.1429
6,4.0000,0,69,940.4875,-87.9024,0.7109,3,0.0750,1.0000,2,6,6,0,0,6,6,0.0000
6,4.0000,1,9,373.2959,-81.7431,0.0948,24,0.6000,0.5000,6,8,8,0,0,8,8,0.0000
6,4.0000,1,10,658.6045,-85.2841,-0.7672,4,0.1000,1.0000,8,7,6,0,0,7,6,0.1429
6,4.0000,1,13,707.8654,-86.6435,0.0837,5,0.1250,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,1,25,647.3342,-86.6907,-0.5225,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,1,28,754.7147,-86.5867,-0.8284,10,0.2500,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,1,40,796.1517,-88.3397,1.1073,4,0.1000,1.0000,8,6,6,0,0,6,6,0.0000
6,4.0000,1,41,674.0148,-86.9076,0.4846,5,0.1250,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,1,46,794.5420,-87.0064,-0.2520,5,0.1250,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,1,48,466.3925,-83.8934,-0.2432,14,0.3500,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,1,53,687.3758,-85.8118,-0.3186,14,0.3500,0.8571,7,6,6,0,0,6,6,0.0000
6,4.0000,1,56,533.3940,-83.5294,-0.2414,12,0.3000,1.0000,8,8,7,0,0,8,7,0.1250
