t_s,node,x,y,z
0.000,0,1143.280,813.100,220.929
0.000,1,1591.698,1030.701,517.459
0.000,2,610.415,2001.043,485.112
0.000,3,2365.921,620.413,350.802
0.000,4,968.259,1118.561,182.456
0.000,5,1635.376,753.449,541.871
0.000,6,17.584,285.296,277.862
0.000,7,1245.853,1347.263,469.495
0.000,8,297.554,2151.064,590.559
0.000,9,267.240,372.755,328.795
0.000,10,1447.827,506.076,489.857
0.000,11,496.525,1497.115,190.123
0.000,12,448.199,1583.629,295.742
0.000,13,1559.998,1948.121,154.821
0.000,14,616.389,1567.556,110.409
0.000,15,488.014,1004.416,575.704
0.000,16,1919.576,274.146,328.844
0.000,17,1342.224,2123.296,144.351
0.000,18,1328.155,2067.813,573.605
0.000,19,986.381,1323.756,596.704
0.000,20,1910.386,668.102,259.210
0.000,21,1274.629,735.106,434.870
0.000,22,897.966,724.686,141.053
0.000,23,1136.967,88.408,364.572
0.000,24,892.132,1408.587,162.212
0.000,25,1893.392,1032.503,228.256
0.000,26,741.497,1173.126,521.964
0.000,27,1956.059,1483.842,379.927
0.000,28,1232.072,1113.516,464.416
0.000,29,156.174,2190.339,266.404
0.000,30,1014.570,2.297,280.859
0.000,31,2168.669,70.940,210.902
0.000,32,901.501,1062.866,323.356
0.000,33,714.496,1264.455,252.708
0.000,34,1065.197,905.614,252.053
0.000,35,1872.908,843.806,525.101
0.000,36,904.455,835.980,483.525
0.000,37,292.748,579.460,499.832
0.000,38,140.848,2007.649,235.305
0.000,39,1886.407,2135.691,172.926
0.000,40,17.690,944.038,467.620
0.000,41,1016.411,2170.429,230.527
0.000,42,868.385,1629.510,276.502
0.000,43,912.700,1278.547,596.148
0.000,44,981.286,1084.014,118.921
0.000,45,2081.472,2114.245,467.737
0.000,46,536.711,463.804,459.128
0.000,47,2117.031,768.808,452.584
0.000,48,2150.580,1433.077,213.683
0.000,49,1157.584,1796.470,245.958
0.000,50,1649.826,934.183,213.918
0.000,51,1741.105,782.273,311.336
0.000,52,1102.930,1101.139,496.637
0.000,53,20.868,1965.893,255.382
0.000,54,1949.083,84.995,525.382
0.000,55,2143.514,2176.129,560.271
0.000,56,450.405,24.412,196.696
0.000,57,1127.912,2067.309,506.369
0.000,58,1166.184,572.416,552.695
0.000,59,1657.920,1758.551,556.721
0.000,60,754.523,879.267,262.266
0.000,61,182.010,1974.067,380.426
0.000,62,603.430,2269.732,552.837
0.000,63,760.014,39.178,364.704
0.000,64,67.595,2033.684,476.301
0.000,65,1642.804,18.651,327.946
0.000,66,277.538,50.467,310.609
0.000,67,1400.709,1330.954,250.015
0.000,68,1735.544,873.157,131.577
0.000,69,1214.077,781.334,222.064
0.000,70,1545.337,1963.702,593.662
0.000,71,104.500,451.593,122.096
0.000,72,821.071,684.611,525.518
0.000,73,596.057,1604.916,406.795
0.000,74,1872.354,1698.910,434.862
0.000,75,1745.960,1011.665,131.136
0.000,76,221.130,666.998,432.549
0.000,77,1647.816,1955.424,442.155
0.000,78,1858.384,401.981,248.092
0.000,79,1645.949,890.951,545.661
5.000,0,1225.645,894.318,220.308
5.000,1,1658.289,1077.796,517.597
5.000,2,724.642,1987.838,481.392
5.000,3,2360.321,758.590,354.017
5.000,4,1096.017,1150.685,176.231
5.000,5,1514.335,752.478,542.422
5.000,6,3.134,349.272,278.032
5.000,7,1140.349,1451.030,465.192
5.000,8,213.043,2150.655,589.602
5.000,9,347.941,423.024,331.007
5.000,10,1478.622,423.133,490.783
5.000,11,511.073,1397.401,197.155
5.000,12,465.212,1491.344,291.095
5.000,13,1595.807,2027.024,155.290
5.000,14,494.386,1581.678,105.760
5.000,15,411.848,930.631,578.642
5.000,16,2001.476,149.289,329.126
5.000,17,1434.244,2187.636,144.832
5.000,18,1242.758,1997.202,571.059
5.000,19,913.294,1299.206,593.669
5.000,20,1976.671,556.997,263.331
5.000,21,1324.456,850.043,439.520
5.000,22,767.768,690.288,137.275
5.000,23,1031.441,9.200,368.629
5.000,24,846.011,1308.990,163.672
5.000,25,1944.662,924.333,228.660
5.000,26,730.496,1037.293,521.540
5.000,27,2021.815,1442.634,377.635
5.000,28,1146.482,1125.423,469.095
5.000,29,162.608,2094.706,260.507
5.000,30,929.322,32.238,280.288
5.000,31,2228.510,194.221,208.067
5.000,32,790.523,1050.842,329.307
5.000,33,699.905,1348.993,254.139
5.000,34,1155.556,902.886,252.504
5.000,35,1991.397,893.099,527.818
5.000,36,923.266,908.551,487.054
5.000,37,270.031,654.107,502.944
5.000,38,253.326,2024.906,232.218
5.000,39,1949.779,2182.725,176.761
5.000,40,48.268,893.394,469.266
5.000,41,909.655,2061.178,230.701
5.000,42,800.635,1683.003,276.802
5.000,43,785.016,1226.091,596.563
5.000,44,1086.375,1168.257,121.916
5.000,45,2121.182,1982.032,466.968
5.000,46,650.167,544.855,468.780
5.000,47,2075.337,696.793,450.819
5.000,48,2278.553,1469.963,209.733
5.000,49,1047.675,1722.306,247.193
5.000,50,1600.709,811.260,212.862
5.000,51,1833.160,759.749,311.345
5.000,52,1150.404,1036.033,492.453
5.000,53,114.142,1972.501,254.320
5.000,54,1850.106,102.093,523.560
5.000,55,2174.613,2078.194,561.139
5.000,56,540.498,86.404,189.783
5.000,57,1061.818,2003.094,503.890
5.000,58,1224.143,521.929,553.917
5.000,59,1732.707,1772.709,556.003
5.000,60,801.809,1007.635,264.353
5.000,61,121.401,1931.715,380.476
5.000,62,467.117,2264.235,549.006
5.000,63,874.061,48.842,367.859
5.000,64,14.221,1915.132,473.960
5.000,65,1511.224,14.573,328.935
5.000,66,336.987,8.695,311.936
5.000,67,1317.458,1425.473,254.836
5.000,68,1725.247,725.871,128.201
5.000,69,1122.948,778.187,226.316
5.000,70,1618.229,1941.927,592.729
5.000,71,18.530,418.216,125.425
5.000,72,914.211,739.808,526.503
5.000,73,491.981,1646.927,407.348
5.000,74,1865.534,1822.316,435.667
5.000,75,1819.834,1045.741,130.818
5.000,76,89.125,679.080,434.769
5.000,77,1592.575,1873.981,440.067
5.000,78,1784.140,454.188,251.961
5.000,79,1754.222,916.240,548.634
10.000,0,1299.197,987.272,219.944
10.000,1,1730.906,1105.304,516.721
10.000,2,834.722,1961.019,479.162
10.000,3,2355.147,895.056,359.596
10.000,4,1221.950,1179.258,171.333
10.000,5,1405.138,710.273,543.001
10.000,6,17.046,419.116,280.454
10.000,7,1011.395,1529.023,458.055
10.000,8,128.651,2150.266,587.055
10.000,9,425.988,486.092,335.010
10.000,10,1483.692,339.172,492.470
10.000,11,509.422,1308.645,201.840
10.000,12,469.374,1396.015,284.410
10.000,13,1638.549,2093.995,155.126
10.000,14,367.290,1600.018,105.876
10.000,15,351.291,833.874,582.488
10.000,16,2090.425,29.034,332.674
10.000,17,1515.012,2264.785,149.685
10.000,18,1147.311,1948.991,564.102
10.000,19,840.190,1276.972,592.485
10.000,20,2028.730,450.288,267.029
10.000,21,1401.469,963.853,444.112
10.000,22,650.176,626.013,132.576
10.000,23,909.962,58.843,369.146
10.000,24,816.871,1211.956,165.981
10.000,25,1961.045,799.842,227.625
10.000,26,691.488,901.457,521.662
10.000,27,2081.754,1394.070,377.275
10.000,28,1060.993,1150.089,475.071
10.000,29,158.485,2003.933,258.071
10.000,30,856.876,78.650,281.307
10.000,31,2294.312,309.704,206.147
10.000,32,673.515,1042.999,335.183
10.000,33,693.844,1443.732,256.493
10.000,34,1259.469,895.315,252.715
10.000,35,2103.119,961.287,530.390
10.000,36,947.591,971.510,489.921
10.000,37,234.402,720.570,506.587
10.000,38,358.166,2067.023,230.401
10.000,39,2003.992,2252.690,178.184
10.000,40,106.145,839.479,470.917
10.000,41,781.623,1955.836,236.234
10.000,42,758.720,1753.081,277.648
10.000,43,642.070,1190.092,596.306
10.000,44,1201.381,1240.089,125.884
10.000,45,2165.652,1856.213,462.234
10.000,46,758.839,626.455,476.215
10.000,47,2057.642,619.121,448.933
10.000,48,2333.981,1472.475,207.302
10.000,49,947.149,1646.865,248.391
10.000,50,1600.803,677.741,210.437
10.000,51,1923.093,718.000,313.988
10.000,52,1213.962,984.383,487.736
10.000,53,201.279,1972.132,251.663
10.000,54,1756.413,128.869,523.323
10.000,55,2209.226,1983.034,559.601
10.000,56,628.587,195.416,188.705
10.000,57,998.224,1944.949,500.553
10.000,58,1288.276,477.503,556.155
10.000,59,1815.408,1792.143,554.581
10.000,60,890.267,1113.685,265.836
10.000,61,66.352,1891.126,380.436
10.000,62,329.203,2250.768,544.735
10.000,63,986.295,41.808,369.265
10.000,64,45.762,1804.994,473.415
10.000,65,1378.965,3.425,332.497
10.000,66,409.110,65.300,313.910
10.000,67,1214.062,1467.353,256.420
10.000,68,1719.087,576.356,121.913
10.000,69,1029.767,770.729,229.848
10.000,70,1690.782,1932.539,591.116
10.000,71,120.316,377.173,126.632
10.000,72,1018.578,753.457,523.441
10.000,73,382.739,1690.602,405.878
10.000,74,1873.089,1940.772,432.572
10.000,75,1899.003,1065.704,128.032
10.000,76,62.500,671.276,434.177
10.000,77,1560.569,1789.530,438.228
10.000,78,1714.600,512.060,254.695
10.000,79,1864.268,939.993,552.275
15.000,0,1362.850,1079.797,221.599
15.000,1,1802.549,1130.277,516.403
15.000,2,957.151,1961.238,474.766
15.000,3,2321.667,1031.628,364.046
15.000,4,1361.100,1211.027,165.912
15.000,5,1292.753,712.868,546.283
15.000,6,53.988,478.852,282.350
15.000,7,889.948,1615.005,451.033
15.000,8,48.986,2146.109,587.789
15.000,9,521.256,527.161,342.129
15.000,10,1496.703,257.539,490.297
15.000,11,514.143,1213.737,204.825
15.000,12,479.976,1302.435,280.052
15.000,13,1666.967,2169.572,153.908
15.000,14,244.767,1650.307,102.223
15.000,15,285.619,742.689,588.398
15.000,16,2181.019,94.398,333.794
15.000,17,1615.236,2205.535,151.156
15.000,18,1061.302,1880.832,563.861
15.000,19,768.785,1266.875,591.923
15.000,20,2100.537,349.072,273.304
15.000,21,1463.854,1084.755,448.446
15.000,22,537.169,586.112,124.983
15.000,23,784.850,111.851,371.580
15.000,24,777.633,1114.190,167.658
15.000,25,1982.689,677.198,229.981
15.000,26,657.879,780.417,520.560
15.000,27,2144.945,1345.689,376.947
15.000,28,967.040,1167.258,478.325
15.000,29,171.968,1909.478,255.587
15.000,30,806.950,143.028,283.166
15.000,31,2359.103,417.107,205.444
15.000,32,554.350,1043.654,338.504
15.000,33,648.470,1514.972,260.926
15.000,34,1351.247,876.010,253.305
15.000,35,2231.735,1005.296,529.789
15.000,36,972.098,1039.933,492.759
15.000,37,218.704,806.852,512.214
15.000,38,448.088,2122.689,231.684
15.000,39,2044.130,2190.633,183.095
15.000,40,170.542,795.995,471.200
15.000,41,653.773,1859.345,239.056
15.000,42,688.451,1809.989,278.954
15.000,43,512.119,1150.784,599.559
15.000,44,1313.135,1329.813,132.531
15.000,45,2204.363,1730.869,457.863
15.000,46,855.730,733.801,480.760
15.000,47,2027.181,549.074,448.183
15.000,48,2203.831,1471.077,203.883
15.000,49,846.124,1574.575,249.021
15.000,50,1582.087,538.215,209.048
15.000,51,2008.547,672.980,316.905
15.000,52,1263.604,924.908,484.126
15.000,53,282.118,1970.284,250.653
15.000,54,1672.539,179.322,523.242
15.000,55,2242.370,1877.032,555.318
15.000,56,713.629,294.123,182.751
15.000,57,937.290,1883.267,496.075
15.000,58,1348.500,427.411,558.526
15.000,59,1886.138,1802.809,553.361
15.000,60,978.694,1221.168,272.043
15.000,61,12.779,1845.769,379.629
15.000,62,195.596,2234.622,538.250
15.000,63,1089.837,14.418,372.853
15.000,64,110.351,1677.099,473.631
15.000,65,1244.212,23.967,335.481
15.000,66,472.272,118.575,317.993
15.000,67,1117.114,1514.638,259.074
15.000,68,1696.443,426.955,117.814
15.000,69,932.713,769.824,231.573
15.000,70,1762.413,1903.893,591.457
15.000,71,231.401,344.607,132.351
15.000,72,1132.380,758.755,524.187
15.000,73,278.702,1728.121,405.185
15.000,74,1855.971,2059.114,429.785
15.000,75,1988.598,1086.064,130.393
15.000,76,192.022,675.080,433.124
15.000,77,1518.884,1705.003,435.198
15.000,78,1665.953,588.316,256.019
15.000,79,1974.387,924.779,552.828
20.000,0,1445.271,1148.431,222.100
20.000,1,1877.263,1155.945,516.377
20.000,2,1075.806,1961.721,472.748
20.000,3,2265.657,1152.747,368.213
20.000,4,1501.554,1228.323,159.063
20.000,5,1198.040,683.134,546.427
20.000,6,94.092,536.437,283.885
20.000,7,783.541,1712.635,445.553
20.000,8,42.269,2157.749,589.143
20.000,9,616.076,574.128,346.984
20.000,10,1540.626,188.475,490.205
20.000,11,559.853,1134.764,205.917
20.000,12,504.044,1216.693,275.747
20.000,13,1691.942,2236.573,153.202
20.000,14,125.524,1679.467,102.034
20.000,15,221.496,650.795,594.088
20.000,16,2257.748,211.308,334.404
20.000,17,1706.726,2146.068,154.380
20.000,18,973.188,1819.365,560.209
20.000,19,694.882,1253.266,590.709
20.000,20,2159.068,245.830,279.037
20.000,21,1492.719,1210.000,453.979
20.000,22,416.614,544.260,119.158
20.000,23,676.473,195.494,374.260
20.000,24,719.924,1021.130,168.888
20.000,25,2052.243,564.431,230.230
20.000,26,673.955,650.653,520.470
20.000,27,2199.959,1266.850,375.458
20.000,28,878.084,1178.394,482.770
20.000,29,186.026,1805.620,253.268
20.000,30,744.894,208.129,284.309
20.000,31,2306.548,535.874,201.781
20.000,32,436.142,1052.372,344.160
20.000,33,598.184,1587.582,264.900
20.000,34,1446.399,893.866,253.489
20.000,35,2352.030,1046.840,529.599
20.000,36,998.450,1114.129,494.862
20.000,37,188.613,869.818,515.889
20.000,38,549.986,2189.508,234.288
20.000,39,2075.609,2110.937,187.028
20.000,40,238.429,753.556,471.472
20.000,41,529.210,1778.382,242.244
20.000,42,636.860,1873.695,279.214
20.000,43,392.245,1119.164,598.863
20.000,44,1405.328,1435.633,142.829
20.000,45,2234.035,1597.747,452.719
20.000,46,954.096,821.984,487.417
20.000,47,2004.229,474.999,447.080
20.000,48,2070.938,1473.525,200.652
20.000,49,749.659,1496.245,249.834
20.000,50,1556.453,413.895,202.523
20.000,51,2092.693,623.563,318.408
20.000,52,1304.496,864.064,481.509
20.000,53,360.238,1940.531,247.863
20.000,54,1579.311,212.544,523.442
20.000,55,2278.838,1769.389,554.407
20.000,56,804.409,389.531,175.811
20.000,57,876.016,1829.235,493.036
20.000,58,1418.896,384.627,561.342
20.000,59,1957.373,1794.125,550.947
20.000,60,1057.650,1329.920,272.835
20.000,61,48.351,1812.984,380.499
20.000,62,54.831,2241.429,537.661
20.000,63,1198.686,3.566,376.437
20.000,64,197.604,1575.153,478.420
20.000,65,1119.043,67.246,340.248
20.000,66,546.642,159.451,318.719
