seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
3,4.0000,0,2,511.3877,-88.3705,0.1756,19,0.4634,0.8571,7,8,6,0,0,8,6,0.2500
3,4.0000,0,5,499.1773,-88.0323,0.0193,15,0.3659,0.8571,7,5,2,0,0,5,2,0.6000
3,4.0000,0,18,289.2569,-80.1343,-2.2698,41,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,0,23,630.4296,-88.1156,1.3855,3,0.0732,,0,8,8,0,0,8,8,0.0000
3,4.0000,1,14,723.0920,-87.8769,-0.8506,6,0.1500,1.0000,6,2,2,0,0,2,2,0.0000
3,4.0000,1,20,710.4082,-88.6276,-0.0432,8,0.2000,1.0000,6,6,6,0,0,6,6,0.0000
3,4.0000,1,24,347.7947,-86.3898,-0.1831,36,0.9000,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,2,0,511.3877,-88.1110,0.3347,17,0.4250,0.8750,8,6,4,0,0,6,4,0.3333
3,4.0000,2,4,595.2827,-88.5588,0.1477,4,0.1000,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,2,5,353.1561,-83.7638,-1.4526,38,0.9500,0.4000,5,4,1,0,0,4,1,0.7500
3,4.0000,2,15,756.7208,-89.5381,-0.1969,4,0.1000,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,2,16,604.1202,-88.8214,0.0819,5,0.1250,1.0000,4,7,5,0,0,7,5,0.2857
3,4.0000,2,17,391.9744,-86.3433,0.2576,29,0.7250,0.0000,4,5,1,0,0,5,1,0.8000
3,4.0000,2,18,782.9748,-89.4093,0.2035,4,0.1000,1.0000,8,4,4,0,0,4,4,0.0000
3,4.0000,2,19,726.9797,-89.2854,0.3158,3,0.0750,,0,4,4,0,0,4,4,0.0000
3,4.0000,2,23,223.9687,-82.8700,0.3918,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,3,6,498.4484,-87.5869,-0.0768,18,0.4500,0.8571,7,8,7,0,0,8,7,0.1250
3,4.0000,3,8,246.3476,-80.3015,-1.7131,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,3,9,253.5193,-82.2928,-0.3687,40,1.0000,0.0000,4,5,1,0,0,5,1,0.8000
3,4.0000,4,2,595.2827,-89.1578,-0.5200,4,0.1000,0.8750,8,8,7,0,0,8,7,0.1250
3,4.0000,4,19,503.0391,-87.6871,-0.4343,22,0.5500,0.8571,7,7,5,0,0,7,5,0.2857
3,4.0000,4,23,605.5095,-88.5007,0.2518,12,0.3000,0.7143,7,8,8,0,0,8,8,0.0000
3,4.0000,5,0,499.1773,-87.9422,-0.0481,20,0.5000,0.7143,7,8,8,0,0,8,8,0.0000
3,4.0000,5,2,353.1561,-83.9115,-1.5972,38,0.9500,0.0000,4,7,5,0,0,7,5,0.2857
3,4.0000,5,15,602.3961,-88.3423,-0.1197,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,5,17,431.7623,-86.8899,-0.6771,32,0.8000,0.2000,5,7,6,0,0,7,6,0.1429
3,4.0000,5,18,702.6350,-89.7153,0.6477,3,0.0750,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,5,23,460.9624,-87.1375,-0.1267,27,0.6750,0.7500,8,6,4,0,0,6,4,0.3333
3,4.0000,6,3,498.4484,-87.1629,0.3259,23,0.5750,0.6667,6,8,7,0,0,8,7,0.1250
3,4.0000,6,7,524.2885,-88.3058,0.4942,11,0.2750,0.5000,6,6,3,0,0,6,3,0.5000
3,4.0000,6,8,585.6281,-88.5602,-0.4137,16,0.4000,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,6,9,594.3093,-88.6011,0.1997,12,0.3000,0.8571,7,8,7,0,0,8,7,0.1250
3,4.0000,7,6,524.2885,-88.3148,0.2689,11,0.2750,0.6000,5,7,5,0,0,7,5,0.2857
3,4.0000,7,21,629.4842,-88.2666,0.0511,13,0.3250,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,8,3,246.3476,-80.3081,-1.7577,39,0.9750,0.0000,3,4,0,0,0,4,0,1.0000
3,4.0000,8,6,585.6281,-88.6536,-0.2158,12,0.3000,0.7500,8,8,8,0,0,8,8,0.0000
3,4.0000,8,9,151.5778,-78.7119,0.6578,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,9,3,253.5193,-80.7881,-0.6068,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,9,6,594.3093,-88.6292,-0.5172,9,0.2250,1.0000,6,8,8,0,0,8,8,0.0000
3,4.0000,9,8,151.5778,-79.0886,0.7465,40,1.0000,0.0000,3,4,0,0,0,4,0,1.0000
3,4.0000,10,11,656.8431,-89.1914,0.8794,3,0.0750,,0,8,8,0,0,8,8,0.0000
3,4.0000,10,12,620.4108,-88.9113,0.1326,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,10,14,688.7237,-88.0659,-0.1279,13,0.3250,1.0000,6,4,4,0,0,4,4,0.0000
3,4.0000,10,19,633.2192,-89.3887,-0.1775,5,0.1250,1.0000,6,8,8,0,0,8,8,0.0000
3,4.0000,10,20,741.8985,-89.1939,-0.3615,3,0.0750,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,11,12,143.8496,-78.8820,0.6702,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,11,24,621.8427,-89.4191,0.3056,6,0.1500,1.0000,6,8,8,0,0,8,8,0.0000
3,4.0000,12,10,620.4108,-88.3402,-0.0455,5,0.1250,1.0000,6,8,7,0,0,8,7,0.1250
3,4.0000,12,11,143.8496,-78.5110,-0.0144,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
