t_s,node,x,y,z
0.000,0,1477.741,250.261,130.929
0.000,1,1722.860,253.777,482.017
0.000,2,1224.842,759.402,239.172
0.000,3,20.924,36.759,269.511
0.000,4,528.596,194.769,111.524
0.000,5,352.363,138.438,523.544
0.000,6,521.342,152.728,464.028
0.000,7,1442.515,1292.041,361.418
0.000,8,1993.562,1046.366,537.322
0.000,9,2215.361,1120.536,449.252
0.000,10,1547.365,45.380,155.028
0.000,11,1472.904,883.958,295.894
0.000,12,25.180,1.784,371.870
0.000,13,1913.917,1323.659,584.154
0.000,14,1636.358,309.345,247.725
0.000,15,838.198,1265.852,229.545
0.000,16,1232.966,154.969,572.388
0.000,17,2790.135,685.487,203.320
0.000,18,593.674,565.515,309.592
0.000,19,2412.925,511.331,205.061
0.000,20,2626.544,1418.705,389.375
0.000,21,1147.427,88.646,583.306
0.000,22,830.428,1139.787,468.191
0.000,23,413.608,1007.626,393.897
0.000,24,1597.263,188.815,363.592
0.000,25,1252.963,44.434,166.753
0.000,26,1321.624,446.269,584.216
0.000,27,1784.993,1382.679,331.636
0.000,28,800.268,877.538,116.416
0.000,29,2192.070,230.220,250.161
0.000,30,1538.520,340.875,370.951
0.000,31,413.343,551.037,387.502
0.000,32,1423.900,1344.941,569.704
0.000,33,1755.559,138.149,161.056
0.000,34,2611.374,1023.425,420.719
0.000,35,2667.833,472.855,518.478
0.000,36,2605.767,1158.770,589.747
0.000,37,1828.239,1300.466,285.958
0.000,38,1257.896,464.919,468.940
0.000,39,17.656,326.769,420.299
0.000,40,536.812,1280.380,208.300
0.000,41,333.169,94.656,414.973
0.000,42,1854.083,1059.697,450.065
0.000,43,1236.294,1389.381,443.414
0.000,44,1467.800,65.376,229.209
0.000,45,1976.409,569.621,109.157
0.000,46,1811.404,703.440,429.804
0.000,47,2311.087,3.155,131.876
0.000,48,2316.746,1199.223,402.995
0.000,49,1057.563,1003.382,474.475
0.000,50,2691.125,647.076,398.364
0.000,51,2723.341,856.493,448.802
0.000,52,405.334,795.083,470.276
0.000,53,1883.134,1282.049,178.003
0.000,54,2448.105,613.521,226.863
0.000,55,1777.357,1353.754,521.247
0.000,56,751.584,768.287,424.303
0.000,57,630.025,465.091,515.218
0.000,58,1390.797,1294.636,116.126
0.000,59,352.790,1202.805,368.420
0.000,60,1177.478,787.164,532.334
0.000,61,715.615,330.719,346.672
0.000,62,1215.995,1403.300,577.215
0.000,63,318.452,865.986,382.509
0.000,64,569.748,1221.779,132.234
0.000,65,2207.035,453.121,398.768
0.000,66,479.286,1129.447,443.833
0.000,67,1710.650,978.772,275.994
0.000,68,453.035,419.029,590.502
0.000,69,1504.557,1383.692,375.111
0.000,70,2218.930,1196.811,437.120
0.000,71,2637.565,881.821,252.739
0.000,72,2595.189,647.389,339.858
0.000,73,2465.116,1182.166,403.816
0.000,74,251.365,1162.552,520.412
0.000,75,603.676,618.571,463.061
0.000,76,686.485,350.816,423.264
0.000,77,708.528,466.292,447.894
0.000,78,871.675,1118.981,546.294
