t_s,node,x,y,z
0.000,0,1570.265,954.967,357.984
0.000,1,325.418,1109.264,353.161
0.000,2,1520.192,784.165,548.082
0.000,3,1571.333,404.476,573.128
0.000,4,1384.055,474.796,289.607
0.000,5,134.879,752.830,409.600
0.000,6,97.835,824.969,227.523
0.000,7,1333.613,319.039,136.427
0.000,8,170.176,378.744,354.140
0.000,9,399.609,576.930,503.038
0.000,10,455.268,495.056,173.738
0.000,11,412.229,639.401,387.854
0.000,12,911.800,416.232,113.585
0.000,13,43.694,1075.162,283.887
0.000,14,1414.197,837.223,119.429
0.000,15,760.119,1637.962,516.430
0.000,16,1244.153,458.789,422.238
0.000,17,1472.744,1138.953,342.371
0.000,18,991.073,1824.918,229.664
0.000,19,671.169,569.423,148.808
0.000,20,1111.958,951.752,321.493
0.000,21,816.612,914.570,525.326
0.000,22,1417.361,1101.657,300.459
0.000,23,1728.762,337.800,221.899
0.000,24,324.197,986.211,343.758
0.000,25,1725.146,392.784,356.870
0.000,26,856.124,934.086,375.823
0.000,27,292.264,1095.863,474.831
0.000,28,521.736,288.527,490.141
0.000,29,821.734,1157.897,594.691
0.000,30,65.391,1821.250,369.175
0.000,31,584.237,226.340,180.089
0.000,32,895.101,933.506,475.446
0.000,33,418.462,1148.254,563.975
0.000,34,1501.948,1702.433,190.345
0.000,35,1383.903,328.361,111.665
0.000,36,744.829,524.636,585.271
0.000,37,330.583,923.206,581.292
0.000,38,1424.237,1736.829,437.585
0.000,39,568.566,583.642,241.235
0.000,40,1646.618,437.670,325.615
0.000,41,908.698,1205.148,365.730
0.000,42,819.903,930.731,186.654
0.000,43,942.940,904.498,228.896
0.000,44,1512.040,261.819,279.975
0.000,45,438.053,1039.460,454.412
0.000,46,780.876,1097.448,363.821
0.000,47,533.623,88.140,568.101
0.000,48,515.880,1134.708,209.723
0.000,49,587.892,1299.070,525.282
0.000,50,600.691,506.520,344.453
0.000,51,626.081,1731.006,108.230
0.000,52,1252.646,1782.931,212.138
0.000,53,1449.990,1600.533,350.914
0.000,54,816.132,158.377,223.193
0.000,55,235.156,712.161,252.148
0.000,56,640.156,1167.538,346.952
0.000,57,1090.514,103.609,195.359
0.000,58,1017.492,590.446,224.061
0.000,59,781.255,947.673,260.831
0.000,60,747.011,939.785,352.584
0.000,61,1426.855,503.111,483.784
0.000,62,598.114,324.406,138.448
0.000,63,1562.505,1404.870,143.110
0.000,64,254.720,1060.069,449.293
0.000,65,1085.562,944.420,492.897
0.000,66,601.289,113.375,276.787
0.000,67,641.914,216.088,478.791
0.000,68,1592.756,826.061,419.699
0.000,69,1241.816,311.408,563.053
0.000,70,1316.979,1564.421,389.277
0.000,71,272.214,1380.439,251.211
0.000,72,881.767,656.311,584.476
0.000,73,1135.621,1704.775,516.877
0.000,74,1723.777,1327.690,413.228
0.000,75,1701.101,883.963,537.956
0.000,76,22.297,1247.241,558.496
0.000,77,671.908,769.667,407.342
0.000,78,428.111,629.915,190.180
0.000,79,1377.399,1063.874,179.899
0.000,80,1507.712,503.927,277.709
0.000,81,1564.281,1040.576,134.440
0.000,82,1595.839,1090.765,213.272
5.000,0,1662.163,916.407,353.813
5.000,1,363.551,1217.494,357.325
5.000,2,1612.136,799.350,543.198
5.000,3,1532.695,526.095,571.269
