t_s,node,x,y,z
0.000,0,1259.828,364.310,163.300
0.000,1,501.482,103.761,139.142
0.000,2,1834.228,706.519,334.043
0.000,3,617.237,398.712,195.699
0.000,4,709.816,76.501,101.711
0.000,5,739.075,1055.726,415.331
0.000,6,2181.063,747.939,413.484
0.000,7,1643.191,332.161,121.470
0.000,8,2271.504,295.720,292.006
0.000,9,1699.603,38.477,307.089
0.000,10,126.026,1295.055,497.970
0.000,11,1943.975,1343.830,227.689
0.000,12,1642.036,915.886,448.097
0.000,13,1543.511,964.532,269.501
0.000,14,487.589,75.825,554.084
0.000,15,2033.168,1037.847,318.422
0.000,16,1995.306,920.503,320.371
0.000,17,49.727,618.568,503.213
0.000,18,468.786,1182.133,422.276
0.000,19,287.896,901.580,223.209
0.000,20,1594.794,476.189,246.933
0.000,21,1260.197,1300.182,147.623
0.000,22,2513.052,488.750,128.423
0.000,23,485.722,733.536,436.103
0.000,24,742.790,54.345,185.019
0.000,25,364.739,956.930,256.433
0.000,26,164.696,621.554,524.682
0.000,27,2180.095,974.054,441.978
0.000,28,1102.370,233.835,522.272
0.000,29,2544.647,1284.300,388.721
0.000,30,2224.598,521.930,517.226
0.000,31,2376.727,818.695,359.876
0.000,32,852.103,1201.691,318.463
0.000,33,503.299,738.237,120.147
0.000,34,2095.957,746.719,540.981
0.000,35,1937.382,399.097,316.469
0.000,36,164.326,1404.126,399.611
0.000,37,978.210,465.062,117.710
0.000,38,1232.951,581.996,206.437
0.000,39,617.223,662.220,204.410
0.000,40,1778.483,728.155,119.412
0.000,41,2139.940,29.819,568.551
0.000,42,707.869,20.561,145.533
0.000,43,1982.698,464.751,156.881
0.000,44,893.952,272.973,423.321
0.000,45,786.551,1128.433,446.882
0.000,46,2360.054,1.961,152.171
0.000,47,2149.891,206.407,148.397
0.000,48,127.539,815.879,599.469
0.000,49,2390.039,290.258,423.574
0.000,50,1351.959,272.850,595.119
0.000,51,1191.916,1376.851,360.260
0.000,52,1998.820,266.597,584.544
0.000,53,181.427,137.604,517.259
0.000,54,434.097,1065.146,355.243
0.000,55,2103.475,809.977,103.345
0.000,56,1458.575,858.027,100.646
0.000,57,64.042,1369.321,282.125
0.000,58,1754.924,1320.550,277.650
0.000,59,1008.831,153.107,100.916
0.000,60,552.726,1176.041,134.670
0.000,61,2211.312,33.033,380.685
0.000,62,1473.008,604.724,456.184
5.000,0,1384.908,375.194,168.384
5.000,1,576.993,48.884,143.442
5.000,2,1828.007,583.063,333.906
5.000,3,542.980,435.952,195.140
5.000,4,805.830,173.608,100.639
5.000,5,624.462,1078.837,410.212
5.000,6,2153.217,866.249,410.731
5.000,7,1576.607,233.067,121.227
5.000,8,2263.179,409.457,287.867
5.000,9,1576.929,63.847,302.594
5.000,10,228.211,1364.059,494.192
5.000,11,1981.621,1216.369,226.165
5.000,12,1608.010,1051.131,453.910
5.000,13,1681.058,919.590,273.323
5.000,14,599.005,18.029,552.914
5.000,15,2044.720,941.942,323.390
5.000,16,2078.106,1020.112,325.928
5.000,17,20.190,583.528,506.889
5.000,18,485.578,1092.447,427.551
5.000,19,229.523,1022.305,223.038
5.000,20,1595.131,354.263,250.264
5.000,21,1383.375,1279.141,146.669
5.000,22,2439.879,497.768,129.951
5.000,23,545.642,630.463,436.039
5.000,24,689.240,25.973,182.338
5.000,25,248.957,947.323,258.628
5.000,26,143.037,540.475,527.178
5.000,27,2240.642,1062.089,445.478
5.000,28,1026.093,252.255,520.810
5.000,29,2430.293,1202.356,377.511
5.000,30,2137.083,569.778,518.058
5.000,31,2454.921,864.065,361.336
5.000,32,806.405,1330.124,312.567
5.000,33,521.649,599.806,123.842
5.000,34,2199.338,665.276,538.923
5.000,35,1886.487,325.143,316.087
5.000,36,75.136,1405.656,402.806
5.000,37,962.550,583.515,119.835
