scenario,seed,rng_run,nodes,area_x_m,area_y_m,tx_power_dbm,gm_alpha,packet_rate_pps,runtime_s,rows,avg_rssi,avg_retry,avg_pdr,status,reason
1,1,1,87,2818.834194,2097.869795,21.83122,0.701432,14,1493.966,116031,-83.073804,0.797135,0.197149,FAILED,acceptance gates failed (xem gates.log)
1,2,2,87,2818.834194,2097.869795,21.83122,0.701432,14,1532.331,114786,-83.000317,0.798482,0.195969,FAILED,acceptance gates failed (xem gates.log)
1,3,3,87,2818.834194,2097.869795,21.83122,0.701432,14,1618.916,114811,-83.032656,0.801243,0.193553,FAILED,acceptance gates failed (xem gates.log)
1,4,4,87,2818.834194,2097.869795,21.83122,0.701432,14,1701.151,114112,-82.941529,0.804011,0.190276,FAILED,acceptance gates failed (xem gates.log)
1,5,5,87,2818.834194,2097.869795,21.83122,0.701432,14,1647.549,115258,-82.887850,0.799068,0.195830,FAILED,acceptance gates failed (xem gates.log)
1,6,6,87,2818.834194,2097.869795,21.83122,0.701432,14,1627.461,114670,-82.851768,0.806243,0.188219,FAILED,acceptance gates failed (xem gates.log)
1,7,7,87,2818.834194,2097.869795,21.83122,0.701432,14,1699.515,116021,-82.979135,0.803286,0.191867,FAILED,acceptance gates failed (xem gates.log)
