t_s,node,x,y,z
0.000,0,1663.207,83.301,161.197
0.000,1,1813.386,401.734,566.087
0.000,2,2038.025,225.037,409.818
0.000,3,1966.458,1766.591,201.236
0.000,4,1659.903,1122.887,386.108
0.000,5,2489.341,1374.945,252.188
0.000,6,1105.962,1727.538,407.053
0.000,7,1335.193,1379.068,326.745
0.000,8,263.248,813.381,375.077
0.000,9,1852.205,54.830,247.525
0.000,10,1384.594,1545.578,503.360
0.000,11,252.658,35.750,579.583
0.000,12,698.164,1577.449,493.240
0.000,13,1060.021,1801.550,317.610
0.000,14,1682.888,545.338,111.198
0.000,15,1419.078,1176.539,238.321
0.000,16,267.080,1063.271,223.675
0.000,17,126.037,1573.193,413.683
0.000,18,1758.362,286.599,123.807
0.000,19,1609.913,243.167,398.302
0.000,20,1751.820,1376.698,111.894
0.000,21,2034.770,2070.432,527.860
0.000,22,2466.707,1741.943,132.014
0.000,23,834.165,2139.912,254.650
0.000,24,2369.703,706.399,400.381
0.000,25,2631.733,757.119,489.151
5.000,0,1681.872,13.019,164.272
5.000,1,1914.743,503.468,567.291
5.000,2,1949.171,308.864,415.029
5.000,3,2034.577,1644.610,205.327
5.000,4,1702.452,1027.108,386.634
5.000,5,2574.075,1342.961,253.483
5.000,6,1188.162,1649.157,403.684
5.000,7,1231.235,1394.461,323.050
5.000,8,336.716,776.017,376.723
5.000,9,1744.773,121.716,245.648
5.000,10,1417.082,1642.229,499.834
5.000,11,228.675,50.344,577.227
5.000,12,798.475,1648.881,500.735
5.000,13,1133.171,1777.026,315.212
5.000,14,1632.060,442.886,111.045
5.000,15,1445.291,1043.029,237.571
5.000,16,333.798,1096.182,227.375
5.000,17,60.712,1473.461,412.633
5.000,18,1782.798,413.248,128.735
5.000,19,1574.309,172.220,399.269
5.000,20,1618.615,1373.395,119.699
5.000,21,2088.099,2173.456,531.613
5.000,22,2380.366,1792.367,129.382
5.000,23,805.793,2060.577,250.574
5.000,24,2440.541,632.136,400.681
5.000,25,2619.989,862.291,489.358
10.000,0,1708.720,104.176,167.302
10.000,1,1996.165,628.276,571.009
10.000,2,1881.118,410.708,423.176
10.000,3,2101.787,1513.923,208.442
10.000,4,1756.004,928.046,390.848
10.000,5,2609.954,1305.299,257.303
10.000,6,1273.190,1573.004,401.057
10.000,7,1133.937,1396.463,318.514
10.000,8,413.386,738.328,378.852
10.000,9,1629.707,202.411,241.361
10.000,10,1444.127,1739.100,495.666
10.000,11,190.346,120.531,574.940
10.000,12,903.479,1717.505,503.822
10.000,13,1203.075,1752.687,311.796
10.000,14,1597.947,338.907,109.316
10.000,15,1488.875,910.489,229.548
10.000,16,401.548,1134.628,231.342
10.000,17,29.224,1390.925,412.840
10.000,18,1806.008,536.327,133.549
10.000,19,1551.737,97.438,397.944
10.000,20,1486.039,1349.850,125.048
10.000,21,2164.482,2171.728,534.009
10.000,22,2297.682,1856.066,122.098
10.000,23,771.620,1984.097,248.280
10.000,24,2505.566,556.107,399.670
10.000,25,2633.397,965.186,490.243
15.000,0,1750.404,186.291,169.925
15.000,1,2078.822,743.234,573.329
15.000,2,1800.106,522.007,432.036
15.000,3,2179.772,1398.546,212.573
15.000,4,1817.872,835.283,393.221
15.000,5,2522.867,1267.570,261.343
15.000,6,1358.993,1506.622,395.337
15.000,7,1029.218,1391.413,314.453
15.000,8,490.286,707.164,384.289
15.000,9,1521.990,288.095,238.932
15.000,10,1504.583,1829.242,489.405
15.000,11,163.941,198.247,572.660
15.000,12,996.120,1788.456,508.318
15.000,13,1271.806,1730.729,307.827
15.000,14,1552.893,237.136,109.342
15.000,15,1528.211,784.401,226.844
15.000,16,460.530,1188.690,234.200
15.000,17,87.068,1286.381,415.580
15.000,18,1794.415,663.959,141.325
15.000,19,1510.441,32.556,398.171
15.000,20,1363.620,1328.230,130.048
15.000,21,2260.513,2131.034,537.343
15.000,22,2208.669,1913.651,118.846
15.000,23,718.258,1918.927,244.465
15.000,24,2580.048,486.809,399.200
15.000,25,2610.683,1074.848,493.047
20.000,0,1779.773,274.300,174.492
20.000,1,2140.948,872.232,575.434
20.000,2,1711.285,617.237,438.990
20.000,3,2240.002,1267.451,212.376
20.000,4,1865.285,744.501,394.726
20.000,5,2436.467,1228.148,264.394
20.000,6,1454.680,1444.319,393.386
20.000,7,928.629,1406.225,310.835
20.000,8,574.746,674.304,386.666
20.000,9,1407.338,352.136,230.746
20.000,10,1529.070,1926.729,487.447
20.000,11,140.442,274.712,570.314
20.000,12,1090.858,1858.038,514.148
20.000,13,1344.453,1731.258,307.591
20.000,14,1488.963,131.613,108.030
20.000,15,1544.876,652.177,221.935
20.000,16,524.280,1227.316,237.040
20.000,17,173.071,1215.193,412.886
20.000,18,1805.118,795.723,148.781
20.000,19,1471.395,36.992,397.692
20.000,20,1234.555,1295.145,138.253
20.000,21,2337.249,2053.546,540.220
20.000,22,2120.904,1975.159,115.052
20.000,23,679.841,1840.948,241.050
20.000,24,2618.388,416.690,397.596
20.000,25,2582.992,1180.297,493.115
25.000,0,1808.746,363.295,178.175
25.000,1,2230.099,979.870,576.467
25.000,2,1650.341,728.322,443.656
25.000,3,2308.152,1143.325,214.894
25.000,4,1903.737,653.644,395.013
25.000,5,2345.585,1179.953,267.042
25.000,6,1559.016,1387.047,392.224
25.000,7,830.695,1419.046,307.248
25.000,8,662.731,666.174,389.398
25.000,9,1309.006,434.280,226.333
25.000,10,1552.924,2030.104,481.887
25.000,11,89.280,333.337,567.917
25.000,12,1177.543,1947.368,515.618
25.000,13,1414.993,1703.000,306.597
25.000,14,1466.500,15.032,108.634
25.000,15,1576.432,517.352,214.707
25.000,16,580.281,1269.734,241.197
25.000,17,255.106,1141.102,410.425
25.000,18,1808.261,923.193,153.746
25.000,19,1430.816,111.349,398.598
25.000,20,1110.659,1279.002,142.004
25.000,21,2399.328,1950.127,547.809
25.000,22,2022.743,2023.877,110.928
25.000,23,641.938,1769.683,237.521
25.000,24,2539.534,352.569,397.832
25.000,25,2592.615,1285.131,493.036
30.000,0,1837.961,453.814,181.425
30.000,1,2326.648,1077.720,575.608
30.000,2,1594.254,837.091,448.865
30.000,3,2373.563,1033.868,220.732
30.000,4,1944.498,554.997,396.172
30.000,5,2250.827,1132.583,270.153
30.000,6,1640.407,1310.993,390.750
30.000,7,727.623,1429.580,302.121
30.000,8,747.715,645.353,394.863
30.000,9,1192.156,499.633,223.886
30.000,10,1576.557,2130.120,478.155
30.000,11,73.761,406.379,567.710
30.000,12,1274.879,2017.861,519.518
30.000,13,1488.188,1675.538,303.721
30.000,14,1416.161,88.772,107.042
30.000,15,1563.862,380.885,208.639
30.000,16,641.807,1318.687,244.669
30.000,17,326.188,1055.074,412.057
30.000,18,1817.373,1051.986,156.543
30.000,19,1415.464,191.339,399.667
30.000,20,979.548,1259.719,147.714
30.000,21,2448.936,1855.815,552.662
30.000,22,1931.199,2071.099,106.768
30.000,23,597.351,1697.068,234.344
30.000,24,2461.661,296.002,397.901
30.000,25,2573.363,1385.708,491.912
35.000,0,1864.200,547.452,185.374
35.000,1,2424.161,1180.475,578.072
35.000,2,1526.374,939.261,454.786
35.000,3,2454.169,921.430,225.140
35.000,4,1982.492,450.329,394.718
35.000,5,2154.662,1097.705,271.836
35.000,6,1721.312,1236.385,387.932
35.000,7,626.525,1448.043,298.246
35.000,8,830.238,630.491,397.003
35.000,9,1066.531,566.650,219.843
35.000,10,1618.068,2190.715,473.380
35.000,11,21.170,473.335,566.253
35.000,12,1374.859,2089.620,525.007
35.000,13,1563.672,1657.119,300.643
