t_s,node,x,y,z
0.000,0,1823.634,1996.870,182.254
0.000,1,367.895,1980.798,165.090
0.000,2,2240.713,936.648,387.127
0.000,3,2584.120,1867.260,347.552
0.000,4,1209.929,1143.424,161.672
0.000,5,1664.203,734.816,506.356
0.000,6,1470.082,1974.041,222.964
0.000,7,973.015,1534.674,423.089
0.000,8,1195.217,1048.095,207.228
0.000,9,578.494,630.151,321.610
0.000,10,606.811,545.068,386.253
0.000,11,632.631,1788.393,468.251
0.000,12,390.092,69.962,405.938
0.000,13,2306.689,655.293,565.851
0.000,14,6.605,805.586,349.629
0.000,15,382.651,1056.899,453.608
0.000,16,2494.947,852.498,343.919
0.000,17,1217.684,1629.251,472.524
0.000,18,2578.204,651.207,342.603
0.000,19,1261.262,1858.421,332.702
0.000,20,2638.487,1158.593,120.967
0.000,21,2504.145,116.171,573.412
0.000,22,2431.911,1319.097,247.788
0.000,23,1425.663,1810.936,410.274
0.000,24,324.453,1554.558,390.998
0.000,25,1030.432,1302.979,531.397
0.000,26,931.534,1764.304,481.958
0.000,27,2778.669,1962.703,333.875
0.000,28,1872.126,174.716,111.248
0.000,29,2609.316,1049.150,109.885
0.000,30,2787.253,1907.541,119.766
0.000,31,1286.526,761.729,190.578
0.000,32,1371.577,248.763,438.168
0.000,33,43.881,302.043,247.763
0.000,34,171.797,1312.485,182.692
0.000,35,2527.247,1187.989,134.768
0.000,36,5.893,266.409,407.264
0.000,37,2186.249,1190.929,598.350
0.000,38,377.521,768.879,502.657
0.000,39,2631.706,587.091,301.492
0.000,40,1194.576,1747.451,190.312
0.000,41,1303.692,639.114,322.665
0.000,42,1578.985,1222.089,134.057
0.000,43,1499.962,931.827,144.004
0.000,44,974.304,1388.947,549.036
0.000,45,2810.706,1490.420,136.138
0.000,46,2685.657,1185.410,408.249
0.000,47,49.736,418.589,337.411
0.000,48,257.864,1127.677,156.084
0.000,49,1240.020,1701.602,306.894
0.000,50,1926.181,795.102,569.794
0.000,51,574.631,1966.775,445.257
0.000,52,2773.753,399.416,241.398
0.000,53,676.903,1438.930,573.336
0.000,54,1876.496,537.988,405.033
0.000,55,410.209,2020.623,142.445
0.000,56,887.894,1754.074,429.286
0.000,57,1897.561,844.550,169.405
0.000,58,40.306,706.157,133.894
0.000,59,956.988,1216.473,283.122
0.000,60,1861.658,1642.718,524.530
0.000,61,15.451,694.249,390.340
0.000,62,1510.689,841.068,557.928
0.000,63,2215.529,412.578,473.944
0.000,64,2346.016,60.091,347.631
0.000,65,1916.747,804.462,197.206
0.000,66,1249.946,1678.639,435.295
0.000,67,2358.905,392.202,163.050
0.000,68,2636.415,277.118,113.948
0.000,69,2174.806,1765.831,246.976
0.000,70,2095.409,141.840,598.259
0.000,71,764.595,245.504,474.339
0.000,72,1230.579,1284.684,259.904
0.000,73,1100.257,2040.877,224.715
0.000,74,1816.087,1509.820,310.026
0.000,75,568.239,853.003,411.508
0.000,76,2706.840,1788.199,142.035
0.000,77,817.153,1142.185,509.197
0.000,78,957.391,1024.117,250.811
0.000,79,1451.782,788.831,405.434
0.000,80,2499.253,1116.346,265.573
0.000,81,1268.598,1327.114,148.951
0.000,82,1456.810,426.278,185.892
0.000,83,1023.745,1058.137,566.009
