t_s,node,x,y,z
0.000,0,1033.778,243.104,213.679
0.000,1,2088.650,1730.290,398.454
0.000,2,2404.036,361.094,375.730
0.000,3,2667.608,440.168,133.578
0.000,4,717.547,1713.281,485.908
0.000,5,599.236,973.497,460.921
0.000,6,583.910,54.461,222.135
0.000,7,2297.829,81.403,563.010
0.000,8,1310.568,440.056,419.157
0.000,9,2598.452,340.306,241.711
0.000,10,2167.278,1309.480,395.696
0.000,11,2759.243,7.824,478.968
0.000,12,2723.794,1516.311,178.152
0.000,13,2812.382,965.853,273.827
0.000,14,109.816,1321.176,103.070
0.000,15,1109.468,14.189,246.348
0.000,16,2346.319,250.298,146.103
0.000,17,561.089,1585.518,458.082
0.000,18,2149.440,1582.045,456.809
0.000,19,2627.361,1605.363,138.355
0.000,20,2560.325,929.156,350.258
5.000,0,1036.885,165.796,210.636
5.000,1,2174.571,1665.497,396.540
5.000,2,2380.988,491.517,371.476
5.000,3,2640.008,571.737,129.053
5.000,4,612.939,1644.307,482.737
5.000,5,707.692,954.312,455.056
5.000,6,666.450,5.126,224.761
5.000,7,2400.601,51.168,560.019
5.000,8,1321.179,565.709,426.244
5.000,9,2647.844,238.359,240.925
5.000,10,2163.334,1406.789,395.745
5.000,11,2808.343,116.892,481.991
5.000,12,2665.630,1651.109,176.048
5.000,13,2798.510,1091.181,271.544
5.000,14,26.299,1421.931,109.136
5.000,15,1122.485,102.831,246.641
5.000,16,2466.601,308.163,151.780
5.000,17,446.007,1622.802,463.638
5.000,18,2091.286,1527.190,456.225
5.000,19,2601.552,1506.752,141.538
5.000,20,2609.450,836.251,357.463
10.000,0,1035.197,88.292,206.975
10.000,1,2261.967,1609.650,396.141
10.000,2,2409.227,628.331,365.851
10.000,3,2609.810,699.059,129.791
10.000,4,525.689,1569.925,475.745
10.000,5,809.157,920.483,453.611
10.000,6,719.932,90.225,227.928
10.000,7,2498.521,3.478,554.654
10.000,8,1336.687,685.865,431.743
10.000,9,2679.167,125.987,242.230
10.000,10,2129.570,1506.483,391.304
10.000,11,2815.048,226.311,485.820
10.000,12,2625.939,1701.439,172.209
10.000,13,2797.010,1213.114,269.977
10.000,14,76.136,1532.304,116.230
10.000,15,1124.726,198.575,245.975
10.000,16,2588.094,374.237,152.316
10.000,17,328.698,1667.690,466.248
10.000,18,2041.689,1473.913,453.203
10.000,19,2584.453,1406.337,144.802
10.000,20,2666.517,741.327,363.411
15.000,0,1054.567,13.548,206.779
15.000,1,2357.765,1575.452,394.775
15.000,2,2402.355,764.766,361.858
15.000,3,2580.131,830.825,125.834
15.000,4,403.874,1543.420,469.505
15.000,5,912.240,902.487,451.587
15.000,6,793.236,151.074,228.552
15.000,7,2599.682,37.038,551.193
15.000,8,1355.334,806.680,434.664
15.000,9,2694.768,10.167,242.281
15.000,10,2075.089,1601.163,388.385
15.000,11,2822.003,353.593,488.969
15.000,12,2603.282,1561.656,169.673
15.000,13,2768.467,1328.406,266.182
15.000,14,189.014,1605.541,122.379
15.000,15,1133.104,294.460,247.200
15.000,16,2722.375,371.434,153.299
15.000,17,219.821,1727.013,469.739
15.000,18,2002.505,1400.738,452.996
15.000,19,2571.273,1308.413,148.818
15.000,20,2742.536,655.350,368.003
20.000,0,1046.034,82.630,205.803
20.000,1,2438.174,1506.328,392.694
20.000,2,2379.340,899.293,354.992
20.000,3,2530.218,963.260,123.256
20.000,4,289.404,1509.124,465.172
20.000,5,1011.278,874.372,447.537
20.000,6,834.819,240.247,230.545
20.000,7,2695.407,64.638,550.855
20.000,8,1352.940,921.815,435.026
20.000,9,2709.868,128.949,241.385
20.000,10,2063.853,1703.667,384.638
20.000,11,2820.080,472.754,495.870
20.000,12,2585.489,1421.600,162.981
20.000,13,2725.405,1441.591,261.647
20.000,14,277.169,1690.371,126.402
20.000,15,1133.593,387.650,247.112
20.000,16,2844.471,419.068,158.833
20.000,17,117.421,1713.645,474.296
20.000,18,1938.761,1341.832,453.434
20.000,19,2562.486,1208.930,153.338
20.000,20,2830.453,596.423,369.997
25.000,0,1040.926,165.778,203.078
25.000,1,2496.516,1421.488,392.872
25.000,2,2373.481,1030.861,352.387
25.000,3,2461.906,1093.143,126.753
25.000,4,174.514,1498.869,464.116
25.000,5,1101.028,832.118,440.918
25.000,6,898.388,319.891,231.998
25.000,7,2810.626,64.475,549.974
25.000,8,1352.324,1037.574,439.423
25.000,9,2716.632,248.344,241.960
25.000,10,2048.739,1685.125,382.894
25.000,11,2837.692,597.509,502.925
25.000,12,2545.886,1290.159,154.836
25.000,13,2748.184,1560.864,261.387
25.000,14,355.482,1707.454,131.631
25.000,15,1143.225,474.350,246.867
25.000,16,2776.366,486.438,162.373
25.000,17,26.299,1642.087,477.321
25.000,18,1870.908,1284.996,453.172
25.000,19,2539.838,1113.241,156.617
25.000,20,2818.836,521.903,375.638
30.000,0,1047.363,236.179,203.067
30.000,1,2569.829,1342.178,396.156
30.000,2,2334.632,1164.966,350.877
30.000,3,2409.149,1231.388,127.766
30.000,4,100.142,1410.292,463.979
30.000,5,1196.331,826.965,437.770
30.000,6,976.169,392.826,232.527
30.000,7,2811.261,79.327,546.446
30.000,8,1367.523,1152.840,442.711
30.000,9,2725.040,364.889,240.131
30.000,10,2024.925,1586.154,382.705
30.000,11,2861.197,718.007,509.871
30.000,12,2490.434,1155.608,154.697
30.000,13,2753.555,1689.395,260.128
30.000,14,441.001,1610.226,136.423
30.000,15,1123.421,561.159,247.038
30.000,16,2663.752,558.112,163.739
30.000,17,86.614,1571.161,479.277
30.000,18,1811.631,1226.228,452.416
30.000,19,2532.352,1014.505,158.903
30.000,20,2765.461,434.541,380.925
35.000,0,1052.287,301.054,202.328
35.000,1,2653.488,1283.358,396.195
35.000,2,2329.333,1297.633,349.835
35.000,3,2387.697,1376.227,129.535
35.000,4,1.375,1343.485,463.358
35.000,5,1317.783,832.152,432.566
35.000,6,1060.300,454.297,236.029
35.000,7,2703.664,86.009,540.861
35.000,8,1348.257,1270.470,443.346
35.000,9,2748.353,480.184,236.549
35.000,10,1990.072,1490.901,382.727
35.000,11,2841.001,839.974,513.603
35.000,12,2381.293,1048.577,151.044
35.000,13,2740.083,1685.033,257.767
