t_s,node,x,y,z
0.000,0,1291.834,464.760,280.780
0.000,1,1338.929,476.203,312.715
0.000,2,759.170,834.388,498.837
0.000,3,1221.879,432.011,580.042
0.000,4,777.707,1323.571,373.156
0.000,5,1871.819,1199.254,548.772
0.000,6,398.223,339.829,166.959
0.000,7,1243.704,166.957,246.084
0.000,8,1564.391,570.599,244.562
0.000,9,68.105,803.127,270.055
0.000,10,1902.137,208.423,454.954
0.000,11,2058.766,255.372,288.998
0.000,12,439.422,67.779,120.912
0.000,13,350.524,446.724,174.006
0.000,14,658.456,658.686,330.587
0.000,15,486.290,71.121,324.324
0.000,16,2035.956,891.166,547.791
0.000,17,998.666,1304.326,232.727
0.000,18,154.516,67.697,521.033
0.000,19,1716.240,331.323,380.220
0.000,20,2060.847,1164.835,253.253
0.000,21,1198.684,699.047,398.811
0.000,22,1548.089,614.415,165.274
0.000,23,1383.521,1226.970,521.073
0.000,24,488.440,103.457,396.187
0.000,25,1736.930,1129.639,304.136
0.000,26,134.334,1342.381,477.644
0.000,27,2076.430,144.394,598.819
0.000,28,1577.985,267.333,140.209
0.000,29,2167.733,206.468,306.807
0.000,30,2087.987,97.768,521.080
0.000,31,177.330,948.910,282.677
0.000,32,2000.451,633.358,144.518
0.000,33,1090.771,530.365,211.602
0.000,34,76.688,244.224,250.633
0.000,35,1327.284,866.380,172.478
0.000,36,473.175,63.709,360.092
0.000,37,681.455,489.459,370.065
0.000,38,592.050,506.088,245.866
0.000,39,1070.800,1296.001,413.775
0.000,40,1090.382,469.486,401.294
0.000,41,1563.306,691.026,444.107
0.000,42,1376.376,903.273,467.372
0.000,43,277.488,657.802,404.826
0.000,44,1190.953,1143.958,324.517
0.000,45,1240.828,884.772,484.051
0.000,46,286.218,973.550,134.940
0.000,47,461.577,1040.987,527.636
0.000,48,1715.761,574.764,403.746
0.000,49,391.657,169.543,106.571
0.000,50,947.378,210.743,195.594
0.000,51,1095.806,1051.356,518.644
5.000,0,1170.822,469.051,280.282
5.000,1,1262.775,373.587,310.852
5.000,2,789.170,961.897,502.451
5.000,3,1335.168,374.933,578.847
5.000,4,900.541,1260.396,376.070
5.000,5,1928.573,1301.891,547.172
5.000,6,272.187,350.246,164.978
5.000,7,1149.304,126.697,247.221
5.000,8,1543.907,463.594,241.672
5.000,9,200.267,796.649,271.600
5.000,10,2014.904,267.797,449.937
5.000,11,2167.723,304.142,293.737
5.000,12,521.587,23.214,125.215
5.000,13,424.077,531.131,176.350
5.000,14,731.785,629.316,335.168
