seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
6,4.0000,0,6,593.6053,-89.3380,0.0670,3,0.0750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,8,530.8337,-88.8060,-0.1643,7,0.1750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,0,10,448.5086,-89.3073,0.0257,4,0.1000,1.0000,2,7,6,0,0,7,6,0.1429
6,4.0000,0,21,478.1260,-87.7843,0.4860,9,0.2250,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,0,32,399.5999,-87.0885,0.0674,16,0.4000,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,0,38,384.5233,-87.0428,-0.1280,21,0.5250,0.7143,7,7,5,0,0,7,5,0.2857
6,4.0000,0,40,509.6470,-88.6773,-0.2400,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,0,42,423.6058,-88.2824,0.3581,13,0.3250,0.7500,8,8,8,0,0,8,8,0.0000
6,4.0000,0,50,565.3582,-87.6694,-0.8347,10,0.2500,0.8750,8,4,4,0,0,4,4,0.0000
6,4.0000,0,53,355.9629,-87.9912,0.6461,15,0.3750,0.8571,7,8,5,0,0,8,5,0.3750
6,4.0000,0,56,432.7512,-88.1984,0.2492,11,0.2750,0.8000,5,7,6,0,0,7,6,0.1429
6,4.0000,0,58,531.2739,-88.6361,-0.2721,4,0.1000,1.0000,8,8,7,0,0,8,7,0.1250
6,4.0000,1,4,377.4115,-87.0989,0.0616,23,0.5750,0.6667,6,7,4,0,0,7,4,0.4286
6,4.0000,1,43,427.8211,-88.0173,-0.2921,20,0.5000,0.7143,7,7,6,0,0,7,6,0.1429
6,4.0000,2,15,459.0593,-87.8761,-0.2605,13,0.3250,0.8571,7,8,8,0,0,8,8,0.0000
6,4.0000,2,17,468.5656,-88.3059,0.0484,9,0.2250,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,2,27,332.9782,-85.6471,-0.2440,27,0.6750,0.5000,4,7,4,0,0,7,4,0.4286
6,4.0000,2,36,456.3824,-88.4969,-0.6220,5,0.1250,0.8571,7,8,8,0,0,8,8,0.0000
6,4.0000,2,40,290.5908,-85.7413,0.1528,35,0.8750,0.0000,4,6,3,0,0,6,3,0.5000
6,4.0000,2,46,461.3027,-87.5302,-0.3900,15,0.3750,1.0000,8,7,6,0,0,7,6,0.1429
6,4.0000,2,47,565.6466,-88.6931,-0.0635,7,0.1750,1.0000,6,6,6,0,0,6,6,0.0000
6,4.0000,2,50,539.6241,-87.8969,0.3451,4,0.1000,1.0000,8,4,4,0,0,4,4,0.0000
6,4.0000,2,52,320.8397,-85.9518,-0.3339,31,0.7750,0.4000,5,7,5,0,0,7,5,0.2857
6,4.0000,2,58,270.5318,-86.4979,0.4498,28,0.7000,0.6250,8,4,0,0,0,4,0,1.0000
6,4.0000,3,19,310.5086,-84.2112,-0.5766,34,0.8718,0.0000,3,5,2,0,0,5,2,0.6000
6,4.0000,3,24,448.0538,-87.2922,-0.3342,17,0.4359,0.5000,6,8,8,0,0,8,8,0.0000
6,4.0000,3,25,588.2626,-88.4819,-0.0248,8,0.2051,1.0000,6,6,6,0,0,6,6,0.0000
6,4.0000,3,29,449.0398,-87.8426,-0.1926,14,0.3590,0.6667,6,8,8,0,0,8,8,0.0000
6,4.0000,3,35,463.3976,-87.9721,-0.5351,14,0.3590,0.8571,7,7,6,0,0,7,6,0.1429
6,4.0000,3,41,190.0692,-81.4218,-0.2134,38,0.9744,0.0000,4,5,1,0,0,5,1,0.8000
6,4.0000,3,48,430.8731,-88.2337,-0.4155,18,0.4615,1.0000,8,7,6,0,0,7,6,0.1429
6,4.0000,3,57,126.5039,-78.4177,0.8229,39,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,4,1,377.4115,-87.2795,-0.2122,25,0.6250,0.7143,7,5,1,0,0,5,1,0.8000
6,4.0000,4,16,433.6229,-87.1998,-0.3155,21,0.5250,0.3333,6,8,8,0,0,8,8,0.0000
6,4.0000,4,26,535.0159,-88.4106,-0.0898,4,0.1000,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,4,43,434.8913,-87.6747,0.4354,16,0.4000,0.6667,6,6,4,0,0,6,4,0.3333
6,4.0000,4,49,448.1931,-88.0799,-0.3230,16,0.4000,0.8571,7,7,6,0,0,7,6,0.1429
6,4.0000,4,54,353.3054,-86.7342,0.0566,27,0.6750,0.5000,6,7,5,0,0,7,5,0.2857
6,4.0000,4,55,570.3294,-88.9177,-0.0465,5,0.1250,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,5,11,516.1065,-88.6720,-0.3103,7,0.1750,1.0000,6,6,6,0,0,6,6,0.0000
6,4.0000,5,12,581.7880,-88.7778,0.0312,5,0.1250,1.0000,8,4,4,0,0,4,4,0.0000
6,4.0000,5,20,188.8449,-82.6218,0.8523,38,0.9500,0.0000,5,5,1,0,0,5,1,0.8000
6,4.0000,5,28,372.6016,-87.3235,0.2394,17,0.4250,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,5,33,568.8315,-88.5809,0.0199,11,0.2750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,5,47,118.8878,-80.9403,2.0645,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,5,52,487.6182,-88.0711,0.1041,4,0.1000,1.0000,6,8,7,0,0,8,7,0.1250
6,4.0000,5,55,451.1414,-87.8414,0.2180,12,0.3000,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,6,8,99.5711,-76.2049,0.7184,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,6,18,132.3839,-77.9887,-0.4955,39,0.9750,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,6,21,615.0425,-89.3276,-0.4426,3,0.0750,1.0000,4,4,4,0,0,4,4,0.0000
6,4.0000,6,22,479.4552,-87.9599,0.9920,6,0.1500,1.0000,8,6,4,0,0,6,4,0.3333
6,4.0000,6,31,300.5100,-86.3288,0.0661,22,0.5500,0.8571,7,7,5,0,0,7,5,0.2857
6,4.0000,6,32,232.3938,-83.6299,-0.3527,39,0.9750,0.0000,4,5,1,0,0,5,1,0.8000
6,4.0000,6,34,173.0310,-80.3687,-0.2980,39,0.9750,0.4000,5,4,0,0,0,4,0,1.0000
6,4.0000,6,37,377.6272,-87.8547,0.2797,19,0.4750,1.0000,8,6,2,0,0,6,2,0.6667
6,4.0000,6,42,385.5781,-87.6991,0.4707,14,0.3500,0.7143,7,8,7,0,0,8,7,0.1250
6,4.0000,6,51,473.5026,-88.5846,0.6023,11,0.2750,1.0000,8,8,8,0,0,8,8,0.0000
6,4.0000,6,53,298.5201,-85.5351,0.0110,34,0.8500,0.4000,5,7,6,0,0,7,6,0.1429
6,4.0000,6,56,569.4015,-88.8110,-0.2096,6,0.1500,0.8000,5,4,4,0,0,4,4,0.0000
6,4.0000,7,10,504.1383,-88.3532,-0.1358,6,0.1500,1.0000,6,6,6,0,0,6,6,0.0000
6,4.0000,7,15,369.6819,-87.3767,0.1579,14,0.3500,1.0000,8,6,3,0,0,6,3,0.5000
6,4.0000,7,17,596.9616,-88.9552,0.0248,3,0.0750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,7,25,462.5869,-87.4177,0.0021,7,0.1750,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,7,36,332.5063,-86.5178,0.2205,20,0.5000,0.7143,7,4,0,0,0,4,0,1.0000
6,4.0000,7,39,379.8294,-87.0263,0.1209,21,0.5250,0.5714,7,6,3,0,0,6,3,0.5000
6,4.0000,7,48,312.8530,-86.4199,0.5219,23,0.5750,0.5714,7,6,3,0,0,6,3,0.5000
6,4.0000,8,0,530.8337,-88.9301,-0.5478,3,0.0769,1.0000,6,6,6,0,0,6,6,0.0000
6,4.0000,8,6,99.5711,-77.0005,0.2995,38,0.9744,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,8,18,128.1383,-79.1902,-0.2249,38,0.9744,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,8,21,544.9232,-88.8773,-0.3646,4,0.1026,0.8571,7,8,8,0,0,8,8,0.0000
6,4.0000,8,22,509.1355,-88.7388,0.2668,5,0.1282,1.0000,2,7,5,0,0,7,5,0.2857
6,4.0000,8,31,321.4286,-86.9009,0.0752,25,0.6410,0.6250,8,6,2,0,0,6,2,0.6667
6,4.0000,8,32,189.7257,-78.9127,-1.4828,38,0.9744,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,8,34,257.9595,-85.2556,-0.4687,33,0.8462,0.0000,4,4,0,0,0,4,0,1.0000
6,4.0000,8,37,470.1551,-87.9164,0.0138,12,0.3077,0.8000,5,6,6,0,0,6,6,0.0000
6,4.0000,8,42,316.9915,-87.1583,0.4469,27,0.6923,0.0000,3,8,4,0,0,8,4,0.5000
6,4.0000,8,51,570.3533,-89.4575,0.4824,3,0.0769,1.0000,6,8,8,0,0,8,8,0.0000
6,4.0000,8,53,267.5399,-84.3063,-0.1721,34,0.8718,0.2000,5,6,4,0,0,6,4,0.3333
6,4.0000,8,56,560.3694,-89.4594,-0.0266,6,0.1538,1.0000,8,6,6,0,0,6,6,0.0000
6,4.0000,9,11,531.9941,-88.5184,0.7074,5,0.1250,1.0000,8,7,6,0,0,7,6,0.1429
