seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
10,4.0000,0,12,287.4776,-85.9478,0.4051,32,0.7805,0.6667,6,4,0,0,0,4,0,1.0000
10,4.0000,0,24,231.1229,-83.8053,0.2789,40,0.9756,0.2000,5,5,2,0,0,5,2,0.6000
10,4.0000,0,32,330.2523,-86.6155,-0.0504,29,0.7073,0.6000,5,6,2,0,0,6,2,0.6667
10,4.0000,0,42,682.4504,-89.3526,0.2128,3,0.0732,1.0000,2,4,4,0,0,4,4,0.0000
10,4.0000,0,43,558.0131,-88.4600,0.0766,8,0.1951,1.0000,4,8,8,0,0,8,8,0.0000
10,4.0000,0,56,392.3819,-86.9290,0.3292,22,0.5366,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,0,57,259.8542,-85.0103,0.8476,34,0.8293,0.2000,5,6,3,0,0,6,3,0.5000
10,4.0000,1,6,464.5474,-88.6872,0.3578,3,0.0750,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,1,14,441.9480,-88.2699,0.6047,5,0.1250,1.0000,6,7,6,0,0,7,6,0.1429
10,4.0000,1,33,530.3255,-88.3960,-0.2756,8,0.2000,1.0000,4,8,8,0,0,8,8,0.0000
10,4.0000,1,38,433.0640,-87.2958,0.8296,9,0.2250,1.0000,6,7,6,0,0,7,6,0.1429
10,4.0000,1,42,212.0769,-80.7207,-0.5013,38,0.9500,0.0000,4,6,4,0,0,6,4,0.3333
10,4.0000,1,43,416.2147,-86.7774,-0.4479,19,0.4750,0.8750,8,7,6,0,0,7,6,0.1429
10,4.0000,2,12,601.5668,-88.5880,0.5716,5,0.1250,1.0000,4,2,2,0,0,2,2,0.0000
10,4.0000,2,16,222.0203,-81.2275,-0.9167,37,0.9250,0.0000,4,6,2,0,0,6,2,0.6667
10,4.0000,2,18,675.9756,-89.2119,-0.0858,3,0.0750,1.0000,6,4,4,0,0,4,4,0.0000
10,4.0000,2,24,600.9347,-87.6955,-0.1138,8,0.2000,1.0000,6,2,2,0,0,2,2,0.0000
10,4.0000,2,25,392.0921,-86.1960,0.0450,24,0.6000,0.8750,8,8,8,0,0,8,8,0.0000
10,4.0000,2,32,538.5940,-88.1925,0.4162,7,0.1750,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,2,36,665.2099,-88.9640,-1.5652,4,0.1000,1.0000,8,4,4,0,0,4,4,0.0000
10,4.0000,2,55,472.3302,-88.3068,0.5006,12,0.3000,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,2,56,396.4700,-87.5789,0.7730,16,0.4000,1.0000,8,6,4,0,0,6,4,0.3333
10,4.0000,2,57,540.1060,-88.2647,-0.0228,10,0.2500,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,3,18,445.6139,-87.8490,-0.8540,8,0.2000,1.0000,8,10,10,0,0,10,10,0.0000
10,4.0000,3,26,287.1680,-81.3668,-1.9363,32,0.8000,0.0000,4,6,3,0,0,6,3,0.5000
10,4.0000,3,27,480.2507,-87.5475,0.3312,7,0.1750,0.8750,8,8,8,0,0,8,8,0.0000
10,4.0000,3,37,410.4111,-87.3129,-0.2085,27,0.6750,0.5000,4,7,6,0,0,7,6,0.1429
10,4.0000,3,39,349.0990,-85.6516,-0.9921,32,0.8000,0.5000,6,8,7,0,0,8,7,0.1250
10,4.0000,3,45,468.0743,-87.8196,0.8465,11,0.2750,0.7143,7,8,8,0,0,8,8,0.0000
10,4.0000,3,49,422.4218,-87.3977,0.0613,16,0.4000,1.0000,8,7,6,0,0,7,6,0.1429
10,4.0000,3,61,349.5880,-87.0464,0.6005,16,0.4000,1.0000,8,6,3,0,0,6,3,0.5000
10,4.0000,3,70,370.8214,-85.7490,-0.4369,19,0.4750,0.5714,7,7,6,0,0,7,6,0.1429
10,4.0000,4,8,391.2400,-87.2651,0.4751,10,0.2500,1.0000,6,7,6,0,0,7,6,0.1429
10,4.0000,4,15,377.2026,-85.1609,-0.1601,24,0.6000,0.7143,7,8,8,0,0,8,8,0.0000
10,4.0000,4,17,646.7233,-87.1487,1.2862,4,0.1000,1.0000,4,6,6,0,0,6,6,0.0000
10,4.0000,4,20,273.0627,-82.3823,-1.5587,34,0.8500,0.0000,4,5,2,0,0,5,2,0.6000
10,4.0000,4,28,547.3848,-88.3284,-2.1654,3,0.0750,,0,8,8,0,0,8,8,0.0000
10,4.0000,4,29,193.7433,-82.2906,0.5402,36,0.9000,0.2000,5,4,0,0,0,4,0,1.0000
10,4.0000,4,40,288.9150,-86.1741,0.5922,19,0.4750,1.0000,8,6,3,0,0,6,3,0.5000
10,4.0000,4,51,329.1714,-85.8738,0.1327,21,0.5250,0.8750,8,7,4,0,0,7,4,0.4286
10,4.0000,4,52,413.2719,-88.0172,0.5092,9,0.2250,1.0000,4,8,7,0,0,8,7,0.1250
10,4.0000,4,54,435.5416,-88.3510,-0.0706,7,0.1750,1.0000,4,8,7,0,0,8,7,0.1250
10,4.0000,4,62,195.1735,-79.3152,-1.1130,39,0.9750,0.0000,4,5,1,0,0,5,1,0.8000
10,4.0000,4,68,435.1025,-87.3157,-0.0395,17,0.4250,0.8571,7,8,6,0,0,8,6,0.2500
10,4.0000,4,69,397.3064,-86.4146,-1.1575,17,0.4250,0.7143,7,8,8,0,0,8,8,0.0000
10,4.0000,5,21,222.1554,-83.1974,-0.0640,33,0.8250,0.3333,6,5,1,0,0,5,1,0.8000
10,4.0000,5,23,387.3770,-84.8602,-1.5115,30,0.7500,0.8571,7,8,7,0,0,8,7,0.1250
10,4.0000,5,27,508.9270,-88.7198,-0.1398,9,0.2250,1.0000,8,8,7,0,0,8,7,0.1250
10,4.0000,5,28,333.7115,-86.0150,-0.6821,25,0.6250,0.4000,5,8,8,0,0,8,8,0.0000
10,4.0000,5,46,239.9167,-81.6336,-0.9914,34,0.8500,0.4000,5,6,4,0,0,6,4,0.3333
10,4.0000,5,50,494.7944,-88.0702,0.5546,6,0.1500,1.0000,4,8,8,0,0,8,8,0.0000
10,4.0000,5,52,298.4521,-82.2870,-1.7229,31,0.7750,0.2000,5,7,6,0,0,7,6,0.1429
10,4.0000,5,54,503.8125,-87.4257,-0.2859,13,0.3250,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,5,58,289.3723,-84.7692,-0.4670,28,0.7000,0.0000,4,6,3,0,0,6,3,0.5000
10,4.0000,5,59,238.4688,-83.6537,0.3847,33,0.8250,0.2000,5,4,0,0,0,4,0,1.0000
10,4.0000,5,63,107.2292,-72.4584,-0.7113,38,0.9500,0.0000,4,6,3,0,0,6,3,0.5000
10,4.0000,5,64,325.2399,-86.6685,0.5848,22,0.5500,1.0000,6,5,1,0,0,5,1,0.8000
10,4.0000,5,67,315.4276,-84.8907,-0.3655,32,0.8000,0.4000,5,7,5,0,0,7,5,0.2857
10,4.0000,5,70,638.6903,-89.0361,0.2713,3,0.0750,,0,8,8,0,0,8,8,0.0000
10,4.0000,6,1,464.5474,-88.6413,0.1278,6,0.1500,1.0000,8,7,3,0,0,7,3,0.5714
10,4.0000,6,10,491.8546,-87.4576,-0.1055,16,0.4000,1.0000,8,6,6,0,0,6,6,0.0000
10,4.0000,6,14,387.8593,-87.4504,-0.1050,13,0.3250,0.8333,6,7,4,0,0,7,4,0.4286
10,4.0000,6,33,171.0744,-76.2804,-1.8675,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,6,42,563.8213,-88.3459,0.1781,4,0.1000,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,6,47,568.5981,-89.1828,-0.1559,10,0.2500,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,7,11,464.7783,-88.0422,-0.0893,18,0.4500,0.8571,7,8,7,0,0,8,7,0.1250
10,4.0000,7,17,499.2127,-87.4922,0.5974,9,0.2250,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,7,19,358.2425,-86.1021,-0.6754,27,0.6750,0.5000,6,6,4,0,0,6,4,0.3333
10,4.0000,7,44,511.8903,-88.5914,-0.4960,8,0.2000,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,7,53,463.8068,-86.0771,-1.3343,12,0.3000,0.8750,8,8,8,0,0,8,8,0.0000
10,4.0000,7,73,583.6737,-88.6981,-0.3083,9,0.2250,1.0000,6,4,4,0,0,4,4,0.0000
10,4.0000,8,4,391.2400,-87.3437,0.2198,8,0.2000,0.8333,6,7,6,0,0,7,6,0.1429
10,4.0000,8,9,629.1847,-88.9778,0.4852,3,0.0750,,0,4,4,0,0,4,4,0.0000
10,4.0000,8,10,370.8329,-86.3594,0.2564,17,0.4250,0.5714,7,8,7,0,0,8,7,0.1250
10,4.0000,8,15,386.4099,-86.8222,-0.2559,15,0.3750,0.7143,7,6,3,0,0,6,3,0.5000
10,4.0000,8,20,376.1578,-87.3350,0.2139,13,0.3250,0.8750,8,7,5,0,0,7,5,0.2857
10,4.0000,8,33,636.3600,-89.1397,0.4604,3,0.0750,1.0000,4,4,4,0,0,4,4,0.0000
10,4.0000,8,35,525.2283,-88.7608,-0.6198,7,0.1750,1.0000,8,4,4,0,0,4,4,0.0000
10,4.0000,8,40,415.6019,-86.3226,-0.0168,18,0.4500,0.8750,8,8,8,0,0,8,8,0.0000
10,4.0000,8,51,478.5965,-89.3462,0.0490,4,0.1000,1.0000,6,5,2,0,0,5,2,0.6000
10,4.0000,8,54,424.4976,-86.7596,0.0330,4,0.1000,0.8571,7,7,4,0,0,7,4,0.4286
10,4.0000,8,66,485.8500,-87.6232,-0.3339,19,0.4750,1.0000,6,8,8,0,0,8,8,0.0000
10,4.0000,8,68,286.0682,-84.7812,0.2901,31,0.7750,0.3333,6,5,1,0,0,5,1,0.8000
10,4.0000,8,69,391.8047,-87.0705,0.1068,16,0.4000,0.6667,6,7,5,0,0,7,5,0.2857
10,4.0000,9,10,308.0100,-86.1669,0.1471,26,0.6500,0.4286,7,5,1,0,0,5,1,0.8000
10,4.0000,9,14,379.8260,-86.4361,-0.4605,13,0.3250,0.8750,8,6,4,0,0,6,4,0.3333
10,4.0000,9,31,381.2562,-85.2837,0.1725,22,0.5500,0.7143,7,8,8,0,0,8,8,0.0000
10,4.0000,9,33,564.7226,-88.7972,0.7545,4,0.1000,1.0000,4,6,6,0,0,6,6,0.0000
10,4.0000,9,38,460.4511,-86.4659,-0.1573,16,0.4000,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,9,42,517.6797,-87.5371,0.2838,3,0.0750,1.0000,4,8,8,0,0,8,8,0.0000
10,4.0000,9,54,514.7968,-88.1761,0.2272,4,0.1000,1.0000,6,8,8,0,0,8,8,0.0000
10,4.0000,10,6,491.8546,-87.8270,-0.1221,15,0.3750,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,10,8,370.8329,-86.3443,0.4127,23,0.5750,0.8571,7,8,8,0,0,8,8,0.0000
10,4.0000,10,9,308.0100,-85.6087,0.0414,26,0.6500,0.6667,6,7,5,0,0,7,5,0.2857
10,4.0000,10,14,312.8292,-85.3580,0.1859,30,0.7500,0.7143,7,6,3,0,0,6,3,0.5000
10,4.0000,10,33,385.3626,-86.4936,-0.1876,23,0.5750,0.8571,7,5,2,0,0,5,2,0.6000
10,4.0000,10,38,646.1537,-88.9041,0.4904,5,0.1250,1.0000,8,2,2,0,0,2,2,0.0000
10,4.0000,10,40,464.3167,-88.1673,0.3582,11,0.2750,0.8571,7,8,7,0,0,8,7,0.1250
10,4.0000,10,54,454.4965,-88.9079,0.2132,6,0.1500,1.0000,6,8,8,0,0,8,8,0.0000
10,4.0000,10,68,654.4883,-89.3740,-0.2307,4,0.1000,,0,4,4,0,0,4,4,0.0000
10,4.0000,10,69,429.6951,-87.9083,0.7682,8,0.2000,1.0000,4,7,5,0,0,7,5,0.2857
10,4.0000,11,7,464.7783,-88.5456,0.0759,14,0.3500,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,11,19,234.3352,-83.5866,-0.2861,37,0.9250,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,11,44,296.0270,-85.4387,0.3854,33,0.8250,0.0000,4,5,1,0,0,5,1,0.8000
10,4.0000,11,48,666.7390,-88.6800,-0.7150,5,0.1250,1.0000,6,4,4,0,0,4,4,0.0000
10,4.0000,11,71,339.3310,-86.5589,0.0783,28,0.7000,0.8333,6,5,1,0,0,5,1,0.8000
10,4.0000,11,72,528.9559,-88.5148,-0.1541,6,0.1500,0.8571,7,8,8,0,0,8,8,0.0000
10,4.0000,12,0,287.4776,-85.7574,0.0322,33,0.8250,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,12,24,130.6068,-78.5215,-0.3337,39,0.9750,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,12,25,592.0139,-87.1789,-0.9466,10,0.2500,0.8750,8,6,6,0,0,6,6,0.0000
10,4.0000,12,31,584.8856,-88.2219,2.5755,4,0.1000,1.0000,4,8,8,0,0,8,8,0.0000
10,4.0000,12,32,280.4566,-82.8423,-1.2859,36,0.9000,0.0000,4,7,4,0,0,7,4,0.4286
