seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
3,4.0000,0,4,216.5084,-81.1707,0.4587,30,0.7500,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,0,10,523.6606,-87.0597,0.6597,7,0.1750,1.0000,8,6,6,0,0,6,6,0.0000
3,4.0000,0,13,309.8488,-84.4302,0.2673,14,0.3500,0.6000,5,7,6,0,0,7,6,0.1429
3,4.0000,0,19,317.2409,-84.3423,-0.0818,26,0.6500,0.6667,6,8,6,0,0,8,6,0.2500
3,4.0000,0,25,629.4832,-89.2668,0.2751,5,0.1250,1.0000,6,6,6,0,0,6,6,0.0000
3,4.0000,0,28,100.7583,-77.7647,1.7512,37,0.9250,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,0,31,397.6028,-84.8865,0.0227,13,0.3250,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,0,32,518.0291,-87.0011,-1.0459,3,0.0750,1.0000,8,6,6,0,0,6,6,0.0000
3,4.0000,0,33,658.9296,-86.1083,1.2255,3,0.0750,1.0000,8,4,4,0,0,4,4,0.0000
3,4.0000,0,37,414.7667,-86.9930,-0.0586,8,0.2000,0.8333,6,8,8,0,0,8,8,0.0000
3,4.0000,0,43,328.0216,-84.7704,0.1133,22,0.5500,0.5714,7,8,7,0,0,8,7,0.1250
3,4.0000,0,49,81.7814,-78.4043,2.3054,39,0.9750,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,0,53,411.5964,-84.9438,0.1608,12,0.3000,0.8571,7,8,8,0,0,8,8,0.0000
3,4.0000,0,61,279.2504,-82.8283,0.5817,27,0.6750,1.0000,6,8,7,0,0,8,7,0.1250
3,4.0000,0,71,647.7814,-88.3222,-6.3678,3,0.0750,1.0000,8,4,4,0,0,4,4,0.0000
3,4.0000,0,72,470.7539,-86.4200,1.6133,5,0.1250,1.0000,4,6,6,0,0,6,6,0.0000
3,4.0000,0,81,486.6224,-87.4292,1.4025,4,0.1000,1.0000,6,8,8,0,0,8,8,0.0000
3,4.0000,1,2,552.9365,-87.2589,-0.7734,8,0.2000,0.8571,7,8,8,0,0,8,8,0.0000
3,4.0000,1,5,418.1392,-85.9034,-1.1419,15,0.3750,0.7143,7,6,5,0,0,6,5,0.1667
3,4.0000,1,12,512.0104,-86.6235,-0.0777,9,0.2250,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,1,23,359.3179,-85.2545,-0.3503,19,0.4750,0.6667,6,6,3,0,0,6,3,0.5000
3,4.0000,1,45,557.1018,-87.0407,0.1010,5,0.1250,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,1,51,581.5105,-86.6801,-0.3319,4,0.1000,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,2,1,552.9365,-87.3660,-0.5585,16,0.3902,1.0000,6,8,8,0,0,8,8,0.0000
3,4.0000,2,5,211.1538,-80.8598,0.1201,38,0.9268,0.3333,6,5,1,0,0,5,1,0.8000
3,4.0000,2,12,234.7940,-78.0925,-1.9316,38,0.9268,0.0000,4,6,3,0,0,6,3,0.5000
3,4.0000,2,21,529.8559,-86.4210,0.9393,5,0.1220,1.0000,4,8,8,0,0,8,8,0.0000
3,4.0000,2,23,388.7414,-85.6464,0.2792,25,0.6098,0.7143,7,8,7,0,0,8,7,0.1250
3,4.0000,2,35,536.1317,-87.5963,-0.1965,6,0.1463,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,2,40,596.8482,-87.9195,-0.1392,4,0.0976,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,2,45,476.0257,-86.6979,0.3682,12,0.2927,1.0000,6,8,7,0,0,8,7,0.1250
3,4.0000,2,47,501.0269,-87.4486,1.0038,6,0.1463,1.0000,8,7,6,0,0,7,6,0.1429
3,4.0000,2,51,139.6175,-76.5822,-0.1428,37,0.9024,0.2000,5,4,0,0,0,4,0,1.0000
3,4.0000,2,64,501.9908,-87.1316,0.4363,7,0.1707,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,2,67,451.6692,-85.9814,0.9358,5,0.1220,0.8750,8,8,8,0,0,8,8,0.0000
3,4.0000,2,70,281.3242,-84.3536,0.9964,13,0.3171,0.8571,7,4,2,0,0,4,2,0.5000
3,4.0000,2,75,336.4797,-83.8321,-0.7832,26,0.6341,0.2000,5,7,5,0,0,7,5,0.2857
3,4.0000,2,83,396.8031,-85.8069,0.1414,18,0.4390,0.4000,5,6,3,0,0,6,3,0.5000
3,4.0000,2,84,468.3258,-86.4009,0.2695,12,0.2927,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,3,11,554.2754,-87.8383,0.4375,5,0.1250,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,3,26,439.3497,-86.3383,-0.4663,7,0.1750,1.0000,8,8,6,0,0,8,6,0.2500
3,4.0000,3,30,409.3986,-85.5778,-0.2179,15,0.3750,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,3,40,543.5711,-87.0153,-0.4136,5,0.1250,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,3,57,341.0000,-86.6971,-0.2447,17,0.4250,0.8750,8,4,0,0,0,4,0,1.0000
3,4.0000,3,66,352.1134,-85.2728,-0.5308,10,0.2500,0.7778,9,7,4,0,0,7,4,0.4286
3,4.0000,3,69,424.3875,-86.0023,0.1034,11,0.2750,0.8571,7,10,9,0,0,10,9,0.1000
3,4.0000,3,74,375.2716,-85.5426,-0.1534,18,0.4500,0.8571,7,6,3,0,0,6,3,0.5000
3,4.0000,3,78,605.4919,-86.8941,1.2442,3,0.0750,1.0000,6,2,2,0,0,2,2,0.0000
3,4.0000,4,0,216.5084,-80.4176,-0.1537,33,0.8250,0.5000,6,4,0,0,0,4,0,1.0000
3,4.0000,4,10,522.0517,-85.0543,0.3592,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,4,13,497.9487,-87.4042,1.3569,5,0.1250,1.0000,6,8,8,0,0,8,8,0.0000
3,4.0000,4,19,151.3122,-78.8367,0.4442,39,0.9750,0.0000,4,4,0,0,0,4,0,1.0000
3,4.0000,4,25,492.4100,-87.3856,0.5570,10,0.2500,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,4,28,176.6848,-80.5200,0.0220,38,0.9500,0.0000,4,5,1,0,0,5,1,0.8000
3,4.0000,4,31,252.4276,-82.7064,-0.3908,29,0.7250,0.0000,4,7,4,0,0,7,4,0.4286
