t_s,node,x,y,z
0.000,0,745.394,415.745,276.265
0.000,1,2022.991,1368.921,234.819
0.000,2,289.316,959.325,193.049
0.000,3,366.715,1427.154,495.228
0.000,4,1068.277,2330.418,526.940
0.000,5,568.841,2289.302,483.049
0.000,6,165.751,1299.056,247.884
0.000,7,387.539,512.334,365.318
0.000,8,1169.088,109.660,179.191
0.000,9,1966.074,1703.142,243.453
0.000,10,1262.783,2470.283,468.271
0.000,11,2107.684,770.709,517.412
0.000,12,1264.485,1611.147,405.370
0.000,13,1605.112,821.691,578.872
0.000,14,888.607,918.139,151.079
0.000,15,186.433,1155.219,171.069
0.000,16,978.946,659.955,466.135
0.000,17,1777.396,2004.210,263.983
0.000,18,769.322,87.340,288.702
0.000,19,1701.916,1104.479,598.131
0.000,20,1517.785,2224.638,105.454
0.000,21,249.118,2356.654,106.963
0.000,22,274.559,185.766,503.223
0.000,23,209.348,712.891,393.044
0.000,24,776.908,2199.643,170.834
0.000,25,2051.494,1493.472,254.118
0.000,26,348.251,2610.041,357.066
0.000,27,197.374,2527.569,127.620
0.000,28,905.458,2643.752,357.292
0.000,29,178.207,2310.599,339.495
0.000,30,892.746,1954.465,358.644
0.000,31,271.464,2317.457,457.601
0.000,32,2039.922,2089.289,275.637
0.000,33,403.606,1689.447,503.375
0.000,34,2051.438,552.817,392.787
0.000,35,1941.435,2058.537,515.252
0.000,36,166.072,1556.044,447.648
0.000,37,1703.785,2409.509,298.794
0.000,38,1656.486,24.122,133.123
0.000,39,1638.145,2210.915,573.064
0.000,40,1713.179,2450.862,253.297
0.000,41,477.764,512.200,317.003
0.000,42,436.670,2113.531,337.446
0.000,43,1573.387,685.330,308.879
5.000,0,818.975,386.385,272.188
5.000,1,1935.294,1409.026,234.737
5.000,2,364.584,1021.111,196.299
5.000,3,344.037,1351.575,493.174
5.000,4,1037.705,2207.735,533.045
5.000,5,569.544,2198.008,481.945
5.000,6,72.686,1274.624,244.830
5.000,7,316.956,412.760,371.802
