t_s,node,x,y,z
0.000,0,1487.551,672.310,160.734
0.000,1,842.917,1215.951,499.487
0.000,2,1455.592,926.173,513.535
0.000,3,2681.695,10.910,177.162
0.000,4,698.161,900.793,494.179
0.000,5,1091.339,710.492,183.540
0.000,6,527.753,648.105,416.664
0.000,7,1123.590,491.720,136.954
0.000,8,220.720,79.615,453.127
0.000,9,558.989,1882.881,397.467
0.000,10,669.094,361.458,423.215
0.000,11,2791.737,149.363,459.197
0.000,12,562.244,1120.127,104.930
0.000,13,195.186,293.976,469.155
0.000,14,2778.871,2093.150,336.061
0.000,15,2610.684,264.685,286.871
0.000,16,873.573,1923.207,392.313
0.000,17,2357.678,1547.979,408.893
0.000,18,724.776,537.853,235.518
0.000,19,1371.226,1283.442,363.004
0.000,20,633.072,1985.909,440.818
0.000,21,1694.651,301.093,465.374
0.000,22,264.469,541.402,133.494
0.000,23,2507.533,288.638,509.232
0.000,24,2345.429,752.157,158.862
0.000,25,122.975,45.832,351.110
0.000,26,1082.519,1800.288,371.402
0.000,27,379.552,577.296,143.742
0.000,28,1713.449,1897.489,471.766
0.000,29,2033.172,1479.663,450.157
0.000,30,491.608,2025.542,258.029
0.000,31,768.371,1544.204,162.707
0.000,32,2339.491,1204.556,328.641
0.000,33,1810.969,1345.751,165.961
0.000,34,1089.704,417.007,292.504
0.000,35,1637.034,2071.311,242.394
0.000,36,1161.581,621.649,216.726
0.000,37,1513.180,1082.765,203.790
0.000,38,1588.393,824.770,181.684
0.000,39,1056.792,1730.053,396.715
0.000,40,2228.732,1196.358,393.167
0.000,41,411.756,956.521,392.660
0.000,42,2401.375,861.992,122.101
0.000,43,947.723,1798.302,442.606
0.000,44,2095.285,1227.904,433.517
0.000,45,2468.922,1510.039,520.071
0.000,46,2603.676,1658.703,420.458
0.000,47,1651.259,231.797,381.095
0.000,48,2177.984,1288.628,203.483
0.000,49,1640.020,660.062,212.282
0.000,50,1306.191,2033.657,588.868
0.000,51,2705.080,827.601,237.425
0.000,52,1264.803,1438.026,191.786
0.000,53,24.663,503.383,330.711
0.000,54,27.167,866.377,486.928
0.000,55,2504.149,147.419,247.469
0.000,56,780.833,2000.639,307.488
0.000,57,1346.148,1097.751,271.373
0.000,58,2296.706,1494.571,213.742
0.000,59,1852.656,1455.034,234.701
0.000,60,589.663,1799.229,266.104
0.000,61,59.919,695.542,496.588
0.000,62,1211.012,1169.986,359.012
0.000,63,2159.633,1507.479,115.009
0.000,64,1608.684,469.803,128.194
0.000,65,155.532,414.521,508.195
0.000,66,52.887,1211.423,166.039
0.000,67,2042.545,806.777,394.048
0.000,68,1972.012,1767.543,452.280
0.000,69,471.440,1379.860,484.663
0.000,70,1380.627,425.959,239.333
0.000,71,1466.469,1741.806,440.846
0.000,72,508.537,982.310,359.259
0.000,73,2497.318,1413.380,468.141
0.000,74,1833.803,175.989,263.249
0.000,75,26.649,2010.686,321.507
0.000,76,369.476,1478.391,133.517
0.000,77,1737.068,439.954,155.866
0.000,78,2702.417,1222.996,220.463
