t_s,node,x,y,z
0.000,0,1974.091,1824.630,515.028
0.000,1,780.854,1674.057,152.243
0.000,2,1575.219,103.787,489.316
0.000,3,121.220,1707.412,102.781
0.000,4,540.165,1793.389,581.734
0.000,5,468.815,1190.610,185.170
0.000,6,1616.718,1481.298,507.808
0.000,7,93.914,683.902,337.685
0.000,8,868.937,1111.509,327.169
0.000,9,1779.782,2031.240,383.175
0.000,10,1011.702,645.465,580.861
0.000,11,1685.558,1781.049,562.770
0.000,12,1651.948,613.982,304.587
0.000,13,877.967,1873.385,445.645
0.000,14,237.938,1327.021,570.546
0.000,15,51.316,472.611,565.766
0.000,16,1002.341,1152.092,178.541
0.000,17,1360.692,1362.023,214.081
0.000,18,872.599,1898.613,369.523
0.000,19,66.876,1828.326,271.890
0.000,20,1757.358,1411.334,447.190
0.000,21,1953.860,1889.979,274.949
0.000,22,1360.859,1866.183,533.309
0.000,23,524.111,697.237,261.787
0.000,24,1776.371,1564.087,175.179
0.000,25,193.389,862.927,113.600
0.000,26,1667.032,2054.929,249.344
0.000,27,778.332,199.491,518.642
0.000,28,592.012,137.214,554.979
0.000,29,1327.661,1624.916,551.375
0.000,30,322.651,1770.615,368.308
0.000,31,1923.546,1306.234,197.274
0.000,32,180.758,1087.112,104.944
0.000,33,374.556,369.495,261.374
0.000,34,143.078,2106.873,181.694
0.000,35,173.362,1248.182,529.558
0.000,36,473.263,1358.086,261.791
0.000,37,1656.318,364.219,279.531
0.000,38,1313.176,1460.344,488.814
0.000,39,885.298,2014.452,133.302
0.000,40,1431.424,806.805,260.639
0.000,41,332.151,1358.128,256.956
0.000,42,620.855,2298.693,549.243
0.000,43,1869.230,678.535,347.081
0.000,44,1088.777,939.371,151.540
0.000,45,56.217,1725.774,123.945
0.000,46,1845.862,2068.255,270.543
0.000,47,1936.118,1729.627,427.820
0.000,48,1636.941,405.130,595.002
0.000,49,802.474,2270.414,316.205
0.000,50,35.471,764.155,513.091
0.000,51,33.427,551.721,569.710
0.000,52,1701.039,376.018,441.181
0.000,53,1297.841,1433.753,487.670
0.000,54,1847.900,378.806,428.230
0.000,55,1920.347,1078.619,424.297
0.000,56,1465.943,1896.344,543.120
0.000,57,159.173,864.347,184.624
0.000,58,1934.306,272.395,354.399
0.000,59,192.550,1857.338,445.863
0.000,60,265.839,1967.358,594.356
0.000,61,392.570,1020.997,220.032
0.000,62,2002.581,625.347,345.175
0.000,63,1034.831,208.164,232.479
0.000,64,243.708,863.874,414.708
0.000,65,473.116,256.680,416.203
0.000,66,2007.630,683.677,598.775
0.000,67,620.343,326.256,426.178
0.000,68,748.259,1117.925,494.429
0.000,69,862.745,1577.863,592.575
0.000,70,896.811,1937.085,451.265
0.000,71,1592.209,495.508,360.535
0.000,72,1074.974,2314.578,421.002
0.000,73,1237.135,2198.228,142.671
5.000,0,1950.508,1972.469,513.039
5.000,1,741.086,1548.015,153.479
5.000,2,1652.077,116.065,488.542
5.000,3,112.715,1562.088,109.757
5.000,4,607.652,1735.074,586.162
5.000,5,463.565,1073.902,182.654
5.000,6,1643.689,1589.301,510.452
5.000,7,120.149,585.460,336.760
5.000,8,829.867,1033.248,326.524
5.000,9,1858.526,2064.518,387.007
5.000,10,1087.987,719.370,582.362
5.000,11,1802.156,1768.985,561.936
5.000,12,1709.792,478.156,307.608
5.000,13,766.877,1958.382,452.546
5.000,14,267.049,1191.276,566.067
5.000,15,133.369,394.996,566.451
5.000,16,1017.511,1075.980,173.838
5.000,17,1376.807,1441.468,210.671
5.000,18,801.858,1782.488,372.619
5.000,19,68.805,1787.308,268.364
5.000,20,1638.349,1483.850,445.964
5.000,21,2018.247,1925.695,277.061
5.000,22,1347.663,1772.045,531.399
5.000,23,491.380,767.838,259.558
5.000,24,1902.861,1599.925,171.823
5.000,25,67.217,861.594,107.247
5.000,26,1704.690,1983.341,248.435
5.000,27,823.701,76.108,511.115
5.000,28,733.175,182.585,557.859
5.000,29,1420.354,1596.041,550.120
5.000,30,442.503,1717.628,363.736
5.000,31,2007.338,1206.755,204.172
5.000,32,115.546,1012.633,105.020
5.000,33,505.666,432.219,255.533
5.000,34,117.302,2002.416,181.318
5.000,35,218.131,1126.649,522.240
5.000,36,351.829,1399.094,262.279
5.000,37,1510.256,370.741,282.315
5.000,38,1365.176,1390.390,486.304
5.000,39,964.762,2016.058,137.374
5.000,40,1531.261,856.696,258.703
5.000,41,431.221,1299.532,256.860
5.000,42,659.161,2369.917,547.587
5.000,43,1770.821,579.855,349.395
5.000,44,966.449,974.004,157.749
5.000,45,52.974,1647.361,120.942
5.000,46,1847.280,2156.052,270.548
5.000,47,1892.696,1647.296,427.592
5.000,48,1724.607,440.439,598.134
5.000,49,717.781,2358.221,315.283
5.000,50,66.373,643.082,512.054
5.000,51,152.816,588.092,575.676
5.000,52,1667.462,502.800,445.189
5.000,53,1238.809,1536.919,481.682
5.000,54,1749.175,336.554,427.897
5.000,55,1978.057,972.885,430.774
5.000,56,1444.511,1794.536,545.159
5.000,57,189.640,981.728,181.918
5.000,58,2013.638,247.370,351.649
5.000,59,272.522,1938.127,447.805
5.000,60,248.793,2049.052,596.481
5.000,61,456.577,1114.473,219.075
5.000,62,1910.665,744.113,349.317
5.000,63,1066.272,120.157,232.605
5.000,64,259.881,944.043,412.193
5.000,65,409.245,200.152,409.861
5.000,66,2014.389,563.712,593.781
5.000,67,698.576,367.089,422.963
5.000,68,781.803,1016.336,491.286
5.000,69,864.614,1662.902,595.183
5.000,70,843.749,2010.855,451.440
5.000,71,1506.847,408.848,360.070
5.000,72,1143.898,2208.483,422.426
5.000,73,1310.267,2149.337,146.971
10.000,0,1946.970,2120.000,507.363
10.000,1,676.250,1431.106,152.056
10.000,2,1727.997,143.205,486.151
10.000,3,136.942,1414.045,119.331
10.000,4,664.097,1663.812,591.508
10.000,5,481.083,961.295,178.508
10.000,6,1659.552,1695.686,513.603
10.000,7,155.250,504.429,335.190
10.000,8,782.295,953.654,323.706
10.000,9,1929.176,2095.512,389.532
10.000,10,1142.661,806.407,585.291
10.000,11,1924.131,1764.350,561.055
10.000,12,1791.983,351.629,314.306
10.000,13,644.948,2010.288,463.248
10.000,14,309.242,1059.773,562.368
10.000,15,204.394,312.086,566.687
10.000,16,1037.223,986.959,168.328
10.000,17,1383.457,1510.958,207.894
10.000,18,732.738,1661.201,376.871
10.000,19,188.620,1744.946,269.897
10.000,20,1533.068,1570.200,445.476
10.000,21,1949.553,1939.262,280.801
10.000,22,1346.408,1674.025,530.137
10.000,23,450.913,842.340,254.508
10.000,24,2005.812,1636.552,172.048
10.000,25,67.751,851.983,103.165
10.000,26,1750.254,1917.066,246.926
10.000,27,864.992,73.951,504.280
10.000,28,882.980,219.053,555.663
10.000,29,1510.989,1556.378,548.819
10.000,30,557.290,1660.931,359.390
10.000,31,1916.300,1137.881,211.491
10.000,32,51.645,952.682,103.256
10.000,33,629.261,489.404,246.467
10.000,34,80.214,1903.685,180.298
10.000,35,269.181,1002.172,518.344
10.000,36,223.641,1435.729,267.540
10.000,37,1366.132,403.090,283.889
10.000,38,1413.116,1326.698,483.036
10.000,39,1045.124,2024.619,142.363
10.000,40,1631.541,918.818,257.184
10.000,41,507.997,1234.941,257.362
10.000,42,702.866,2272.639,543.844
10.000,43,1653.023,511.521,353.529
10.000,44,855.357,1028.758,166.772
10.000,45,184.360,1591.625,117.188
10.000,46,1831.816,2243.627,270.389
10.000,47,1865.446,1562.132,425.597
10.000,48,1813.593,476.847,595.666
10.000,49,602.128,2272.755,311.832
10.000,50,115.561,529.976,511.622
10.000,51,263.048,617.421,579.300
10.000,52,1644.637,630.435,450.064
10.000,53,1155.471,1624.385,472.988
10.000,54,1651.476,297.667,426.565
10.000,55,2016.632,859.472,435.923
10.000,56,1415.708,1693.438,545.113
10.000,57,244.440,1097.053,181.987
10.000,58,1946.323,245.195,347.855
10.000,59,348.242,2027.573,449.313
10.000,60,228.927,2129.561,599.291
10.000,61,539.446,1197.353,219.007
10.000,62,1823.689,859.338,350.428
10.000,63,1086.248,29.376,230.973
10.000,64,269.260,1027.368,410.559
10.000,65,384.169,130.166,406.652
10.000,66,1992.838,458.486,587.107
10.000,67,769.840,411.069,420.044
10.000,68,817.654,911.914,487.379
10.000,69,860.294,1745.165,596.902
10.000,70,793.984,2084.590,452.526
10.000,71,1413.626,342.687,355.555
10.000,72,1199.692,2094.841,423.593
10.000,73,1379.758,2096.463,151.004
15.000,0,1944.772,2271.871,502.330
15.000,1,605.752,1313.560,154.059
15.000,2,1806.464,160.332,482.526
