t_s,node,x,y,z
0.000,0,40.173,1694.341,544.423
0.000,1,516.950,1106.080,419.523
0.000,2,416.898,774.714,322.786
0.000,3,849.181,65.515,398.925
0.000,4,524.299,1469.709,271.566
0.000,5,791.125,1636.042,267.795
0.000,6,121.086,1586.772,413.899
0.000,7,707.769,580.534,558.059
0.000,8,603.167,273.321,199.894
0.000,9,364.271,1492.020,432.408
0.000,10,784.315,1187.310,516.687
0.000,11,534.124,1403.686,364.651
0.000,12,127.634,559.266,505.190
0.000,13,577.002,584.113,453.167
0.000,14,132.234,1732.364,323.938
0.000,15,366.138,387.669,329.757
0.000,16,595.868,1683.094,498.018
0.000,17,968.021,1646.032,524.527
0.000,18,224.304,851.694,478.796
5.000,0,60.773,1737.507,545.850
5.000,1,415.621,1192.429,423.631
5.000,2,538.165,765.957,317.762
5.000,3,896.427,155.236,396.815
5.000,4,485.826,1342.850,265.511
5.000,5,875.397,1661.649,264.941
5.000,6,263.894,1610.211,412.940
5.000,7,656.024,495.673,557.039
5.000,8,564.480,162.936,203.820
5.000,9,427.109,1523.975,430.079
5.000,10,725.129,1089.193,520.179
5.000,11,480.642,1495.575,362.459
5.000,12,226.785,509.740,500.799
5.000,13,687.655,506.680,460.702
5.000,14,213.760,1709.822,327.822
5.000,15,263.714,360.831,329.841
5.000,16,571.751,1823.075,498.011
5.000,17,903.114,1600.802,529.250
5.000,18,151.762,939.668,479.187
10.000,0,161.747,1773.470,548.729
10.000,1,323.838,1291.373,425.476
10.000,2,653.800,734.839,313.556
10.000,3,958.767,225.086,392.973
10.000,4,416.403,1225.250,259.360
10.000,5,962.164,1686.298,257.858
10.000,6,406.004,1647.444,413.619
10.000,7,617.613,398.373,556.887
10.000,8,543.371,46.570,203.288
10.000,9,489.675,1563.746,428.936
10.000,10,672.533,987.713,523.394
10.000,11,442.670,1591.602,362.491
10.000,12,324.151,450.563,497.594
10.000,13,793.556,422.974,465.963
10.000,14,282.284,1671.065,330.766
10.000,15,161.036,325.651,331.482
10.000,16,538.789,1689.441,495.944
10.000,17,787.240,1547.230,535.313
10.000,18,120.008,1062.841,476.177
15.000,0,259.571,1797.552,552.400
15.000,1,253.662,1404.598,430.708
15.000,2,770.443,700.846,305.036
15.000,3,979.887,307.973,386.794
15.000,4,401.083,1086.500,249.253
15.000,5,952.736,1723.321,254.080
15.000,6,541.856,1656.991,419.776
15.000,7,570.632,304.836,556.805
15.000,8,528.973,95.372,205.660
15.000,9,525.577,1628.072,427.837
15.000,10,669.554,877.898,525.587
15.000,11,397.666,1686.740,361.394
15.000,12,413.013,393.762,495.452
15.000,13,890.977,328.294,465.532
15.000,14,342.572,1617.598,334.741
15.000,15,54.256,308.986,331.816
15.000,16,530.640,1553.346,497.624
15.000,17,668.288,1491.814,542.280
15.000,18,79.756,1178.399,473.945
20.000,0,352.329,1821.376,554.946
20.000,1,168.455,1502.093,437.384
20.000,2,889.749,667.911,298.289
20.000,3,914.813,388.284,384.562
20.000,4,402.352,956.292,241.907
20.000,5,897.811,1788.226,250.359
20.000,6,680.256,1657.212,424.613
20.000,7,505.107,224.970,557.376
20.000,8,524.961,222.879,209.233
20.000,9,592.007,1674.592,424.869
20.000,10,653.724,769.045,532.391
20.000,11,333.950,1765.745,361.259
20.000,12,523.142,355.085,489.368
20.000,13,961.553,261.812,471.571
20.000,14,411.141,1568.268,337.739
20.000,15,57.148,305.658,332.573
20.000,16,506.954,1419.512,497.209
20.000,17,535.039,1453.845,546.906
20.000,18,24.526,1279.772,475.366
25.000,0,444.931,1795.723,556.225
25.000,1,80.339,1606.367,438.959
25.000,2,980.071,660.026,294.583
25.000,3,867.491,477.130,381.020
25.000,4,368.836,834.123,235.677
25.000,5,814.344,1815.027,246.814
25.000,6,829.583,1654.399,428.907
25.000,7,460.233,147.574,561.891
25.000,8,506.621,341.536,215.145
25.000,9,660.901,1692.920,423.569
25.000,10,643.410,663.321,538.301
25.000,11,292.522,1764.624,360.892
25.000,12,631.633,307.043,483.895
25.000,13,851.480,181.382,481.361
25.000,14,489.333,1541.548,342.922
25.000,15,164.991,325.143,335.611
25.000,16,509.234,1293.118,497.110
25.000,17,409.408,1399.323,548.870
25.000,18,21.018,1392.364,475.868
30.000,0,539.220,1744.756,559.814
30.000,1,3.469,1720.023,441.864
30.000,2,859.479,643.219,289.405
30.000,3,848.302,571.324,377.783
30.000,4,342.871,700.797,230.904
30.000,5,726.538,1821.678,243.799
30.000,6,963.537,1693.386,434.603
30.000,7,417.348,53.044,564.831
30.000,8,484.287,456.309,220.975
30.000,9,720.633,1742.450,423.057
30.000,10,597.965,556.711,541.574
30.000,11,241.710,1673.129,357.675
30.000,12,733.363,272.702,476.150
30.000,13,739.160,98.108,490.060
30.000,14,557.274,1496.903,345.757
30.000,15,275.133,296.832,336.683
30.000,16,502.338,1155.294,500.384
30.000,17,300.477,1326.419,554.130
30.000,18,28.534,1517.758,475.891
35.000,0,630.529,1721.860,562.351
35.000,1,79.402,1825.613,442.629
35.000,2,739.170,626.691,284.513
35.000,3,783.090,642.716,373.806
35.000,4,296.800,572.942,227.383
35.000,5,656.562,1787.074,238.040
35.000,6,873.449,1688.480,437.426
35.000,7,370.217,57.968,564.340
35.000,8,451.905,565.307,228.383
35.000,9,783.874,1798.756,422.910
35.000,10,580.226,438.640,542.958
35.000,11,207.352,1577.098,355.131
35.000,12,842.480,266.074,471.862
35.000,13,615.382,50.196,496.993
35.000,14,631.924,1462.092,347.468
35.000,15,378.178,257.585,339.019
35.000,16,492.175,1022.062,501.584
35.000,17,193.612,1254.308,560.546
35.000,18,68.317,1634.753,478.510
40.000,0,720.389,1690.930,567.944
40.000,1,170.723,1737.483,446.411
40.000,2,631.862,569.608,281.089
40.000,3,747.301,726.060,371.697
40.000,4,252.461,437.383,222.950
40.000,5,579.716,1741.583,230.703
40.000,6,729.505,1677.997,440.177
40.000,7,287.787,128.357,560.115
40.000,8,442.607,678.471,231.044
40.000,9,845.653,1800.937,421.135
40.000,10,564.228,326.248,541.743
40.000,11,164.499,1485.615,355.773
40.000,12,952.090,221.947,467.022
40.000,13,505.673,34.177,502.432
40.000,14,711.508,1455.038,348.271
40.000,15,480.876,222.328,341.123
40.000,16,490.748,897.271,504.506
40.000,17,74.983,1200.508,567.310
40.000,18,88.409,1749.141,480.981
45.000,0,815.647,1699.620,571.677
45.000,1,260.231,1633.892,447.042
45.000,2,507.087,543.568,277.118
45.000,3,689.083,798.835,369.273
45.000,4,226.094,300.368,220.248
45.000,5,514.400,1688.971,226.479
45.000,6,593.170,1689.883,441.635
45.000,7,211.429,201.718,556.731
45.000,8,448.499,798.049,236.180
45.000,9,919.628,1757.240,419.178
45.000,10,555.567,215.234,543.116
45.000,11,140.391,1379.246,357.753
45.000,12,933.887,177.545,462.973
45.000,13,408.511,114.597,509.507
45.000,14,787.800,1416.877,351.858
45.000,15,585.650,180.261,342.456
45.000,16,478.861,764.197,505.823
45.000,17,58.784,1125.191,574.015
45.000,18,113.664,1767.212,484.461
50.000,0,920.680,1677.053,574.335
50.000,1,348.387,1534.988,451.610
50.000,2,389.552,556.257,272.683
50.000,3,635.387,883.413,366.468
50.000,4,135.894,193.982,214.540
50.000,5,438.089,1626.666,223.902
50.000,6,461.703,1656.863,447.024
50.000,7,128.986,254.944,555.947
50.000,8,452.989,924.431,242.837
50.000,9,980.272,1723.823,418.691
50.000,10,524.846,109.320,549.619
50.000,11,89.671,1273.194,357.335
50.000,12,842.489,102.935,460.023
50.000,13,294.860,179.268,517.581
50.000,14,865.145,1376.619,354.132
50.000,15,685.667,157.774,342.974
50.000,16,517.626,629.381,504.503
50.000,17,175.158,1060.750,576.064
50.000,18,126.819,1653.034,486.581
