seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
10,4.0000,0,1,574.0370,-89.1436,0.1779,12,0.2927,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,0,2,184.4127,-79.5189,-0.4588,41,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,0,8,297.4815,-85.0654,0.0147,39,0.9512,0.4000,5,4,0,0,0,4,0,1.0000
10,4.0000,0,11,667.3123,-88.6217,0.0916,4,0.0976,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,0,12,489.3085,-86.9907,-0.4056,20,0.4878,0.6667,6,6,6,0,0,6,6,0.0000
10,4.0000,0,20,633.1202,-89.1417,0.5859,7,0.1707,1.0000,6,8,8,0,0,8,8,0.0000
10,4.0000,1,0,574.0370,-88.2928,0.5448,8,0.2000,1.0000,6,8,8,0,0,8,8,0.0000
10,4.0000,1,2,419.3878,-88.3422,-0.0176,17,0.4250,0.7143,7,5,1,0,0,5,1,0.8000
10,4.0000,1,3,250.7625,-85.2855,0.8491,37,0.9250,0.2000,5,4,0,0,0,4,0,1.0000
10,4.0000,1,4,325.5381,-84.6224,-0.8963,39,0.9750,0.4000,5,6,2,0,0,6,2,0.6667
10,4.0000,1,7,238.7271,-84.4872,0.2985,39,0.9750,0.0000,4,5,1,0,0,5,1,0.8000
10,4.0000,1,11,253.0078,-85.0896,0.7426,33,0.8250,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,1,12,461.0747,-88.0129,0.1071,19,0.4750,0.8000,5,7,4,0,0,7,4,0.4286
10,4.0000,1,20,639.5182,-88.9709,-0.5964,9,0.2250,1.0000,8,6,6,0,0,6,6,0.0000
10,4.0000,2,0,184.4127,-79.4413,-0.3778,40,1.0000,0.0000,4,5,1,0,0,5,1,0.8000
10,4.0000,2,1,419.3878,-87.9755,0.4718,17,0.4250,0.8571,7,6,4,0,0,6,4,0.3333
10,4.0000,2,3,584.0511,-88.9993,0.0462,6,0.1500,1.0000,2,7,6,0,0,7,6,0.1429
10,4.0000,2,4,561.4142,-88.5829,0.0482,8,0.2000,0.8333,6,7,6,0,0,7,6,0.1429
10,4.0000,2,8,400.8840,-86.0189,-0.9159,29,0.7250,0.5000,6,8,6,0,0,8,6,0.2500
10,4.0000,2,11,563.1414,-89.2249,-0.2249,5,0.1250,0.8571,7,8,8,0,0,8,8,0.0000
10,4.0000,2,12,484.4717,-88.1632,-0.0497,20,0.5000,1.0000,8,7,6,0,0,7,6,0.1429
10,4.0000,2,20,517.6172,-89.0788,-0.0495,14,0.3500,0.8750,8,7,6,0,0,7,6,0.1429
10,4.0000,3,0,692.0016,-89.1368,1.0224,3,0.0750,,0,4,4,0,0,4,4,0.0000
10,4.0000,3,1,250.7625,-85.5853,0.8877,38,0.9500,0.2500,4,4,0,0,0,4,0,1.0000
10,4.0000,3,4,546.8015,-88.8195,0.4827,12,0.3000,0.8750,8,8,8,0,0,8,8,0.0000
10,4.0000,3,5,675.2804,-88.6084,-1.0129,6,0.1500,1.0000,8,4,4,0,0,4,4,0.0000
10,4.0000,3,7,119.5874,-77.6303,0.8358,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,3,11,116.9658,-79.1515,1.2484,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,3,12,383.0963,-86.9635,0.1303,27,0.6750,0.4000,5,6,3,0,0,6,3,0.5000
10,4.0000,4,1,325.5381,-85.1120,-0.7398,38,0.9500,0.2000,5,5,2,0,0,5,2,0.6000
10,4.0000,4,2,561.4142,-89.3069,0.2608,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,4,3,546.8015,-88.8803,-0.4921,7,0.1750,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,4,7,481.2523,-88.4777,0.1787,23,0.5750,0.5714,7,7,6,0,0,7,6,0.1429
10,4.0000,4,11,553.3621,-87.8518,-0.5426,8,0.2000,1.0000,8,8,8,0,0,8,8,0.0000
10,4.0000,4,20,549.2551,-88.3887,-0.1131,10,0.2500,1.0000,8,8,7,0,0,8,7,0.1250
10,4.0000,5,3,675.2804,-89.5547,-0.2761,5,0.1282,1.0000,6,8,8,0,0,8,8,0.0000
10,4.0000,5,11,634.4816,-88.0071,-0.8436,12,0.3077,0.8571,7,8,8,0,0,8,8,0.0000
10,4.0000,5,12,398.3303,-87.4719,0.3524,23,0.5897,0.4000,5,6,2,0,0,6,2,0.6667
10,4.0000,5,15,271.1249,-85.4925,0.3782,35,0.8974,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,6,10,714.6224,-88.8917,0.1111,5,0.1250,1.0000,8,2,2,0,0,2,2,0.0000
10,4.0000,7,1,238.7271,-84.3420,0.6848,38,0.9500,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,7,3,119.5874,-77.9074,0.5887,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,7,4,481.2523,-88.0044,-0.3157,25,0.6250,0.8571,7,8,8,0,0,8,8,0.0000
10,4.0000,7,11,212.7785,-84.1030,0.6687,35,0.8750,0.0000,4,4,0,0,0,4,0,1.0000
10,4.0000,7,12,494.6660,-88.5075,-0.3333,18,0.4500,1.0000,8,6,3,0,0,6,3,0.5000
10,4.0000,8,0,297.4815,-85.3351,-0.1944,37,0.9250,0.0000,4,5,1,0,0,5,1,0.8000
10,4.0000,8,2,400.8840,-85.9863,-0.7807,31,0.7750,0.2000,5,7,6,0,0,7,6,0.1429
10,4.0000,8,12,676.5750,-88.3908,-2.7673,4,0.1000,1.0000,6,2,2,0,0,2,2,0.0000
10,4.0000,8,19,577.0641,-88.6525,-0.6612,10,0.2500,1.0000,6,8,8,0,0,8,8,0.0000
10,4.0000,9,17,444.8831,-87.3467,-0.2443,18,0.4500,0.5000,6,4,0,0,0,4,0,1.0000
