t_s,node,x,y,z
0.000,0,991.430,1693.371,129.670
0.000,1,277.857,1179.494,247.907
0.000,2,249.153,1073.751,148.929
0.000,3,1540.248,998.049,176.354
0.000,4,1562.883,1751.123,400.028
0.000,5,2426.022,1152.578,440.970
0.000,6,752.273,218.504,106.871
0.000,7,2638.798,507.884,477.636
0.000,8,219.873,2032.160,546.715
0.000,9,1341.897,569.150,420.169
0.000,10,983.777,1397.794,349.737
0.000,11,1342.866,1724.033,196.968
0.000,12,1145.953,527.533,479.119
0.000,13,264.559,1603.891,230.568
0.000,14,1826.260,2046.525,274.364
0.000,15,1377.180,1682.188,192.223
0.000,16,1358.338,1164.667,142.319
0.000,17,1006.387,960.546,539.737
0.000,18,2544.062,1579.257,182.795
0.000,19,1288.547,2078.301,487.920
0.000,20,1800.690,1135.016,100.361
0.000,21,104.270,1139.143,280.159
0.000,22,642.503,682.517,473.039
0.000,23,1711.945,966.074,391.867
0.000,24,789.437,768.779,309.971
0.000,25,1314.263,680.041,153.949
0.000,26,1338.788,192.191,347.292
0.000,27,1295.627,391.509,519.153
0.000,28,1652.857,1171.944,278.093
0.000,29,636.264,1984.127,303.614
0.000,30,243.619,1882.594,212.484
0.000,31,386.643,885.413,182.781
0.000,32,2511.856,1524.640,575.186
0.000,33,1561.486,833.217,585.929
0.000,34,2134.428,1026.474,157.272
5.000,0,953.452,1771.080,134.219
5.000,1,374.032,1210.611,251.462
5.000,2,310.391,1184.009,141.526
5.000,3,1640.819,1080.678,170.096
5.000,4,1495.072,1684.415,398.947
5.000,5,2526.073,1203.005,435.947
5.000,6,639.020,158.392,108.158
5.000,7,2555.891,561.532,480.899
5.000,8,183.832,2012.057,550.288
5.000,9,1382.051,691.696,414.426
5.000,10,927.670,1532.053,349.075
5.000,11,1436.055,1814.767,194.383
5.000,12,1063.295,421.371,476.634
5.000,13,326.295,1667.366,232.688
5.000,14,1721.467,2093.793,270.836
5.000,15,1394.985,1823.483,189.368
5.000,16,1437.521,1176.010,143.245
5.000,17,955.670,869.170,539.975
5.000,18,2520.279,1467.506,179.033
5.000,19,1187.316,1987.459,493.813
5.000,20,1678.113,1153.129,106.010
5.000,21,174.982,1210.461,283.413
5.000,22,517.939,715.053,471.157
5.000,23,1675.501,1093.527,396.641
5.000,24,645.454,774.607,317.730
5.000,25,1389.440,631.332,153.011
5.000,26,1213.657,232.850,346.709
5.000,27,1235.251,292.663,515.872
5.000,28,1575.162,1201.891,276.356
5.000,29,524.927,1912.387,306.793
5.000,30,302.245,1822.306,212.793
5.000,31,460.920,966.657,179.637
5.000,32,2388.475,1515.299,567.911
5.000,33,1434.327,776.580,589.062
5.000,34,2145.563,1116.610,154.757
10.000,0,910.615,1849.966,137.416
10.000,1,463.981,1245.919,253.228
10.000,2,374.890,1292.754,132.325
10.000,3,1712.003,1189.162,164.481
10.000,4,1428.866,1615.277,398.347
10.000,5,2623.389,1242.371,433.691
10.000,6,519.967,95.269,110.723
10.000,7,2463.730,593.342,482.508
10.000,8,118.232,1886.755,556.065
10.000,9,1428.973,816.656,406.999
10.000,10,891.426,1672.095,347.622
10.000,11,1515.660,1920.449,190.576
10.000,12,978.610,306.848,478.296
10.000,13,389.815,1722.956,236.642
10.000,14,1640.843,2015.125,268.820
10.000,15,1410.243,1969.844,189.867
10.000,16,1519.452,1188.800,145.518
10.000,17,911.587,786.955,542.051
10.000,18,2462.750,1375.864,177.551
10.000,19,1077.338,1902.235,498.226
10.000,20,1558.323,1184.092,109.943
10.000,21,232.285,1287.273,285.623
10.000,22,402.395,758.390,469.068
10.000,23,1669.721,1218.129,400.872
10.000,24,506.797,808.037,323.246
10.000,25,1470.579,588.498,153.621
10.000,26,1078.708,279.421,348.251
10.000,27,1174.431,196.963,513.514
10.000,28,1499.268,1242.109,275.646
10.000,29,409.125,1857.212,309.754
10.000,30,368.182,1768.183,211.149
10.000,31,534.121,1043.177,174.615
10.000,32,2275.598,1462.955,561.837
10.000,33,1311.931,720.634,594.836
10.000,34,2155.642,1200.178,151.952
15.000,0,867.440,1928.479,142.278
15.000,1,546.434,1298.598,257.872
15.000,2,430.628,1396.604,127.739
15.000,3,1815.836,1272.358,159.109
15.000,4,1374.652,1540.289,396.384
15.000,5,2719.281,1285.199,428.771
15.000,6,402.509,51.499,110.732
15.000,7,2377.207,635.614,484.391
15.000,8,81.377,1756.564,561.085
15.000,9,1488.432,929.982,402.404
15.000,10,847.713,1805.152,344.672
15.000,11,1622.423,2000.119,188.450
15.000,12,902.360,188.026,478.164
15.000,13,459.871,1774.205,240.151
15.000,14,1546.286,1964.156,267.226
15.000,15,1433.438,2079.884,189.818
15.000,16,1590.885,1214.992,146.262
15.000,17,856.839,707.025,542.180
15.000,18,2425.293,1268.212,173.931
15.000,19,972.402,1816.718,503.448
15.000,20,1432.048,1197.748,114.803
15.000,21,287.797,1363.747,289.553
15.000,22,283.417,803.124,467.174
15.000,23,1684.784,1347.802,403.940
15.000,24,366.475,828.117,331.921
15.000,25,1541.954,539.222,150.611
15.000,26,957.126,325.856,347.033
15.000,27,1103.867,106.370,511.755
15.000,28,1426.521,1279.858,274.733
15.000,29,279.271,1816.869,313.772
15.000,30,433.526,1699.810,210.127
15.000,31,588.285,1131.438,170.079
15.000,32,2153.335,1441.479,557.541
15.000,33,1181.231,668.387,597.563
15.000,34,2176.147,1285.244,150.023
20.000,0,808.125,1997.646,146.086
20.000,1,629.028,1340.052,260.587
20.000,2,477.547,1511.677,121.222
20.000,3,1905.781,1363.093,154.528
20.000,4,1317.403,1462.736,394.066
20.000,5,2684.236,1335.034,423.698
