t_s,node,x,y,z
0.000,0,2312.466,972.118,285.169
0.000,1,1300.367,300.140,104.011
0.000,2,438.313,1078.142,591.074
0.000,3,1328.025,402.041,411.579
0.000,4,1078.092,1269.292,231.825
0.000,5,108.999,108.536,411.846
0.000,6,1025.364,1997.650,157.257
0.000,7,1890.621,503.848,382.417
0.000,8,624.687,1652.340,311.596
0.000,9,35.269,738.733,285.967
0.000,10,795.687,660.629,361.220
0.000,11,1492.703,356.032,190.613
0.000,12,252.520,1977.220,351.364
0.000,13,2663.983,358.969,217.436
0.000,14,1564.451,1403.735,112.006
0.000,15,876.092,1593.722,345.322
0.000,16,1546.517,1508.405,342.317
0.000,17,795.111,1784.709,302.624
0.000,18,2030.930,351.826,305.392
0.000,19,2363.896,1426.461,394.614
0.000,20,359.069,743.990,556.324
0.000,21,232.031,177.404,378.290
0.000,22,2397.674,1978.311,306.902
0.000,23,2425.423,211.491,458.352
0.000,24,1734.995,408.065,474.490
0.000,25,2495.860,767.507,253.361
0.000,26,410.643,1565.548,443.855
0.000,27,2728.368,690.067,140.724
0.000,28,2329.274,1704.387,154.449
0.000,29,74.052,2028.840,571.149
0.000,30,21.834,1827.277,216.212
0.000,31,326.124,1234.158,123.929
0.000,32,1192.263,611.484,216.768
0.000,33,69.505,360.920,274.439
0.000,34,398.044,1191.499,555.892
5.000,0,2400.081,953.189,287.617
5.000,1,1447.807,304.250,108.515
5.000,2,444.788,1161.236,594.656
5.000,3,1390.439,340.016,414.110
5.000,4,1029.461,1405.610,237.071
5.000,5,33.714,58.261,407.550
5.000,6,1046.592,1895.971,152.834
5.000,7,2001.389,544.307,383.505
5.000,8,690.352,1605.251,310.347
5.000,9,21.583,593.875,290.373
5.000,10,723.768,704.710,359.380
5.000,11,1392.821,272.608,186.058
5.000,12,159.229,1969.538,350.864
5.000,13,2674.513,467.828,213.808
5.000,14,1602.270,1289.389,114.331
5.000,15,808.713,1544.583,351.376
5.000,16,1491.946,1419.734,342.388
5.000,17,681.969,1804.392,304.667
5.000,18,2051.262,236.835,303.503
5.000,19,2425.246,1461.900,397.912
5.000,20,276.131,727.984,553.574
5.000,21,178.162,277.879,374.302
5.000,22,2466.501,1923.642,311.642
5.000,23,2494.627,284.334,458.605
5.000,24,1652.759,380.284,473.153
5.000,25,2588.067,842.749,251.592
5.000,26,492.806,1535.304,440.808
5.000,27,2692.775,587.597,135.421
5.000,28,2469.597,1698.525,152.581
5.000,29,178.717,2063.943,574.821
5.000,30,60.258,1929.888,212.535
5.000,31,259.291,1170.398,124.766
5.000,32,1285.843,575.917,220.595
5.000,33,30.632,281.401,270.326
5.000,34,485.725,1142.082,552.230
10.000,0,2489.099,926.128,290.224
10.000,1,1599.343,290.764,114.563
10.000,2,435.527,1238.408,597.985
10.000,3,1457.486,277.992,415.878
10.000,4,995.732,1544.644,243.643
10.000,5,164.574,23.086,403.878
10.000,6,1073.763,1798.505,145.396
10.000,7,2110.688,584.131,384.295
10.000,8,760.548,1560.557,310.335
10.000,9,28.265,446.222,293.153
10.000,10,656.691,752.334,357.188
10.000,11,1296.533,187.421,179.153
10.000,12,69.756,1974.036,351.539
10.000,13,2700.116,574.441,209.320
10.000,14,1650.375,1186.762,115.810
10.000,15,741.416,1495.125,355.687
10.000,16,1432.009,1337.782,343.916
10.000,17,561.806,1829.166,309.941
10.000,18,2066.884,128.249,301.952
10.000,19,2490.409,1498.649,402.193
10.000,20,200.273,733.435,550.537
10.000,21,135.457,380.426,371.025
10.000,22,2538.518,1881.770,315.769
10.000,23,2552.789,371.782,458.097
10.000,24,1561.016,363.548,471.659
10.000,25,2666.454,939.740,247.432
10.000,26,556.783,1483.594,438.182
10.000,27,2591.945,486.194,132.995
10.000,28,2609.045,1686.816,148.127
10.000,29,278.319,2090.346,579.507
10.000,30,90.342,2032.186,206.947
10.000,31,197.165,1110.032,125.378
10.000,32,1394.840,565.132,226.160
10.000,33,13.355,197.176,266.438
10.000,34,574.256,1101.449,547.263
15.000,0,2585.457,905.649,291.735
15.000,1,1741.857,323.211,120.911
15.000,2,431.098,1319.377,598.497
15.000,3,1532.833,232.346,418.895
15.000,4,942.282,1682.107,245.100
15.000,5,293.167,38.614,402.469
15.000,6,1088.229,1704.002,141.388
15.000,7,2215.817,621.996,384.043
15.000,8,841.095,1525.132,310.414
15.000,9,14.411,298.722,292.903
15.000,10,576.925,796.972,354.848
15.000,11,1198.751,101.836,174.415
15.000,12,33.474,1967.465,350.950
15.000,13,2718.614,683.077,205.941
15.000,14,1683.672,1080.358,117.506
15.000,15,665.322,1452.547,361.989
15.000,16,1386.608,1238.975,342.812
15.000,17,452.076,1849.661,312.733
15.000,18,2098.476,22.243,300.360
15.000,19,2562.693,1519.915,404.622
15.000,20,126.031,708.280,548.724
15.000,21,79.101,485.783,369.130
15.000,22,2613.246,1844.649,316.920
15.000,23,2629.822,438.532,458.235
15.000,24,1480.488,329.742,471.229
15.000,25,2747.507,1031.596,243.471
15.000,26,626.948,1452.159,438.129
15.000,27,2512.385,375.389,128.142
15.000,28,2745.951,1660.703,143.783
15.000,29,379.399,2051.768,583.389
15.000,30,111.604,2057.812,202.134
15.000,31,158.416,1032.341,127.922
15.000,32,1500.540,534.732,231.321
15.000,33,63.665,113.292,264.361
15.000,34,654.462,1047.168,541.753
20.000,0,2670.565,874.408,294.023
20.000,1,1882.229,359.078,127.839
20.000,2,454.513,1396.760,595.297
20.000,3,1594.215,170.086,421.592
20.000,4,910.968,1822.488,247.226
20.000,5,422.084,92.233,401.090
20.000,6,1099.989,1611.041,136.615
20.000,7,2323.997,643.532,385.835
20.000,8,910.370,1470.749,308.468
20.000,9,15.579,154.438,297.978
20.000,10,504.480,851.267,353.474
20.000,11,1105.427,11.783,170.661
20.000,12,128.048,1977.767,349.051
20.000,13,2743.683,784.416,203.287
20.000,14,1713.611,970.652,118.697
20.000,15,594.929,1416.940,364.709
20.000,16,1326.571,1157.014,341.744
20.000,17,331.199,1865.235,315.915
20.000,18,2090.951,107.921,298.163
20.000,19,2626.184,1547.829,407.887
20.000,20,47.347,705.021,546.512
20.000,21,39.368,590.172,364.429
20.000,22,2683.453,1794.127,318.881
20.000,23,2692.098,517.364,461.068
20.000,24,1394.587,312.319,471.122
20.000,25,2682.561,1128.171,240.334
20.000,26,700.243,1403.226,434.751
20.000,27,2430.132,273.454,124.891
20.000,28,2603.305,1636.817,140.634
20.000,29,482.049,2011.526,587.354
20.000,30,157.912,1965.691,196.957
20.000,31,103.149,960.986,128.818
20.000,32,1594.605,498.734,235.234
20.000,33,98.300,22.186,261.265
20.000,34,742.174,1003.731,537.442
25.000,0,2747.990,863.048,297.277
25.000,1,2028.852,350.931,133.148
25.000,2,454.577,1479.722,591.917
25.000,3,1655.649,101.838,423.406
25.000,4,854.592,1953.531,249.499
25.000,5,543.728,148.239,396.061
25.000,6,1115.123,1514.209,129.757
25.000,7,2436.934,683.035,389.320
25.000,8,977.529,1418.629,306.480
25.000,9,30.454,7.777,301.552
25.000,10,430.966,886.424,352.239
25.000,11,1004.647,78.238,166.012
25.000,12,221.671,1968.979,346.766
25.000,13,2746.580,883.780,199.484
25.000,14,1765.822,869.946,121.672
25.000,15,518.425,1374.083,371.546
25.000,16,1275.194,1067.307,341.001
25.000,17,209.686,1869.751,319.200
25.000,18,2098.651,222.819,296.784
25.000,19,2694.877,1571.124,410.622
25.000,20,34.657,696.011,543.949
25.000,21,10.910,688.646,362.734
25.000,22,2753.935,1762.506,322.903
25.000,23,2755.426,589.819,462.718
25.000,24,1307.485,297.674,472.464
25.000,25,2614.231,1225.129,237.144
25.000,26,771.782,1365.047,433.269
25.000,27,2325.938,203.511,123.306
25.000,28,2463.278,1605.506,135.078
25.000,29,586.437,1970.480,590.506
25.000,30,187.505,1859.373,189.308
25.000,31,45.341,893.844,129.792
25.000,32,1697.605,495.110,240.966
25.000,33,113.200,83.978,257.133
25.000,34,831.873,957.344,532.536
30.000,0,2658.854,851.386,301.643
30.000,1,2171.331,372.862,140.105
30.000,2,455.832,1558.114,588.646
30.000,3,1725.138,43.985,424.652
30.000,4,801.263,2087.602,255.102
30.000,5,665.022,189.531,392.057
30.000,6,1131.102,1421.928,125.843
30.000,7,2543.385,724.329,391.800
30.000,8,1046.630,1371.220,303.629
30.000,9,43.110,154.057,302.724
30.000,10,358.592,936.505,349.649
30.000,11,907.865,160.812,161.487
30.000,12,318.626,1952.850,345.484
30.000,13,2723.371,993.426,196.576
30.000,14,1802.531,761.718,122.204
30.000,15,451.026,1330.258,376.830
30.000,16,1237.325,977.487,340.345
30.000,17,87.208,1889.783,323.170
30.000,18,2099.557,340.763,296.847
30.000,19,2742.981,1597.389,414.269
30.000,20,109.785,691.222,542.036
30.000,21,56.775,788.505,361.318
30.000,22,2675.192,1717.210,326.694
30.000,23,2682.534,660.382,464.584
30.000,24,1224.753,265.459,473.193
30.000,25,2564.670,1338.972,235.414
30.000,26,839.708,1332.440,432.242
30.000,27,2233.356,101.363,119.750
30.000,28,2328.526,1576.118,131.676
30.000,29,688.862,1912.345,593.908
30.000,30,233.710,1765.273,183.666
30.000,31,8.464,828.131,130.973
30.000,32,1802.467,492.924,247.198
30.000,33,154.614,165.850,254.413
30.000,34,917.608,919.091,528.344
35.000,0,2575.914,824.937,304.195
35.000,1,2311.003,394.417,143.743
35.000,2,449.741,1640.341,585.548
35.000,3,1776.536,31.799,426.564
35.000,4,763.000,1972.341,259.109
35.000,5,798.301,224.529,388.188
35.000,6,1152.030,1333.569,121.741
35.000,7,2653.154,765.383,395.960
35.000,8,1112.455,1322.395,302.711
35.000,9,39.066,299.864,303.415
35.000,10,288.295,981.236,348.648
35.000,11,806.047,233.785,155.396
35.000,12,413.531,1942.398,344.690
35.000,13,2704.720,1092.024,191.804
35.000,14,1848.619,653.881,122.658
35.000,15,379.182,1293.032,381.433
35.000,16,1194.475,887.705,342.450
35.000,17,40.099,1906.071,328.654
35.000,18,2139.013,444.077,294.619
35.000,19,2673.173,1617.171,418.659
35.000,20,187.106,681.338,538.526
35.000,21,86.223,901.784,360.152
35.000,22,2599.527,1681.830,329.074
35.000,23,2616.688,740.535,464.958
35.000,24,1138.034,244.333,473.579
35.000,25,2502.902,1446.967,231.190
35.000,26,914.557,1292.947,431.057
35.000,27,2141.924,2.533,113.091
35.000,28,2187.192,1563.094,128.514
35.000,29,792.610,1876.939,595.511
35.000,30,264.635,1667.695,177.711
35.000,31,73.905,765.731,132.117
35.000,32,1905.338,481.216,251.829
35.000,33,176.801,255.990,251.281
35.000,34,1013.860,883.527,523.976
40.000,0,2479.422,827.888,306.063
40.000,1,2452.304,421.410,149.254
40.000,2,454.310,1719.464,582.539
40.000,3,1841.642,100.998,428.406
40.000,4,745.720,1827.186,262.700
40.000,5,925.583,266.410,384.408
40.000,6,1185.715,1244.184,118.265
40.000,7,2742.854,794.736,399.677
40.000,8,1192.076,1287.936,301.521
40.000,9,50.470,450.934,304.070
40.000,10,220.879,1029.751,345.590
40.000,11,708.459,318.462,150.873
40.000,12,505.292,1929.389,342.987
40.000,13,2689.140,1196.958,184.851
40.000,14,1881.578,545.566,121.269
40.000,15,298.514,1265.141,384.278
40.000,16,1131.925,811.320,344.948
40.000,17,159.600,1923.488,332.878
40.000,18,2158.627,555.094,294.705
40.000,19,2604.062,1634.390,421.225
40.000,20,269.726,669.024,536.448
40.000,21,165.196,993.082,355.159
40.000,22,2525.240,1651.180,332.027
40.000,23,2548.006,811.492,465.559
40.000,24,1050.176,224.284,474.273
40.000,25,2408.192,1523.057,229.978
40.000,26,993.088,1264.421,427.683
40.000,27,2057.579,100.130,108.461
40.000,28,2054.381,1528.526,125.793
40.000,29,897.196,1827.419,596.579
40.000,30,310.830,1575.038,173.316
40.000,31,127.594,693.600,132.733
40.000,32,2009.574,457.197,256.289
40.000,33,221.014,340.501,246.298
40.000,34,1103.368,853.523,520.065
45.000,0,2383.644,838.386,307.781
45.000,1,2597.727,447.520,157.224
45.000,2,461.341,1797.840,577.107
45.000,3,1889.383,174.469,431.295
45.000,4,718.420,1686.541,264.143
45.000,5,1060.039,302.845,379.353
45.000,6,1190.646,1142.976,112.086
45.000,7,2642.861,860.741,404.496
45.000,8,1264.241,1245.403,300.693
45.000,9,45.074,596.372,307.456
45.000,10,147.995,1069.641,343.756
45.000,11,627.348,412.752,147.147
45.000,12,598.943,1919.844,342.344
45.000,13,2671.648,1304.295,181.579
45.000,14,1904.677,431.928,124.089
45.000,15,227.145,1221.931,388.916
45.000,16,1079.147,724.561,346.773
45.000,17,274.831,1962.418,334.523
45.000,18,2165.553,673.863,294.580
45.000,19,2534.904,1663.636,425.781
45.000,20,352.083,655.489,533.532
45.000,21,213.888,1093.670,351.820
45.000,22,2456.297,1615.514,335.071
45.000,23,2486.999,885.403,466.956
45.000,24,962.076,209.156,473.497
45.000,25,2331.326,1618.656,228.290
45.000,26,1059.716,1214.529,424.655
45.000,27,1954.217,183.740,103.362
45.000,28,1922.172,1487.896,121.872
45.000,29,991.559,1766.084,599.781
45.000,30,345.655,1475.024,166.828
45.000,31,176.404,610.013,132.526
45.000,32,2108.551,413.871,264.792
45.000,33,251.367,432.069,241.916
45.000,34,1193.460,810.108,515.394
50.000,0,2294.692,815.796,309.724
50.000,1,2745.198,470.070,162.997
50.000,2,452.747,1878.156,573.137
50.000,3,1961.871,243.695,432.313
50.000,4,673.897,1549.311,267.991
50.000,5,1192.541,349.300,375.548
50.000,6,1198.320,1048.136,107.505
50.000,7,2546.462,916.031,407.222
50.000,8,1342.883,1218.664,301.164
50.000,9,48.137,737.593,309.555
50.000,10,74.523,1114.954,341.656
50.000,11,543.254,506.636,141.888
50.000,12,688.958,1913.532,341.805
50.000,13,2655.908,1417.796,176.586
50.000,14,1964.901,330.427,126.119
50.000,15,143.599,1189.816,393.705
50.000,16,1044.627,630.693,349.363
50.000,17,396.212,1972.740,336.733
50.000,18,2189.595,781.997,292.907
50.000,19,2459.557,1688.040,430.536
50.000,20,431.233,663.776,532.688
50.000,21,251.722,1207.699,347.633
50.000,22,2383.995,1578.886,338.973
50.000,23,2428.111,968.665,467.802
50.000,24,874.945,191.093,472.888
50.000,25,2238.675,1692.742,227.347
50.000,26,1130.716,1168.968,421.298
50.000,27,1851.401,268.019,101.458
50.000,28,1794.086,1434.014,117.423
50.000,29,1096.084,1731.415,596.262
50.000,30,368.671,1372.631,159.887
50.000,31,247.414,549.300,131.932
50.000,32,2213.603,391.154,269.378
50.000,33,294.466,517.491,236.930
50.000,34,1278.237,769.279,509.464
55.000,0,2203.768,794.394,312.883
55.000,1,2606.451,512.169,168.837
55.000,2,463.960,1958.232,571.872
55.000,3,2030.828,302.936,434.736
55.000,4,650.763,1405.213,271.461
55.000,5,1319.895,399.983,372.522
55.000,6,1191.910,950.267,103.036
55.000,7,2438.407,945.442,407.745
55.000,8,1422.611,1179.865,300.918
55.000,9,83.840,880.589,314.486
55.000,10,14.326,1152.390,339.180
55.000,11,442.456,587.766,138.152
55.000,12,784.218,1912.776,340.970
55.000,13,2631.743,1523.491,171.663
55.000,14,2017.314,227.302,126.977
55.000,15,71.429,1155.008,396.678
55.000,16,1004.795,537.880,351.114
55.000,17,514.818,2015.245,339.241
55.000,18,2226.237,888.884,294.351
55.000,19,2394.598,1724.710,433.885
55.000,20,507.128,661.098,529.218
55.000,21,284.278,1314.357,344.264
55.000,22,2313.224,1530.622,341.211
55.000,23,2356.732,1042.156,469.133
55.000,24,787.823,158.716,471.772
55.000,25,2154.878,1788.801,224.579
55.000,26,1208.719,1134.878,417.873
55.000,27,1770.020,374.372,104.605
55.000,28,1646.692,1410.978,110.864
55.000,29,1189.658,1666.802,593.525
55.000,30,411.681,1277.999,155.192
55.000,31,317.150,495.417,132.541
55.000,32,2312.791,352.399,276.122
55.000,33,318.167,604.024,232.952
55.000,34,1371.211,737.491,506.219
60.000,0,2105.544,778.393,316.332
60.000,1,2469.451,542.246,179.129
60.000,2,475.488,2040.356,568.569
60.000,3,2090.669,375.680,436.813
60.000,4,613.185,1264.628,276.150
60.000,5,1457.994,434.206,366.743
60.000,6,1204.781,856.408,100.991
60.000,7,2326.784,975.278,409.897
60.000,8,1494.559,1135.000,299.883
60.000,9,115.646,1024.586,315.415
60.000,10,94.890,1184.220,338.713
60.000,11,351.179,674.104,134.977
60.000,12,872.497,1887.576,341.285
60.000,13,2637.415,1633.471,166.651
60.000,14,2046.450,124.331,130.653
60.000,15,1.713,1114.834,401.364
60.000,16,956.870,445.887,354.372
60.000,17,630.986,2056.810,342.090
60.000,18,2246.298,998.038,292.852
60.000,19,2314.967,1754.065,439.961
60.000,20,589.465,657.587,526.644
60.000,21,330.612,1417.890,340.742
60.000,22,2240.453,1487.246,345.309
60.000,23,2275.666,1104.089,470.381
60.000,24,698.452,141.939,469.843
60.000,25,2059.068,1866.126,221.240
60.000,26,1282.194,1090.291,414.345
60.000,27,1671.119,464.039,108.679
60.000,28,1509.033,1389.221,106.221
60.000,29,1291.651,1625.901,589.598
60.000,30,452.106,1177.276,151.217
60.000,31,383.582,436.241,133.374
60.000,32,2410.125,318.572,279.330
60.000,33,355.997,688.739,229.748
60.000,34,1466.274,699.355,502.689
65.000,0,2013.489,763.754,319.720
65.000,1,2321.149,560.464,188.799
65.000,2,472.144,2070.126,566.043
65.000,3,2155.844,436.166,438.686
65.000,4,566.116,1125.344,280.104
65.000,5,1574.403,494.381,365.036
65.000,6,1232.025,759.308,104.521
65.000,7,2222.076,1022.979,412.946
65.000,8,1564.182,1088.595,298.291
65.000,9,139.017,1169.228,318.655
65.000,10,160.097,1232.453,338.858
65.000,11,245.184,740.523,131.692
65.000,12,967.632,1894.065,340.578
65.000,13,2619.988,1740.293,163.492
65.000,14,2078.459,23.027,132.289
65.000,15,73.635,1080.139,403.808
65.000,16,926.957,345.295,356.326
65.000,17,743.059,2073.359,346.122
65.000,18,2265.542,1107.496,292.119
65.000,19,2240.086,1780.451,443.410
65.000,20,670.363,652.902,525.402
65.000,21,373.028,1522.770,338.816
65.000,22,2172.962,1451.635,348.434
65.000,23,2210.127,1172.419,472.326
65.000,24,611.538,122.726,469.850
65.000,25,1976.090,1956.193,220.624
65.000,26,1345.198,1033.259,411.175
65.000,27,1572.692,555.246,115.085
65.000,28,1382.117,1347.094,102.168
65.000,29,1389.808,1574.622,585.932
65.000,30,491.730,1074.060,145.133
65.000,31,465.256,397.081,135.043
65.000,32,2516.749,300.405,282.641
65.000,33,403.062,772.860,226.627
65.000,34,1556.139,658.720,497.965
70.000,0,1928.060,740.619,321.564
70.000,1,2171.538,575.657,199.918
70.000,2,491.573,1988.834,563.075
70.000,3,2217.178,503.122,439.236
70.000,4,526.507,985.907,285.462
70.000,5,1706.403,520.404,362.139
70.000,6,1244.402,667.114,108.476
70.000,7,2112.565,1057.771,415.258
70.000,8,1631.968,1033.027,296.664
70.000,9,167.313,1311.756,322.311
70.000,10,229.064,1283.349,337.287
70.000,11,149.072,828.646,129.706
70.000,12,1058.695,1887.616,339.975
70.000,13,2597.965,1840.855,160.557
70.000,14,2130.822,97.647,134.574
70.000,15,153.606,1048.058,406.903
70.000,16,862.876,263.112,356.128
70.000,17,862.593,2085.843,348.727
70.000,18,2266.425,1216.917,288.916
70.000,19,2167.430,1794.989,445.558
70.000,20,751.012,652.886,523.527
70.000,21,434.913,1620.212,337.892
70.000,22,2098.172,1420.911,351.969
70.000,23,2143.508,1253.513,475.089
70.000,24,524.347,98.678,471.543
70.000,25,1881.808,2042.764,217.393
70.000,26,1424.197,1004.851,408.260
70.000,27,1473.478,647.603,121.467
70.000,28,1254.404,1299.547,104.022
70.000,29,1487.031,1532.961,582.365
70.000,30,531.938,971.276,141.752
70.000,31,534.489,336.547,135.471
70.000,32,2624.586,279.384,288.183
70.000,33,444.807,860.328,221.579
70.000,34,1644.025,618.524,493.438
75.000,0,1834.128,722.516,323.077
75.000,1,2024.072,582.986,205.671
75.000,2,481.630,1907.105,560.243
75.000,3,2283.208,566.820,440.398
75.000,4,497.030,848.201,286.853
75.000,5,1831.748,553.542,359.333
75.000,6,1272.667,577.617,115.262
75.000,7,2002.669,1093.175,417.155
75.000,8,1707.577,994.341,294.865
75.000,9,204.886,1453.020,325.174
75.000,10,294.157,1326.856,335.278
75.000,11,47.277,909.850,126.421
75.000,12,1151.637,1860.824,339.835
75.000,13,2579.626,1944.889,154.949
75.000,14,2197.131,189.779,137.743
75.000,15,229.277,1010.149,411.135
75.000,16,812.249,164.482,354.182
75.000,17,973.030,2079.907,352.639
75.000,18,2306.532,1317.798,288.950
75.000,19,2090.741,1812.279,448.452
75.000,20,830.614,645.684,520.894
75.000,21,483.802,1725.715,334.738
75.000,22,2029.195,1374.262,353.218
75.000,23,2077.345,1333.126,476.343
75.000,24,437.442,74.326,471.175
75.000,25,1804.406,2047.763,214.456
75.000,26,1489.834,949.295,404.254
75.000,27,1362.316,734.455,125.130
75.000,28,1115.790,1283.521,106.989
75.000,29,1579.536,1488.149,577.544
75.000,30,572.224,877.026,135.890
75.000,31,594.792,277.917,135.722
75.000,32,2724.712,246.320,294.316
75.000,33,499.654,940.511,217.153
75.000,34,1731.917,571.543,489.088
80.000,0,1749.136,708.815,323.946
80.000,1,1880.443,583.634,215.292
80.000,2,475.715,1828.379,556.313
80.000,3,2344.579,630.453,441.660
80.000,4,457.668,711.381,289.154
80.000,5,1961.206,596.078,357.200
80.000,6,1290.566,484.223,118.116
80.000,7,1883.940,1110.036,417.555
80.000,8,1782.425,955.971,292.706
80.000,9,214.879,1604.704,329.309
80.000,10,369.619,1362.874,334.605
80.000,11,51.538,999.910,120.932
80.000,12,1244.433,1849.057,339.838
80.000,13,2582.803,2055.260,151.433
80.000,14,2237.883,297.147,138.669
80.000,15,297.288,964.051,416.195
80.000,16,754.856,73.880,355.755
80.000,17,1086.357,2041.027,357.473
80.000,18,2314.147,1430.622,288.942
80.000,19,2022.236,1843.902,453.968
80.000,20,908.695,641.102,519.849
80.000,21,538.154,1824.837,329.715
80.000,22,1961.458,1317.464,356.741
80.000,23,2003.526,1395.311,477.953
80.000,24,345.937,64.429,468.563
80.000,25,1722.172,1955.440,209.810
80.000,26,1573.518,919.311,399.331
80.000,27,1252.175,811.101,130.137
80.000,28,982.822,1250.198,113.797
80.000,29,1674.737,1446.515,572.309
80.000,30,618.858,776.836,129.459
80.000,31,663.119,220.696,136.957
80.000,32,2686.340,218.084,298.841
80.000,33,535.969,1029.136,210.530
80.000,34,1825.331,526.790,486.169
