t_s,node,x,y,z
0.000,0,1887.913,2147.770,115.763
0.000,1,1723.811,493.020,226.959
0.000,2,1729.499,103.127,204.686
0.000,3,914.302,1508.488,172.975
0.000,4,2142.828,2243.040,113.875
0.000,5,1641.924,60.499,296.026
0.000,6,1933.515,189.224,194.920
0.000,7,1490.233,1369.147,290.404
0.000,8,61.950,228.006,330.929
0.000,9,1444.728,1910.740,246.748
0.000,10,543.288,175.202,296.357
0.000,11,1279.349,420.669,354.796
0.000,12,2238.638,136.867,521.400
0.000,13,349.997,430.903,146.655
0.000,14,1716.324,912.429,453.150
0.000,15,213.190,2267.422,536.311
0.000,16,1044.075,1404.537,488.505
0.000,17,1288.839,2314.537,558.670
0.000,18,161.405,2487.795,211.820
0.000,19,2018.460,1626.753,177.039
0.000,20,998.870,1276.929,202.080
0.000,21,294.109,2191.238,591.718
0.000,22,398.549,2556.317,492.971
0.000,23,1532.965,452.817,592.206
0.000,24,1316.481,176.947,595.218
0.000,25,2437.591,1286.356,441.329
0.000,26,1547.684,2441.007,145.905
0.000,27,63.788,1356.056,166.101
0.000,28,1821.951,1513.017,498.835
5.000,0,1816.979,2031.623,117.498
5.000,1,1760.707,413.905,226.980
5.000,2,1748.496,207.146,205.897
5.000,3,961.460,1603.608,173.266
5.000,4,2083.118,2303.486,116.659
5.000,5,1693.405,24.240,297.289
5.000,6,1916.407,78.185,199.190
5.000,7,1379.175,1286.888,282.494
5.000,8,197.263,202.765,329.972
5.000,9,1576.986,1912.930,248.231
5.000,10,540.674,87.039,295.622
5.000,11,1208.436,395.370,352.245
5.000,12,2154.579,139.200,525.382
5.000,13,278.831,459.008,149.301
5.000,14,1746.987,810.989,456.949
5.000,15,344.364,2285.873,536.288
5.000,16,1073.658,1312.681,484.112
5.000,17,1162.872,2305.068,561.116
5.000,18,273.389,2527.615,215.090
5.000,19,2148.384,1581.468,171.766
5.000,20,865.087,1287.156,206.911
5.000,21,275.574,2073.002,597.810
5.000,22,372.023,2428.894,493.888
5.000,23,1488.482,310.092,589.517
5.000,24,1252.312,91.060,598.037
5.000,25,2541.223,1364.619,445.947
5.000,26,1645.528,2527.660,141.477
5.000,27,117.508,1216.386,163.924
5.000,28,1907.080,1625.502,501.134
10.000,0,1767.416,1903.953,121.416
10.000,1,1797.941,336.566,227.671
10.000,2,1753.077,314.750,206.943
10.000,3,1020.487,1701.321,169.833
10.000,4,2023.408,2358.238,118.486
10.000,5,1763.782,106.793,301.402
10.000,6,1886.730,53.401,202.263
10.000,7,1272.609,1193.894,275.324
10.000,8,330.484,173.260,329.293
10.000,9,1713.619,1889.605,246.838
10.000,10,520.744,2.081,294.782
10.000,11,1134.702,390.029,352.553
10.000,12,2070.030,131.369,529.507
10.000,13,215.088,478.883,151.825
10.000,14,1821.869,725.916,458.571
10.000,15,470.930,2346.628,529.771
10.000,16,1113.379,1223.755,479.093
10.000,17,1036.721,2334.797,566.918
10.000,18,398.283,2531.726,218.555
10.000,19,2278.579,1569.877,164.525
10.000,20,729.890,1260.421,209.910
10.000,21,258.549,1962.275,598.909
10.000,22,354.248,2299.786,493.907
10.000,23,1461.843,169.144,586.377
10.000,24,1183.869,10.153,597.271
10.000,25,2641.394,1444.701,448.082
10.000,26,1740.326,2612.366,137.857
10.000,27,144.439,1074.295,163.322
10.000,28,1976.217,1754.392,503.007
15.000,0,1711.432,1789.128,125.564
15.000,1,1834.257,264.928,226.310
15.000,2,1742.245,425.715,205.325
15.000,3,1055.937,1815.644,166.265
15.000,4,1961.104,2417.349,121.127
15.000,5,1840.809,174.265,304.768
15.000,6,1850.006,171.915,205.499
15.000,7,1165.286,1114.385,266.677
15.000,8,463.943,141.819,325.744
15.000,9,1860.781,1869.638,249.291
15.000,10,510.064,81.072,293.470
15.000,11,1056.030,370.239,352.532
15.000,12,1984.154,123.438,534.509
15.000,13,150.465,489.482,156.072
15.000,14,1882.035,635.575,460.582
15.000,15,605.723,2364.036,525.181
15.000,16,1124.497,1129.494,476.935
15.000,17,914.159,2378.074,573.635
15.000,18,517.826,2576.994,221.564
15.000,19,2385.002,1494.316,156.848
15.000,20,591.479,1270.213,209.480
15.000,21,241.843,1861.093,595.381
15.000,22,344.969,2169.450,492.943
15.000,23,1483.798,26.733,581.672
15.000,24,1119.536,77.411,592.926
15.000,25,2567.815,1480.217,450.579
15.000,26,1840.685,2549.776,131.988
15.000,27,204.345,933.794,164.604
15.000,28,2039.188,1880.359,504.808
20.000,0,1603.635,1709.199,129.484
20.000,1,1870.339,209.874,224.047
20.000,2,1731.643,530.877,207.003
20.000,3,1092.086,1917.397,160.522
20.000,4,1899.978,2477.347,124.724
20.000,5,1922.624,242.768,306.633
20.000,6,1841.231,295.934,208.572
20.000,7,1073.456,1018.448,259.277
20.000,8,604.806,128.070,322.013
20.000,9,1993.257,1835.146,250.196
20.000,10,485.900,152.684,292.713
20.000,11,973.307,357.049,351.606
20.000,12,1899.521,110.742,540.764
20.000,13,69.243,498.096,158.295
20.000,14,1939.190,543.787,463.129
20.000,15,735.217,2393.126,523.971
20.000,16,1142.301,1033.679,473.933
20.000,17,795.598,2433.872,579.768
20.000,18,647.973,2593.366,225.192
20.000,19,2503.103,1452.092,148.841
20.000,20,458.356,1277.192,210.950
20.000,21,241.514,1761.125,592.179
20.000,22,312.799,2044.611,492.447
20.000,23,1467.821,139.222,575.465
20.000,24,1052.325,155.171,590.544
20.000,25,2434.788,1505.145,453.666
20.000,26,1949.883,2466.859,127.522
20.000,27,234.864,779.966,166.475
20.000,28,2120.275,1991.604,505.818
25.000,0,1526.742,1589.696,136.291
25.000,1,1920.167,147.198,222.254
25.000,2,1762.385,634.025,206.277
25.000,3,1136.058,2015.972,153.715
25.000,4,1832.174,2547.188,131.085
25.000,5,2011.443,289.798,308.768
25.000,6,1823.883,413.222,212.192
25.000,7,966.075,938.259,255.352
25.000,8,744.239,138.578,320.984
25.000,9,2131.089,1813.051,253.938
25.000,10,463.227,233.969,290.473
25.000,11,894.816,331.046,350.377
25.000,12,1831.534,71.163,545.491
25.000,13,18.913,499.771,160.122
25.000,14,1993.265,451.936,464.580
25.000,15,866.536,2423.616,519.109
25.000,16,1175.882,957.942,471.973
25.000,17,679.461,2481.706,584.527
25.000,18,773.252,2606.438,229.466
25.000,19,2621.333,1410.102,145.997
25.000,20,337.858,1285.986,214.846
25.000,21,260.193,1664.264,588.528
25.000,22,320.779,1918.633,495.990
25.000,23,1433.628,278.376,574.586
25.000,24,991.855,237.122,588.783
25.000,25,2301.221,1538.484,460.061
25.000,26,2046.408,2383.564,122.243
25.000,27,303.909,656.624,164.669
25.000,28,2185.265,2111.729,507.776
30.000,0,1449.550,1481.441,141.137
30.000,1,1952.449,75.751,219.689
30.000,2,1782.676,741.274,205.608
30.000,3,1178.236,2116.898,151.172
30.000,4,1774.452,2606.935,134.528
30.000,5,2074.663,350.608,312.345
30.000,6,1823.514,533.074,219.200
30.000,7,861.711,850.039,252.388
30.000,8,887.832,124.459,320.182
30.000,9,2250.964,1758.870,255.246
30.000,10,415.375,309.230,287.563
30.000,11,828.747,290.761,349.776
30.000,12,1758.122,43.444,549.974
30.000,13,87.461,513.537,161.849
30.000,14,2047.479,367.809,462.960
30.000,15,1005.742,2444.434,513.559
30.000,16,1206.283,876.364,471.129
30.000,17,564.346,2533.593,585.752
30.000,18,894.120,2627.572,234.998
30.000,19,2599.095,1372.228,140.139
30.000,20,198.127,1279.164,218.768
30.000,21,228.496,1561.308,585.886
30.000,22,321.123,1789.430,494.208
