t_s,node,x,y,z
0.000,0,986.645,1216.338,266.055
0.000,1,75.623,231.486,395.864
0.000,2,203.078,1870.036,518.980
0.000,3,2711.621,945.785,400.419
0.000,4,171.695,239.378,466.224
0.000,5,2558.061,903.930,239.621
0.000,6,491.195,2067.774,359.045
0.000,7,624.148,1417.472,484.162
0.000,8,614.110,1355.249,268.631
0.000,9,325.668,1386.823,331.997
0.000,10,1890.721,224.594,526.994
0.000,11,1951.818,662.586,160.481
0.000,12,856.962,1567.825,371.139
0.000,13,1581.586,1264.687,581.532
0.000,14,1979.784,271.554,198.111
0.000,15,2146.728,419.520,130.549
0.000,16,478.874,541.093,533.854
0.000,17,287.762,1363.414,357.690
0.000,18,2265.032,460.505,256.000
0.000,19,2005.005,1857.605,195.044
0.000,20,2220.671,1319.222,372.847
0.000,21,1430.304,197.498,460.573
0.000,22,2670.100,657.941,348.998
0.000,23,159.476,782.970,551.353
0.000,24,112.164,32.159,419.866
0.000,25,2715.768,1242.228,469.363
0.000,26,2531.046,194.629,316.359
0.000,27,920.653,962.462,322.582
0.000,28,1574.249,249.746,431.349
0.000,29,1856.176,1706.400,422.110
0.000,30,2444.710,1462.389,328.410
0.000,31,2562.847,352.640,275.173
0.000,32,1994.209,1387.684,505.578
0.000,33,1063.463,1345.307,489.944
0.000,34,386.400,521.175,457.019
0.000,35,199.287,545.708,308.083
0.000,36,548.404,707.777,130.137
0.000,37,1834.824,119.016,103.279
0.000,38,1214.877,1564.390,571.766
0.000,39,2733.563,58.343,181.811
0.000,40,1187.256,1251.462,332.670
0.000,41,1821.358,1732.464,448.755
0.000,42,2446.721,1872.743,332.419
0.000,43,2516.301,1328.957,387.074
0.000,44,334.387,1370.784,294.431
0.000,45,214.488,1414.286,100.237
0.000,46,2535.530,242.960,277.169
0.000,47,32.821,1915.100,347.840
0.000,48,1380.333,160.811,219.543
0.000,49,357.656,417.601,364.384
0.000,50,1485.328,1801.875,397.089
0.000,51,824.073,516.115,349.169
0.000,52,630.818,2030.896,204.869
0.000,53,2223.836,1664.097,361.703
0.000,54,2717.629,131.897,278.324
0.000,55,537.388,159.034,222.016
0.000,56,129.142,869.351,575.374
0.000,57,776.534,39.422,220.761
0.000,58,1369.305,638.494,114.898
0.000,59,1908.857,1533.863,301.653
0.000,60,956.382,388.220,585.925
0.000,61,2053.552,1774.387,216.809
0.000,62,1036.358,1915.652,518.722
0.000,63,2676.396,480.516,120.022
0.000,64,1558.546,1282.663,478.184
0.000,65,1514.140,628.301,118.066
0.000,66,1750.253,942.554,136.393
0.000,67,2801.643,474.382,251.863
0.000,68,2792.876,1004.396,299.950
0.000,69,1456.507,1200.202,251.562
0.000,70,1196.178,983.954,131.550
0.000,71,837.288,425.642,493.012
0.000,72,1743.103,1197.529,327.129
0.000,73,791.307,1162.873,263.080
0.000,74,246.978,974.903,359.837
0.000,75,1251.918,36.282,597.187
0.000,76,78.912,1527.942,279.604
0.000,77,1873.575,1919.633,123.402
0.000,78,2562.813,1542.949,412.373
0.000,79,595.623,1306.201,477.385
0.000,80,778.872,384.622,429.639
0.000,81,1019.321,1835.288,101.070
0.000,82,79.934,303.142,294.369
0.000,83,674.282,1294.196,535.553
0.000,84,2044.449,1285.820,328.322
0.000,85,2483.120,1324.002,589.080
0.000,86,2039.959,382.292,178.301
5.000,0,875.022,1127.222,261.575
5.000,1,3.521,189.080,397.474
5.000,2,313.607,1841.658,516.823
5.000,3,2798.684,995.924,396.893
5.000,4,173.962,114.890,467.852
5.000,5,2461.446,911.032,240.078
5.000,6,573.868,1987.936,362.397
5.000,7,545.431,1433.325,486.615
5.000,8,540.448,1233.308,266.064
5.000,9,454.285,1374.055,338.122
5.000,10,2026.352,260.510,523.312
5.000,11,2032.929,665.166,158.027
5.000,12,880.825,1452.324,370.482
5.000,13,1654.540,1299.251,586.279
5.000,14,2030.701,312.838,198.332
5.000,15,2257.912,402.951,131.696
5.000,16,380.927,639.408,534.411
5.000,17,355.513,1418.972,353.315
5.000,18,2341.279,516.244,256.759
5.000,19,1941.065,1938.381,191.398
5.000,20,2257.117,1218.361,373.580
5.000,21,1396.915,333.657,465.237
5.000,22,2757.496,644.079,353.100
5.000,23,177.308,865.373,553.213
5.000,24,150.519,74.399,414.813
5.000,25,2769.896,1211.553,464.733
5.000,26,2451.884,164.632,320.490
5.000,27,1047.109,972.472,326.900
5.000,28,1430.834,259.783,431.326
