seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
5,4.0000,0,3,973.4361,-89.5100,-0.1605,4,0.1000,1.0000,6,6,6,0,0,6,6,0.0000
5,4.0000,0,4,425.5874,-85.1971,0.3519,31,0.7750,0.2000,5,4,0,0,0,4,0,1.0000
5,4.0000,0,6,830.0507,-89.2984,-0.5085,3,0.0750,1.0000,4,6,4,0,0,6,4,0.3333
5,4.0000,0,8,859.9634,-88.7907,-0.0056,7,0.1750,0.8750,8,8,8,0,0,8,8,0.0000
5,4.0000,0,11,878.3877,-89.2266,-0.0613,6,0.1500,1.0000,6,7,6,0,0,7,6,0.1429
5,4.0000,0,14,872.8620,-88.8333,-0.1114,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
5,4.0000,0,16,716.6776,-88.6775,0.4460,14,0.3500,0.8750,8,8,8,0,0,8,8,0.0000
5,4.0000,0,19,760.7916,-88.4601,-0.2045,26,0.6500,0.5000,6,7,5,0,0,7,5,0.2857
5,4.0000,0,20,902.6878,-88.6010,0.1134,6,0.1500,1.0000,8,6,6,0,0,6,6,0.0000
5,4.0000,1,2,646.0843,-88.0958,-0.2259,23,0.5750,0.6250,8,7,5,0,0,7,5,0.2857
5,4.0000,1,3,631.6769,-88.1600,-0.0797,25,0.6250,0.4000,5,6,3,0,0,6,3,0.5000
5,4.0000,1,4,856.0663,-89.0193,-0.5808,7,0.1750,1.0000,8,8,8,0,0,8,8,0.0000
5,4.0000,1,6,514.2565,-85.9491,0.1781,37,0.9250,0.7143,7,7,4,0,0,7,4,0.4286
5,4.0000,1,7,529.9232,-87.1823,0.7513,20,0.5000,1.0000,8,3,0,0,0,3,0,1.0000
5,4.0000,1,8,315.6522,-81.8057,-0.0434,40,1.0000,0.2000,5,4,0,0,0,4,0,1.0000
5,4.0000,1,10,999.0059,-89.3554,0.9299,4,0.1000,1.0000,6,6,6,0,0,6,6,0.0000
5,4.0000,1,16,424.8532,-84.9229,-0.3554,36,0.9000,0.0000,4,7,4,0,0,7,4,0.4286
5,4.0000,1,18,544.1160,-87.1098,-0.5846,32,0.8000,0.5714,7,6,2,0,0,6,2,0.6667
5,4.0000,2,1,646.0843,-87.3480,0.0736,27,0.6750,0.4000,5,8,6,0,0,8,6,0.2500
5,4.0000,2,3,271.9470,-82.9275,0.4432,39,0.9750,0.4000,5,4,0,0,0,4,0,1.0000
5,4.0000,2,6,1013.1100,-89.1421,-0.0051,4,0.1000,1.0000,8,6,6,0,0,6,6,0.0000
5,4.0000,2,7,714.8025,-88.1068,0.9518,12,0.3000,1.0000,6,7,6,0,0,7,6,0.1429
5,4.0000,2,8,540.5904,-86.6380,0.2452,30,0.7500,0.2000,5,6,3,0,0,6,3,0.5000
5,4.0000,2,14,684.0506,-88.0725,0.6981,9,0.2250,1.0000,8,8,7,0,0,8,7,0.1250
5,4.0000,2,16,667.3450,-87.3219,-0.0057,24,0.6000,0.7143,7,7,4,0,0,7,4,0.4286
5,4.0000,2,18,329.8566,-84.5481,-0.0486,38,0.9500,0.2000,5,3,0,0,0,3,0,1.0000
5,4.0000,3,0,973.4361,-89.5289,-0.0774,4,0.1000,1.0000,6,10,10,0,0,10,10,0.0000
5,4.0000,3,1,631.6769,-87.6959,0.5184,20,0.5000,0.7500,8,7,5,0,0,7,5,0.2857
5,4.0000,3,2,271.9470,-81.8917,0.6572,40,1.0000,0.0000,4,4,0,0,0,4,0,1.0000
5,4.0000,3,4,913.6946,-88.9160,0.1135,5,0.1250,1.0000,6,8,8,0,0,8,8,0.0000
5,4.0000,3,7,843.0888,-88.7420,0.2941,8,0.2000,1.0000,6,8,8,0,0,8,8,0.0000
5,4.0000,3,8,405.2825,-85.9556,0.0060,38,0.9500,0.4000,5,5,1,0,0,5,1,0.8000
5,4.0000,3,14,445.8553,-85.8123,-0.4170,35,0.8750,0.5000,6,5,1,0,0,5,1,0.8000
5,4.0000,3,16,494.1500,-86.1330,0.3058,31,0.7750,0.0000,3,7,2,0,0,7,2,0.7143
5,4.0000,3,18,509.6081,-86.6778,0.6435,27,0.6750,0.4000,5,4,0,0,0,4,0,1.0000
5,4.0000,3,20,1013.3501,-89.0008,-0.2080,4,0.1000,1.0000,6,4,4,0,0,4,4,0.0000
5,4.0000,4,0,425.5874,-85.5910,0.1892,34,0.8500,0.2000,5,5,1,0,0,5,1,0.8000
5,4.0000,4,1,856.0663,-88.9352,-0.4510,8,0.2000,0.8333,6,10,10,0,0,10,10,0.0000
5,4.0000,4,3,913.6946,-89.5328,0.2997,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
5,4.0000,4,6,543.9183,-87.1944,0.5996,25,0.6250,0.4000,5,5,1,0,0,5,1,0.8000
5,4.0000,4,8,653.5572,-88.2413,-0.1317,17,0.4250,0.7143,7,6,4,0,0,6,4,0.3333
5,4.0000,4,10,854.0625,-88.3399,1.0089,3,0.0750,1.0000,4,7,6,0,0,7,6,0.1429
5,4.0000,4,11,1003.2864,-88.9753,-0.1331,3,0.0750,1.0000,4,6,6,0,0,6,6,0.0000
5,4.0000,4,14,908.8721,-88.7951,-0.3275,4,0.1000,1.0000,6,8,8,0,0,8,8,0.0000
5,4.0000,4,15,822.7500,-88.4914,-0.1214,8,0.2000,1.0000,6,8,8,0,0,8,8,0.0000
5,4.0000,4,16,492.5478,-86.3415,0.5232,33,0.8250,0.0000,4,6,3,0,0,6,3,0.5000
5,4.0000,4,17,983.8078,-89.1353,-0.2544,4,0.1000,,0,4,4,0,0,4,4,0.0000
5,4.0000,4,19,927.8104,-88.5217,-0.0988,6,0.1500,1.0000,8,8,8,0,0,8,8,0.0000
5,4.0000,4,20,962.3992,-89.0581,0.3275,5,0.1250,1.0000,4,8,8,0,0,8,8,0.0000
5,4.0000,5,9,345.9300,-84.0499,0.1548,39,0.9750,0.4000,5,6,2,0,0,6,2,0.6667
5,4.0000,5,13,659.4337,-88.3303,-0.0629,18,0.4500,0.6667,6,5,1,0,0,5,1,0.8000
5,4.0000,6,0,830.0507,-88.7218,0.5790,3,0.0732,1.0000,4,8,8,0,0,8,8,0.0000
5,4.0000,6,1,514.2565,-86.1515,-0.1235,34,0.8293,0.2000,5,6,3,0,0,6,3,0.5000
5,4.0000,6,2,1013.1100,-89.5357,-0.3515,4,0.0976,1.0000,6,6,6,0,0,6,6,0.0000
5,4.0000,6,3,917.0669,-89.2541,-0.4492,4,0.0976,0.8000,5,8,8,0,0,8,8,0.0000
5,4.0000,6,4,543.9183,-86.9692,0.7760,26,0.6341,0.7143,7,6,3,0,0,6,3,0.5000
5,4.0000,6,8,535.2848,-86.5898,0.0326,30,0.7317,0.4000,5,7,5,0,0,7,5,0.2857
5,4.0000,6,10,532.3729,-86.7775,0.4861,31,0.7561,0.8750,8,7,5,0,0,7,5,0.2857
5,4.0000,6,12,639.3997,-87.5149,-0.1940,23,0.5610,0.8750,8,8,8,0,0,8,8,0.0000
