t_s,node,x,y,z
0.000,0,1337.089,848.397,440.332
0.000,1,648.359,38.660,511.145
0.000,2,516.476,314.033,566.216
0.000,3,843.146,769.535,443.933
0.000,4,1387.434,38.233,281.642
0.000,5,681.094,1448.589,164.254
0.000,6,27.786,843.345,440.049
0.000,7,515.664,913.848,160.037
0.000,8,1452.052,1063.008,266.532
0.000,9,299.444,939.143,217.817
0.000,10,998.716,1036.055,303.123
0.000,11,929.592,1399.165,360.489
0.000,12,1427.437,454.763,255.589
0.000,13,912.566,241.172,386.208
0.000,14,732.943,774.701,555.716
0.000,15,776.049,698.651,379.147
0.000,16,1273.304,190.892,386.571
0.000,17,1434.458,401.382,418.840
0.000,18,961.293,1293.860,104.886
0.000,19,461.863,66.028,292.999
0.000,20,1057.563,1271.303,202.036
0.000,21,331.634,208.449,290.068
0.000,22,1417.147,784.903,352.196
0.000,23,1147.707,1500.199,195.594
0.000,24,740.045,175.753,590.401
0.000,25,1010.267,347.337,205.754
0.000,26,319.184,762.444,280.914
0.000,27,425.473,1275.287,547.889
0.000,28,522.763,601.678,338.610
0.000,29,490.230,920.159,364.133
0.000,30,417.595,1407.650,177.644
0.000,31,929.984,1285.339,273.455
0.000,32,1264.252,179.166,423.393
0.000,33,1091.227,857.833,331.550
0.000,34,1264.248,14.120,214.301
0.000,35,438.003,1446.479,547.365
0.000,36,1141.821,1014.386,364.524
0.000,37,1318.955,1288.278,586.750
0.000,38,551.843,1383.268,542.139
0.000,39,833.639,1592.743,286.613
0.000,40,51.730,85.011,325.047
0.000,41,363.750,1216.730,386.257
0.000,42,278.181,1333.279,507.516
0.000,43,61.210,947.538,536.010
0.000,44,580.264,691.111,443.833
0.000,45,772.781,988.613,411.716
0.000,46,62.918,604.906,106.044
0.000,47,1180.151,77.209,522.511
0.000,48,118.152,853.662,366.332
0.000,49,409.479,191.375,110.031
0.000,50,781.079,1245.673,304.845
0.000,51,801.689,596.722,440.224
0.000,52,394.337,1182.672,398.944
0.000,53,281.188,1544.730,156.617
0.000,54,315.353,1468.962,363.991
0.000,55,401.104,685.017,299.382
0.000,56,1267.923,334.985,351.690
0.000,57,510.027,1574.736,245.220
0.000,58,1204.642,144.052,246.162
0.000,59,624.650,1061.546,554.060
0.000,60,262.340,1059.269,587.562
0.000,61,75.150,979.836,177.063
0.000,62,627.783,1152.180,595.208
0.000,63,56.579,1126.294,223.891
0.000,64,570.244,471.569,574.363
0.000,65,1365.412,435.027,418.916
0.000,66,960.086,623.502,554.296
0.000,67,1221.081,616.967,508.246
0.000,68,496.135,259.133,100.940
0.000,69,652.039,1578.016,171.154
0.000,70,803.464,1192.814,251.376
0.000,71,163.146,838.612,563.346
0.000,72,232.351,1372.605,484.358
0.000,73,1203.943,1347.264,347.207
0.000,74,926.148,1178.424,187.796
0.000,75,1280.933,621.363,355.953
0.000,76,1381.959,615.687,456.885
0.000,77,1317.202,632.250,460.787
0.000,78,1382.368,157.084,174.045
0.000,79,572.288,667.294,114.614
0.000,80,162.562,564.517,423.215
5.000,0,1227.555,939.816,442.933
5.000,1,722.257,62.562,510.307
5.000,2,432.544,287.983,562.608
5.000,3,780.978,643.200,439.308
5.000,4,1411.433,54.259,283.936
5.000,5,804.766,1504.409,166.423
5.000,6,142.583,904.999,444.826
5.000,7,518.569,1018.066,159.342
5.000,8,1373.053,1034.502,263.617
5.000,9,223.032,957.819,219.809
5.000,10,1025.569,1121.610,305.822
5.000,11,867.826,1498.514,364.719
5.000,12,1414.024,419.643,252.170
5.000,13,964.259,143.851,384.837
5.000,14,697.163,854.603,555.332
5.000,15,735.319,782.323,381.571
5.000,16,1217.153,239.386,384.335
5.000,17,1414.592,483.937,414.638
5.000,18,1098.295,1241.779,106.703
5.000,19,516.895,5.287,296.590
5.000,20,976.632,1268.146,201.891
5.000,21,301.537,311.579,287.889
5.000,22,1396.093,646.672,352.194
5.000,23,1087.608,1449.939,194.605
5.000,24,674.579,87.634,594.947
5.000,25,960.570,393.439,206.963
5.000,26,218.882,704.107,286.824
5.000,27,379.709,1212.600,548.016
5.000,28,465.028,471.128,342.359
5.000,29,598.712,988.935,367.236
5.000,30,314.457,1437.071,176.212
5.000,31,1006.581,1193.657,268.861
5.000,32,1246.414,253.840,421.956
5.000,33,1212.058,902.429,336.224
5.000,34,1166.245,73.252,208.885
5.000,35,447.204,1325.532,544.387
5.000,36,1221.778,971.759,367.807
5.000,37,1229.121,1344.299,585.171
5.000,38,421.726,1393.797,545.396
5.000,39,803.919,1527.243,290.411
5.000,40,11.911,201.460,328.176
5.000,41,290.037,1327.112,379.339
5.000,42,193.670,1258.296,505.733
5.000,43,85.261,832.486,534.995
5.000,44,450.864,618.260,448.386
5.000,45,811.877,1096.675,410.091
5.000,46,61.177,522.959,105.713
5.000,47,1138.622,205.502,527.374
5.000,48,221.514,955.316,365.114
5.000,49,359.177,94.673,111.699
5.000,50,696.938,1239.673,300.886
5.000,51,733.426,659.043,441.668
5.000,52,287.446,1232.998,401.976
5.000,53,285.231,1437.149,152.249
5.000,54,355.189,1587.426,364.730
5.000,55,525.955,683.814,301.613
5.000,56,1249.164,244.767,354.950
5.000,57,376.435,1555.993,244.588
5.000,58,1136.059,177.772,245.610
5.000,59,523.220,1134.547,555.740
5.000,60,127.394,1008.221,581.052
5.000,61,172.506,1007.556,181.601
5.000,62,698.195,1023.867,588.952
5.000,63,55.846,1095.265,228.140
5.000,64,629.066,364.132,575.866
5.000,65,1292.627,325.439,417.724
5.000,66,894.044,567.609,554.246
5.000,67,1217.910,698.424,505.122
5.000,68,609.059,285.303,105.934
5.000,69,681.206,1473.633,179.060
5.000,70,750.034,1072.077,248.502
5.000,71,182.344,770.232,562.714
5.000,72,230.457,1508.853,477.303
5.000,73,1258.356,1395.186,349.156
5.000,74,956.579,1252.635,188.046
5.000,75,1281.676,734.143,351.430
5.000,76,1374.759,707.813,452.978
5.000,77,1386.065,681.447,460.483
5.000,78,1324.293,95.956,173.341
5.000,79,457.010,669.593,114.710
5.000,80,60.460,559.850,427.220
10.000,0,1112.654,1023.107,447.702
10.000,1,796.145,89.212,510.067
10.000,2,352.909,237.267,559.099
10.000,3,744.757,510.444,432.380
10.000,4,1297.054,51.884,287.369
10.000,5,939.960,1533.652,171.799
10.000,6,265.354,934.744,447.118
10.000,7,532.851,1116.064,159.169
10.000,8,1292.087,998.661,263.182
10.000,9,145.461,988.021,220.366
10.000,10,1036.829,1208.256,311.816
10.000,11,848.278,1568.785,369.718
10.000,12,1318.821,378.001,246.831
10.000,13,1023.044,52.285,386.098
10.000,14,679.297,941.786,553.052
